II,MCL,PLETH
5059,4197,4156
5686,4712,4705
4956,4099,4156
4578,3782,3870
4956,4099,4156
5225,4329,4322
5059,4197,4156
4929,4090,4060
5059,4197,4198
5142,4265,4286
5059,4197,4240
5001,4149,4228
5059,4197,4324
5094,4228,4394
5059,4197,4408
5028,4141,4427
5059,4099,4492
5114,4075,4556
5163,4099,4618
5174,4155,4676
5163,4197,4744
5146,4195,4802
5163,4197,4869
5171,4202,4926
5163,4197,4995
5110,4147,5058
5059,4099,5121
5028,4079,5161
5059,4099,5205
5112,4105,5244
5163,4099,5289
5168,4086,5311
5163,4099,5331
5152,4104,5344
5163,4099,5373
5161,4083,5382
5163,4099,5373
5154,4112,5341
5163,4099,5331
5161,4066,5331
5163,4099,5331
5152,4171,5293
5163,4197,5247
5165,4133,5197
5163,4099,5163
5143,4144,5117
5163,4197,5079
5209,4155,5036
5266,4099,4995
5274,4118,4930
5266,4197,4869
5253,4221,4803
5266,4197,4744
5265,4177,4670
5266,4197,4618
5258,4203,4572
5266,4197,4534
5262,4186,4467
5266,4197,4408
5259,4197,4356
5266,4197,4324
5261,4191,4276
5266,4197,4240
5259,4194,4209
5266,4197,4198
5262,4192,4174
5266,4197,4156
5259,4193,4130
5266,4197,4114
5263,4193,4085
5266,4197,4072
5256,4193,4064
5266,4197,4072
5268,4193,4056
5266,4197,4030
5247,4193,3995
5266,4197,3988
5312,4193,3987
5369,4197,3988
5377,4193,3964
5369,4197,3946
5357,4193,3935
5369,4197,3946
5367,4193,3946
5369,4197,3946
5362,4193,3938
5369,4197,3946
5363,4193,3947
5369,4197,3946
5365,4193,3922
5369,4197,3904
5359,4192,3891
5369,4197,3904
5371,4194,3909
5369,4197,3904
5348,4190,3875
5369,4197,3862
5418,4196,3858
5472,4197,3862
5477,4187,3841
5472,4197,3820
5466,4202,3806
5472,4197,3820
5459,4176,3826
5472,4197,3820
5511,4248,3792
5576,4295,3778
5621,4291,3772
5679,4295,3778
5737,4332,3773
5782,4392,3778
5750,4406,3779
5679,4392,3778
5603,4378,3754
5576,4392,3736
5566,4395,3726
5576,4392,3736
5572,4382,3735
5576,4392,3736
5567,4396,3732
5576,4392,3736
5574,4351,3719
5576,4295,3694
5564,4228,3661
5576,4197,3652
5582,4188,3650
5576,4197,3652
5521,4192,3632
5472,4197,3610
5447,4195,3584
5472,4197,3568
5480,4185,3544
5472,4197,3526
5443,4204,3502
5472,4197,3484
5520,4142,3458
5576,4099,3442
5573,4083,3421
5576,4099,3400
5573,4099,3368
5576,4099,3358
5525,4126,3358
5472,4197,3358
5441,4261,3333
5472,4295,3316
5513,4337,3312
5576,4490,3316
5693,4778,3296
5989,5173,3274
6515,5626,3262
7331,6149,3274
8431,6686,3277
9809,7125,3274
11284,7313,3254
12597,7223,3232
13455,6866,3202
13733,6247,3190
13355,5277,3188
12390,4002,3190
11041,2651,3169
9706,1562,3148
8655,835,3136
7951,390,3148
7458,164,3154
7124,293,3148
6895,796,3123
6711,1464,3106
6468,1991,3098
6195,2343,3106
5943,2627,3108
5782,2928,3106
5690,3186,3087
5679,3416,3064
5684,3645,3035
5679,3904,3022
5617,4123,3018
5576,4295,3022
5529,4404,3007
5472,4490,2980
5350,4539,2947
5266,4587,2938
5238,4632,2939
5266,4685,2938
5262,4730,2915
5266,4783,2896
5297,4833,2887
5369,4880,2896
5392,4892,2897
5369,4880,2896
5334,4859,2891
5369,4880,2896
5430,4928,2895
5472,4978,2896
5460,4985,2892
5472,4978,2896
5518,4967,2894
5576,4978,2896
5580,4977,2891
5576,4978,2896
5575,4970,2906
5576,4978,2938
5524,4975,2977
5472,4978,3022
5449,4970,3049
5472,4978,3064
5477,4976,3063
5472,4978,3064
5460,4968,3061
5472,4978,3064
5472,4981,3061
5472,4978,3064
5462,4958,3062
5472,4978,3064
5472,5024,3060
5472,5076,3064
5460,5079,3064
5472,5076,3064
5477,5071,3057
5472,5076,3064
5448,5061,3068
5472,5076,3064
5526,5117,3038
5576,5173,3022
5569,5182,3019
5576,5173,3022
5616,5162,3002
5679,5173,2980
5689,5170,2968
5679,5173,2980
5666,5171,2984
5679,5173,2980
5675,5134,2970
5679,5076,2980
5676,5007,2987
5679,4978,2980
5662,4971,2950
5679,4978,2938
5724,4944,2951
5782,4880,2980
5791,4805,2985
5782,4783,2980
5770,4787,2973
5782,4783,2980
5780,4729,2980
5782,4685,2980
5775,4672,2976
5782,4685,2980
5776,4652,2979
5782,4587,2980
5778,4515,2977
5782,4490,2980
