II,V,PLETH
-223,140,611
-204,112,635
-161,50,536
-182,11,548
-200,-34,527
-218,-73,494
-231,-97,460
-242,-107,441
-267,-110,421
-307,-119,393
-351,-133,364
-371,-152,341
-355,-171,319
-310,-188,292
-253,-196,265
-207,-196,242
-189,-189,217
-201,-174,192
-229,-151,166
-265,-114,142
-310,-63,117
-366,6,92
-429,94,67
-487,202,42
-530,323,16
-554,450,-8
-569,572,-33
-590,677,-58
-622,753,-84
-653,794,-108
-662,798,-133
-628,767,-157
-558,702,-182
-471,606,-208
-399,482,-239
-359,339,-273
-353,188,-311
-371,43,-349
-395,-84,-386
-413,-188,-417
-424,-271,-446
-426,-338,-471
-421,-395,-497
-406,-447,-520
-389,-489,-546
-376,-525,-570
-375,-546,-596
-385,-558,-620
-407,-554,-646
-430,-543,-670
-447,-519,-696
-445,-490,-720
-422,-451,-746
-373,-409,-770
-301,-358,-795
-209,-301,-820
-113,-235,-845
-29,-167,-870
32,-95,-895
74,-22,-919
104,49,-945
136,120,-969
173,196,-995
208,283,-1019
223,382,-1045
211,490,-1069
173,598,-1095
126,693,-1119
86,752,-1145
60,759,-1169
43,702,-1196
23,585,-1219
-9,422,-1246
-50,238,-1269
-96,60,-1296
-137,-89,-1319
-169,-197,-1347
-191,-264,-1369
-211,-296,-1399
-232,-306,-1422
-252,-304,-1456
-269,-302,-1481
-281,-301,-1515
-288,-306,-1537
-288,-310,-1562
-276,-308,-1573
-250,-293,-1589
-211,-266,-1594
-160,-224,-1608
-109,-175,-1617
-70,-123,-1639
-52,-79,-1657
-57,-39,-1684
-78,-4,-1706
-102,31,-1733
-120,68,-1756
-126,108,-1783
-122,151,-1808
-114,195,-1838
-105,238,-1866
-98,278,-1898
-96,314,-1928
-98,337,-1960
-104,339,-1987
-110,314,-2016
-105,265,-2042
-77,202,-2073
-20,136,-2100
58,80,-2132
139,35,-2159
201,-1,-2189
228,-36,-2209
219,-76,-2233
188,-121,-2250
150,-168,-2275
122,-209,-2292
105,-238,-2319
99,-252,-2338
96,-250,-2368
97,-238,-2388
96,-219,-2419
95,-195,-2441
92,-168,-2476
89,-139,-2500
87,-104,-2538
91,-64,-2567
104,-19,-2609
123,28,-2642
140,77,-2685
143,128,-2718
125,178,-2758
82,224,-2785
24,263,-2814
-39,293,-2826
-92,312,-2831
-130,321,-2812
-157,315,-2779
-178,294,-2724
-193,256,-2657
-199,204,-2572
-186,143,-2477
-154,83,-2365
-104,33,-2239
-47,0,-2098
5,-21,-1944
48,-37,-1778
88,-53,-1601
134,-72,-1417
191,-89,-1226
253,-108,-1031
310,-116,-832
340,-122,-632
343,-123,-431
312,-117,-233
288,-126,-38
267,-104,151
298,-115,334
347,-73,508
427,-66,672
498,-5,823
550,29,962
566,101,1085
546,152,1197
494,226,1297
418,296,1389
321,410,1472
221,591,1548
131,882,1616
82,1293,1675
116,1755,1724
299,2087,1767
699,2008,1803
1365,1230,1837
2270,-423,1866
3292,-2888,1894
4214,-5841,1917
4806,-8764,1938
4907,-11134,1956
4514,-12585,1974
3775,-13006,1990
2930,-12507,2007
2197,-11324,2023
1688,-9706,2039
1393,-7863,2051
1226,-5964,2062
1095,-4163,2069
957,-2604,2076
815,-1390,2080
698,-554,2085
625,-41,2087
589,249,2089
572,424,2085
551,562,2080
524,681,2068
490,796,2054
458,873,2034
431,929,2014
398,957,1986
362,963,1961
299,976,1928
224,970,1899
128,980,1863
32,963,1834
-57,940,1797
-120,877,1770
-155,802,1734
-152,711,1708
-125,626,1675
-75,564,1654
-18,521,1624
46,512,1607
106,519,1582
173,558,1570
240,611,1550
313,692,1541
377,773,1526
427,864,1521
450,943,1510
453,1022,1508
441,1092,1501
439,1175,1502
450,1266,1498
479,1377,1500
510,1494,1497
535,1620,1499
547,1744,1497
555,1875,1499
568,2007,1498
604,2157,1499
662,2325,1498
748,2519,1499
847,2733,1498
961,2966,1499
1080,3195,1498
1209,3407,1499
1339,3571,1498
1479,3683,1499
1620,3738,1497
1768,3760,1498
1914,3766,1494
2064,3789,1492
2207,3833,1484
2353,3910,1478
2504,4002,1465
2670,4110,1455
2848,4211,1438
3038,4304,1427
3223,4364,1410
3387,4397,1401
3517,4382,1386
3613,4342,1379
3680,4269,1364
3725,4186,1355
3740,4072,1338
3717,3939,1326
3634,3762,1306
3480,3556,1293
3249,3308,1273
2964,3053,1259
2647,2791,1240
2329,2551,1225
2016,2319,1206
1718,2113,1190
1427,1913,1169
1145,1725,1150
869,1527,1126
620,1328,1105
408,1119,1082
246,916,1062
130,717,1041
58,545,1023
15,395,1002
-3,276,982
-7,173,960
8,95,938
34,30,915
68,-9,895
99,-28,875
123,-19,856
135,6,836
143,48,816
147,99,793
151,163,771
152,236,749
150,327,733
145,429,719
141,543,711
142,655,702
149,770,694
160,884,680
170,1002,668
177,1118,649
178,1233,634
174,1329,615
154,1390,601
110,1394,582
39,1336,567
-52,1220,549
-145,1065,534
-223,894,516
-274,733,500
-302,600,481
-313,498,462
-316,425,439
-311,375,418
-297,345,395
-269,332,374
-232,331,353
-194,340,335
-159,352,317
-126,365,300
-83,374,282
-25,379,265
44,378,246
112,372,226
160,363,204
178,353,182
163,339,160
127,325,138
83,314,119
37,307,100
-8,303,83
-49,308,66
-84,322,50
-108,341,33
-129,359,17
-152,379,0
-187,406,-16
-239,444,-34
-303,491,-52
-359,541,-72
-389,572,-92
-382,568,-115
-345,511,-138
-288,410,-166
-230,284,-194
-183,161,-226
-153,60,-258
-132,-5,-290
-111,-41,-319
-75,-56,-346
-18,-63,-371
60,-64,-395
149,-61,-416
225,-49,-437
267,-29,-457
268,1,-476
241,34,-495
211,67,-516
204,96,-538
228,118,-562
274,134,-587
309,144,-612
307,151,-637
261,160,-662
184,173,-686
100,198,-712
31,233,-736
-9,277,-762
-21,324,-786
-19,375,-812
-16,427,-836
-29,485,-861
-69,538,-882
-140,588,-905
-240,610,-922
-351,605,-944
-461,564,-961
-529,483,-984
-572,410,-1004
-551,300,-1030
-515,245,-1052
-444,158,-1080
-382,133,-1102
-320,74,-1130
-275,63,-1152
-242,28,-1180
-226,36,-1202
-227,51,-1230
-244,127,-1252
-270,282,-1280
-293,568,-1303
-287,1001,-1331
-212,1529,-1352
-6,1987,-1374
398,2098,-1387
1056,1551,-1401
1956,127,-1411
2984,-2159,-1427
3927,-5019,-1443
4535,-7946,-1465
4629,-10403,-1488
4179,-11993,-1514
3334,-12572,-1536
2348,-12228,-1558
1474,-11180,-1577
855,-9670,-1598
504,-7900,-1616
333,-6039,-1637
240,-4248,-1658
155,-2687,-1683
64,-1475,-1707
-15,-652,-1738
-59,-165,-1765
-66,93,-1799
-46,229,-1827
-14,323,-1860
18,391,-1885
36,452,-1917
33,486,-1940
14,516,-1973
-24,553,-1998
-49,581,-2036
-81,636,-2063
-91,656,-2102
-106,702,-2129
-122,708,-2169
-146,744,-2193
-173,757,-2230
-196,798,-2252
-209,827,-2285
-220,869,-2304
-226,910,-2335
-231,959,-2354
-233,1023,-2383
-236,1102,-2401
-236,1202,-2426
-237,1319,-2443
-232,1451,-2466
-219,1580,-2483
-187,1699,-2509
-139,1781,-2533
-77,1818,-2565
-19,1798,-2601
32,1739,-2647
76,1656,-2697
124,1584,-2753
186,1538,-2809
272,1536,-2862
368,1568,-2905
466,1635,-2940
544,1722,-2966
606,1837,-2985
647,1972,-2997
691,2139,-3002
743,2321,-2999
822,2521,-2983
921,2719,-2953
1049,2919,-2907
1193,3110,-2845
1358,3302,-2768
1531,3481,-2678
1714,3656,-2578
1885,3810,-2465
2043,3951,-2342
2173,4068,-2204
2281,4177,-2055
2368,4268,-1891
2454,4353,-1722
2547,4416,-1540
2662,4461,-1356
2795,4463,-1162
2943,4424,-971
3084,4320,-775
3203,4154,-586
3278,3914,-394
3293,3618,-213
3240,3274,-33
3123,2914,134
2950,2548,299
2733,2208,450
2487,1893,596
2223,1619,728
1949,1377,852
1672,1177,962
1400,1010,1064
1144,878,1155
916,767,1238
726,680,1311
570,610,1379
440,563,1438
316,534,1490
185,529,1535
37,539,1572
-114,567,1602
-249,604,1624
-349,658,1644
-409,719,1659
-431,793,1679
-435,862,1700
-429,919,1728
-425,940,1752
-412,920,1782
-394,850,1803
-365,747,1829
-335,622,1845
-304,507,1866
-277,409,1878
-247,345,1896
-215,306,1902
-175,296,1916
-134,304,1919
-95,341,1929
-64,402,1928
-42,493,1932
-23,601,1925
-7,713,1921
13,809,1908
34,876,1897
59,905,1878
79,901,1862
93,874,1837
94,840,1815
86,805,1786
69,783,1759
49,773,1727
28,775,1697
10,785,1664
-5,799,1632
-21,810,1598
-44,810,1567
-77,786,1535
-123,731,1506
-177,639,1476
-231,518,1450
-274,381,1423
-301,248,1399
-310,139,1373
-312,63,1350
-317,18,1325
-339,-2,1305
-378,-15,1284
-428,-21,1270
-475,-23,1251
-506,-8,1238
-513,24,1218
-500,79,1202
-473,144,1180
-444,213,1165
-422,271,1145
-412,315,1135
-414,336,1120
-423,342,1114
-434,333,1102
-440,315,1097
-441,292,1085
-438,273,1078
-433,266,1065
-428,274,1055
-419,297,1039
-404,333,1027
-382,375,1011
-357,412,1000
-335,433,987
-318,431,976
-302,400,961
-283,338,946
-256,248,925
-223,139,903
-188,25,878
-164,-81,854
-152,-170,828
-150,-238,803
-149,-286,778
-142,-315,754
-124,-325,728
-101,-310,704
-76,-269,678
-61,-201,654
-56,-111,628
-64,-12,602
-78,84,574
-92,170,546
-104,245,515
-113,307,485
-122,354,454
-139,391,425
-162,418,396
-193,435,370
-223,439,342
-254,434,313
-282,428,281
-313,424,250
-345,426,219
-388,434,193
-437,440,171
-494,430,155
-548,396,139
-584,331,121
-585,241,99
-545,139,73
-473,44,45
-399,-36,17
-352,-97,-12
-353,-140,-41
-393,-169,-70
-449,-186,-101
-486,-195,-134
-490,-191,-167
-463,-175,-200
-428,-147,-233
-410,-115,-266
-417,-77,-300
-444,-33,-333
-470,21,-366
-477,85,-399
-453,160,-433
-399,241,-466
-327,319,-499
-259,383,-530
-213,422,-561
-201,435,-589
-227,423,-616
-280,393,-641
-341,358,-667
-384,329,-690
-393,313,-718
-363,311,-742
-298,320,-773
-213,333,-801
-128,339,-835
-59,326,-865
-17,287,-901
-2,215,-931
-13,114,-968
-33,-8,-998
-54,-132,-1034
-60,-241,-1065
-55,-317,-1101
-39,-360,-1131
-27,-364,-1167
-21,-345,-1197
-23,-298,-1231
-20,-245,-1263
-5,-169,-1300
28,-88,-1336
78,-1,-1377
128,87,-1414
175,147,-1451
195,205,-1482
190,229,-1512
157,255,-1537
101,272,-1564
40,300,-1591
-22,338,-1621
-71,384,-1651
-109,450,-1685
-140,536,-1719
-168,688,-1757
-190,922,-1795
-195,1285,-1837
-146,1737,-1878
14,2161,-1921
362,2308,-1962
958,1875,-2002
1809,601,-2038
2821,-1573,-2072
3805,-4433,-2099
4524,-7508,-2123
4785,-10238,-2138
4526,-12154,-2147
3841,-13043,-2145
2948,-12943,-2135
2084,-12077,-2115
1412,-10690,-2087
975,-8998,-2048
724,-7151,-2000
570,-5301,-1938
449,-3597,-1865
340,-2192,-1775
253,-1164,-1675
194,-513,-1562
153,-137,-1442
110,73,-1311
47,232,-1174
-28,361,-1025
-100,505,-873
-144,616,-712
-151,731,-552
-138,820,-388
-103,892,-225
-85,956,-61
-56,972,94
-33,985,236
17,951,352
85,925,445
170,872,516
250,839,581
316,792,654
355,761,743
372,734,846
372,722,954
363,727,1058
348,742,1153
332,774,1238
314,814,1310
308,867,1377
311,919,1438
