II,V,PLETH
1883,9522,8513
2349,11023,9611
2197,9787,8449
1963,8902,7834
2040,9522,8385
2232,10226,8675
2197,10051,8257
2005,9646,7982
2040,9787,8193
2357,10157,8309
2589,10183,8129
2526,9931,7997
2432,9919,8065
2519,10193,8087
2589,10316,8001
2475,10046,7931
2432,9787,7937
2643,9867,7921
2825,10051,7873
2723,9954,7821
2589,9787,7809
2671,9902,7805
2746,10183,7809
2577,10137,7768
2432,9787,7745
2569,9510,7731
2746,9522,7745
2642,9503,7735
2432,9258,7745
2395,8998,7746
2432,9125,7745
2321,9425,7700
2197,9390,7681
2273,8945,7675
2432,8729,7681
2388,8954,7640
2197,9125,7617
2156,8839,7608
2354,8596,7617
2497,8773,7579
2354,8993,7553
2082,8761,7541
2040,8464,7553
2235,8529,7520
2354,8729,7489
2254,8613,7470
2197,8464,7489
2314,8580,7468
2354,8729,7425
2140,8572,7366
1962,8464,7361
2054,8662,7363
2197,8861,7361
2129,8712,7316
2040,8596,7297
2124,8762,7290
2197,8861,7297
2083,8561,7260
2040,8332,7233
2229,8505,7217
2354,8729,7233
2183,8586,7209
2040,8464,7169
2186,8667,7115
2354,8861,7105
2269,8649,7100
2197,8464,7105
2351,8720,7073
2432,9125,7040
2187,9105,6995
1962,8861,6976
2057,8868,6946
2197,9125,6912
2072,9104,6842
1962,8729,6784
2145,8428,6734
2354,8596,6720
2263,8934,6691
2119,8993,6656
2216,8758,6605
2354,8729,6592
2224,8986,6590
2040,9125,6592
2125,8891,6554
2354,8729,6528
2364,8907,6512
2197,9125,6528
2166,9042,6524
2354,8993,6528
2492,9179,6520
2432,9258,6528
2337,8941,6518
2432,8729,6528
2627,8930,6543
2668,9125,6592
2535,8862,6623
2511,8596,6656
2689,8749,6671
2825,8993,6720
2747,8832,6772
2668,8596,6848
2733,8674,6921
2746,8861,7040
2560,8783,7165
2432,8729,7297
2529,8902,7401
2589,8993,7553
2387,8725,7734
2197,8596,7937
2238,8872,8091
2275,9125,8257
2043,8919,8434
1805,8729,8641
1811,8930,8805
1883,9125,8961
1803,8867,9089
1805,8596,9217
2036,8707,9305
2197,8861,9409
2043,8675,9504
1883,8596,9601
1965,8890,9654
2040,9125,9729
1907,9054,9800
1962,9390,9857
2559,10462,9848
3452,11638,9857
4263,12439,9884
5100,13357,9921
6067,14197,9890
6748,13490,9857
6656,10434,9839
5963,6745,9857
5190,4754,9829
4551,4893,9793
3934,5749,9746
3374,6348,9729
3032,6757,9689
2903,7274,9665
2767,7700,9633
2511,7935,9601
2227,8151,9479
2040,8596,9281
1881,9064,9009
1648,9258,8769
1441,9147,8571
1491,9125,8449
1722,9289,8339
1805,9390,8257
1658,9220,8153
1648,9125,8065
1912,9263,7974
2119,9390,7937
2007,9234,7905
1883,9125,7873
1979,9269,7795
2040,9390,7745
1822,9221,7706
1648,9125,7681
1807,9331,7608
2040,9522,7553
2001,9335,7509
1883,9125,7489
1950,9245,7422
2040,9522,7361
1939,9555,7309
1883,9522,7297
2082,9683,7262
2275,9919,7233
2161,9822,7190
1962,9522,7169
2003,9449,7129
2197,9787,7105
2248,10065,7068
2197,9919,7040
2242,9540,6993
2354,9522,6976
2326,9857,6969
2197,10051,6976
2204,9863,6944
2432,9787,6912
2633,10028,6889
2589,10183,6912
2418,9930,6922
2432,9787,6912
2638,10098,6865
2746,10448,6848
2659,10315,6844
2668,10051,6848
2900,10039,6811
3060,10051,6784
2918,9742,6769
2746,9522,6784
2806,9702,6780
2903,9919,6784
2773,9730,6781
2589,9522,6784
2569,9646,6750
2589,9787,6720
2502,9495,6701
2511,9125,6720
2699,9064,6725
2746,9125,6720
2458,8962,6682
2197,8861,6656
2227,9017,6637
2275,9125,6656
2084,8886,6663
1962,8729,6656
2155,8927,6613
2354,9125,6592
2225,8894,6584
2040,8596,6592
2100,8607,6561
2197,8729,6528
2068,8547,6505
1962,8332,6528
2096,8476,6540
2197,8861,6528
1997,8917,6480
1805,8596,6464
1925,8327,6463
2119,8464,6464
2060,8716,6424
1962,8729,6400
2116,8542,6392
2354,8596,6400
2365,8880,6369
2275,8993,6336
2331,8746,6298
2432,8596,6272
2310,8751,6227
2040,8861,6208
1895,8619,6204
1962,8464,6208
2087,8702,6172
2197,8993,6144
2319,8896,6133
2432,8729,6144
2396,8792,6116
2197,8861,6080
2034,8659,6056
2119,8596,6080
2325,8892,6092
2354,9125,6080
2176,8912,6033
2119,8729,6016
2279,8925,6013
2354,9125,6016
2147,8912,5980
1962,8729,5952
2046,8925,5938
2197,9125,5952
2158,8906,5931
2119,8729,5888
2296,8973,5833
2511,9258,5824
2509,9087,5824
2432,8861,5824
2457,9000,5786
2432,9258,5760
2205,9201,5745
2040,9125,5760
2193,9293,5756
2511,9390,5760
2726,9020,5768
2903,8596,5824
3125,8596,5884
3217,8861,5952
3060,8834,6001
2903,8596,6080
2899,8602,6167
2825,8993,6272
2519,9268,6357
2275,9125,6464
2322,8818,6579
2432,8861,6720
2332,9120,6842
2197,9125,6976
2205,8753,7099
2197,8596,7233
2002,8866,7346
1883,9125,7489
2029,8954,7640
2197,8729,7809
2081,8852,7940
1883,9125,8065
1923,9073,8162
2119,8861,8257
2113,8889,8315
1883,9125,8385
1714,9067,8446
1805,8729,8513
2056,8710,8541
2354,9522,8577
2743,10782,8604
3374,11903,8641
4266,12849,8640
5257,14019,8641
6075,14896,8631
6513,14151,8641
6460,11171,8632
5963,7406,8641
5227,5031,8638
4551,4893,8641
4062,5871,8606
3688,6613,8577
3358,6830,8536
3139,7142,8513
2994,7723,8470
2746,8200,8449
2347,8316,8415
2040,8464,8385
1967,8837,8314
1962,9125,8257
1862,9009,8206
1805,8861,8193
1872,9008,8161
1883,9258,8129
1704,9207,8062
1569,9125,8001
1655,9363,7921
1805,9787,7873
1808,9804,7829
1805,9390,7809
1888,9033,7750
1883,9125,7681
1660,9375,7594
1491,9390,7553
1597,9232,7519
1805,9390,7489
1839,9834,7417
1805,10051,7361
1899,9772,7313
2040,9522,7297
2010,9628,7258
1883,9787,7233
1888,9626,7195
2040,9522,7169
2075,9767,7121
1883,10051,7105
1692,9948,7098
1805,9787,7105
2141,9893,7070
2354,10051,7040
2288,9906,7002
2197,9787,6976
2281,9968,6929
2432,10183,6912
2500,10058,6908
2589,9919,6912
2737,10072,6874
2746,10316,6848
2562,10311,6837
2511,10316,6848
2735,10497,6818
2903,10580,6784
2760,10295,6760
2589,10051,6784
2654,10115,6794
2746,10183,6784
2642,9904,6739
2589,9654,6720
2775,9746,6711
2903,9919,6720
2711,9756,6710
2511,9522,6720
2604,9531,6722
2746,9654,6720
2595,9549,6679
2354,9390,6656
2337,9379,6646
2432,9390,6656
2378,9139,6644
2275,8861,6656
2263,8874,6681
2197,9125,6720
1978,9114,6720
1883,8729,6720
2056,8352,6716
2197,8464,6720
2049,8849,6686
1883,8993,6656
1988,8743,6638
2197,8596,6656
2205,8745,6658
2119,8861,6656
2167,8677,6625
2275,8596,6592
2204,8823,6544
2040,8993,6528
2074,8769,6523
2354,8596,6528
2549,8784,6496
2432,8993,6464
2195,8838,6425
2197,8729,6400
2399,8953,6358
2432,9125,6336
2171,8846,6325
1962,8596,6336
2020,8762,6312
2119,8993,6272
2048,8848,6220
2040,8729,6208
2259,8949,6207
2432,9125,6208
2320,8848,6173
2197,8596,6144
2310,8765,6126
2432,8993,6144
2311,8809,6149
2197,8596,6144
2317,8716,6107
2432,8861,6080
2302,8599,6061
2197,8332,6080
2331,8502,6088
2432,8861,6080
2258,8833,6036
2119,8596,6016
2269,8671,6012
2432,9125,6016
2316,9367,5981
2197,9125,5952
2367,8737,5936
2589,8729,5952
2522,8966,5950
2354,8993,5952
2410,8703,5945
2589,8596,5952
2571,8826,5943
2432,8993,5952
2501,8777,5951
2825,8596,5952
3057,8729,5932
2982,8861,5952
2775,8639,6002
2746,8464,6080
2872,8647,6116
2903,8861,6144
2782,8681,6180
2746,8464,6272
2827,8559,6368
2746,8729,6464
2411,8597,6539
2197,8464,6656
2309,8550,6800
2432,8596,6976
2253,8361,7131
2040,8332,7297
2078,8750,7452
2197,9125,7617
2122,8943,7745
2040,8596,7873
2134,8578,7989
2197,8729,8129
2024,8618,8253
1883,8464,8385
1972,8597,8485
2040,8861,8577
1876,8813,8632
1805,8596,8705
2097,8637,8769
2511,9125,8833
2800,9846,8840
3296,10712,8833
4322,11597,8814
5571,12167,8833
6460,11849,8855
6826,10448,8897
6748,8288,8905
6199,6216,8897
5261,5018,8851
4394,5026,8833
3928,5749,8822
3688,6480,8833
3371,6854,8803
3060,7142,8769
2902,7575,8721
2746,8067,8705
2404,8295,8671
2040,8332,8641
1864,8503,8592
1805,8993,8577
1702,9377,8548
1648,9258,8513
1730,8813,8435
1805,8729,8385
1700,9060,8345
1569,9258,8321
1613,9006,8252
1805,8861,8193
1927,9134,8141
1962,9390,8129
1995,9161,8094
2040,8861,8065
1956,8927,8021
1726,9125,8001
1507,9043,7962
1491,8993,7937
1643,9256,7896
1805,9522,7873
1905,9399,7831
2040,9258,7809
2188,9398,7772
2197,9522,7745
2062,9289,7697
2040,9125,7681
2218,9324,7671
2354,9522,7681
2275,9313,7652
2197,9125,7617
2282,9336,7568
2354,9654,7553
2253,9617,7522
2197,9522,7489
2331,9728,7435
2432,10051,7425
2328,10047,7423
2275,9919,7425
2449,10034,7383
2589,10316,7361
2468,10243,7351
2354,9787,7361
2492,9408,7327
2668,9522,7297
2609,9842,7276
2511,9919,7297
2613,9702,7297
2746,9654,7297
2634,9852,7282
2432,9919,7297
2438,9613,7295
2589,9390,7297
2549,9546,7280
2275,9787,7297
2082,9667,7320
2197,9390,7361
2418,9198,7364
2432,8993,7361
2252,8658,7344
2197,8596,7361
2345,8912,7365
2432,9125,7361
2299,8857,7318
2197,8596,7297
2308,8707,7284
2432,8861,7297
2359,8647,7289
2275,8464,7297
2338,8640,7295
2354,8861,7297
2166,8721,7260
2040,8596,7233
2159,8793,7214
2275,8993,7233
2176,8799,7233
2119,8596,7233
2275,8716,7217
2354,8861,7233
2136,8641,7237
1962,8464,7233
2084,8723,7190
2197,9125,7169
1999,9117,7156
1805,8861,7169
1950,8725,7160
2197,8729,7169
2172,8635,7168
2040,8596,7169
2089,8725,7129
2197,8861,7105
2128,8779,7090
2040,8729,7105
2118,8905,7098
2197,9125,7105
2096,8984,7101
2040,8596,7105
2221,8389,7069
2432,8596,7040
2424,8826,7021
2354,8729,7040
2406,8469,7043
2432,8596,7040
2240,9046,7022
2040,9258,7040
2112,9002,7067
2354,8861,7105
2402,9098,7104
2197,9258,7105
2027,8960,7093
2119,8729,7105
2290,8926,7100
2275,9125,7105
2139,8854,7094
2197,8596,7105
2437,8800,7099
2511,9125,7105
2325,9069,7094
2275,8993,7105
2537,9221,7099
2746,9390,7105
2629,9104,7090
2511,8861,7105
2647,9047,7122
2746,9258,7169
2551,9005,7194
2432,8729,7233
2717,8830,7271
3060,8993,7361
3002,8811,7451
2746,8729,7553
2690,9070,7630
2746,9390,7745
2620,9170,7864
2432,8861,8001
2405,8965,8111
2432,9258,8257
2312,9196,8412
2197,8993,8577
2211,9003,8695
2197,9125,8833
2027,8977,8981
1962,8729,9153
2114,8739,9279
2197,8993,9409
2013,9048,9532
1883,8861,9665
2035,8829,9737
2197,9258,9793
2082,9672,9837
1962,9522,9921
2152,9028,9987
2511,9125,10049
2775,10028,10075
3139,11109,10113
3900,11986,10119
4943,13093,10113
5875,14148,10067
6513,13754,10049
6796,11111,10038
6591,7671,10049
5859,5500,10017
4943,5158,9985
4268,5675,9938
3923,6348,9921
3655,7003,9882
3296,7538,9857
2918,7800,9813
2668,8067,9793
2496,8492,9752
2275,8861,9729
2012,8964,9686
1883,9125,9665
1922,9425,9623
1962,9522,9601
1900,9241,9559
1883,9125,9537
1958,9405,9494
1962,9654,9473
1807,9489,9432
1726,9390,9409
1796,9664,9366
1805,9919,9345
1648,9693,9305
1648,9390,9281
1921,9459,9236
2119,9654,9217
1994,9453,9182
1883,9125,9153
2043,9234,9083
2197,9787,9025
2070,10110,8969
1962,9919,8961
2147,9551,8934
2354,9522,8897
2260,9721,8818
2119,9787,8769
2241,9631,8725
2432,9654,8705
2361,9911,8660
2197,10051,8641
2253,9864,8610
2432,9787,8577
2404,10014,8498
2197,10183,8449
2094,9957,8428
2197,9787,8449
2340,10009,8424
2432,10316,8385
2524,10272,8330
2668,10183,8321
2786,10325,8314
2825,10448,8321
2830,10262,8290
2903,10183,8257
2995,10432,8205
2982,10580,8193
2865,10241,8186
2825,9919,8193
2893,10013,8157
2903,10183,8129
2785,9979,8105
2746,9787,8129
2856,9928,8135
2903,10051,8129
2783,9730,8082
2746,9390,8065
2886,9413,8056
2903,9522,8065
2632,9307,8031
