III,V,PLETH
7438,1661,2982
8416,1816,3361
7438,1510,2950
6955,1333,2740
7501,1419,2950
7817,1473,3074
7501,1389,2950
7293,1329,2869
7501,1359,2950
7629,1370,2998
7501,1329,2950
7414,1306,2922
7501,1329,2950
7550,1341,2948
7501,1329,2918
7448,1319,2925
7438,1329,2982
7406,1343,3030
7375,1359,3047
7363,1375,3045
7375,1389,3047
7369,1391,3047
7375,1389,3047
7366,1385,3031
7375,1389,3015
7368,1391,2996
7375,1389,2982
7366,1383,2962
7375,1389,2950
7368,1405,2936
7375,1419,2918
7366,1418,2882
7375,1419,2853
7367,1438,2832
7375,1480,2820
7383,1517,2791
7438,1540,2756
7501,1551,2717
7564,1570,2691
7569,1591,2657
7564,1601,2626
7566,1587,2589
7627,1570,2561
7678,1556,2527
7690,1540,2496
7628,1500,2460
7564,1450,2431
7496,1397,2397
7438,1359,2367
7356,1324,2329
7312,1299,2302
7278,1280,2277
7249,1268,2269
7169,1262,2254
7123,1268,2237
7109,1287,2209
7123,1299,2204
7069,1298,2213
6997,1299,2237
6938,1303,2247
6934,1299,2269
6894,1312,2303
6808,1419,2367
6697,1647,2435
6682,1963,2529
6766,2329,2631
6934,2718,2756
7129,2961,2884
7438,2809,3047
7936,2176,3231
8699,1268,3436
9634,313,3637
10590,-604,3858
11273,-1417,4083
11472,-1933,4312
11112,-2059,4517
10401,-1933,4733
9559,-1718,4949
8762,-1359,5154
8031,-777,5309
7438,-91,5446
7003,467,5575
6745,846,5706
6582,1133,5806
6493,1389,5900
6420,1566,5983
6366,1661,6062
6293,1716,6112
6240,1782,6159
6194,1836,6196
6177,1872,6224
6160,1885,6212
6177,1903,6192
6184,1928,6169
6177,1963,6159
6128,1994,6129
6114,2023,6095
6115,2053,6045
6114,2084,5997
6048,2111,5930
5988,2144,5868
5965,2185,5798
5988,2235,5738
5973,2278,5657
5925,2325,5576
5851,2379,5486
5799,2446,5414
5735,2508,5333
5673,2567,5252
5596,2622,5150
5547,2688,5057
5503,2752,4957
5484,2809,4863
5448,2842,4748
5421,2869,4636
5396,2895,4515
5421,2929,4409
5453,2952,4292
5484,2960,4182
5491,2948,4071
5547,2929,3987
5650,2894,3904
5799,2839,3825
5940,2754,3733
6114,2658,3663
6302,2553,3606
6493,2446,3566
6626,2318,3511
6745,2174,3469
6844,2025,3439
6934,1903,3436
6968,1803,3422
6997,1721,3404
7023,1639,3376
7060,1570,3371
7059,1516,3370
7060,1480,3371
7073,1444,3353
7123,1419,3339
7139,1400,3329
7123,1389,3339
7074,1371,3342
7060,1359,3339
7058,1353,3319
7060,1359,3307
7022,1360,3299
6997,1359,3307
6983,1355,3307
6997,1359,3307
6991,1360,3290
6997,1359,3274
6995,1353,3253
6997,1359,3242
6960,1372,3225
6934,1389,3209
6917,1392,3187
6934,1389,3177
6931,1385,3163
6934,1389,3145
6924,1391,3108
6934,1389,3080
6928,1384,3059
6934,1389,3047
6927,1401,3017
6934,1419,2982
6925,1433,2945
6934,1450,2918
6928,1473,2883
6934,1510,2853
6939,1544,2818
6997,1570,2788
7066,1584,2751
7123,1601,2723
7119,1609,2691
7123,1601,2658
7145,1569,2617
7186,1540,2593
7172,1514,2577
7123,1480,2561
7029,1418,2524
6934,1359,2496
6837,1318,2477
6808,1299,2464
6809,1280,2429
6808,1268,2399
6736,1267,2375
6682,1268,2367
6659,1267,2346
6682,1268,2334
6657,1282,2326
6619,1299,2334
6573,1305,2337
6556,1299,2367
6504,1302,2418
6429,1359,2496
6320,1482,2568
6240,1691,2658
6212,2024,2769
6303,2476,2918
6499,2835,3071
6808,2839,3242
7215,2462,3420
7816,1903,3631
8642,1164,3851
9644,91,4085
10554,-1138,4292
11094,-1933,4474
11062,-2055,4625
10527,-1933,4798
9674,-1977,4987
8762,-1933,5187
7922,-1404,5355
7249,-544,5511
6727,156,5655
6366,574,5803
6121,916,5923
5988,1268,6030
5908,1502,6112
5862,1601,6192
5797,1675,6246
5736,1782,6289
5681,1851,6306
5673,1872,6322
5672,1877,6320
5673,1903,6322
5637,1931,6305
5610,1963,6289
5571,1994,6254
5547,2023,6224
5501,2051,6186
5484,2084,6159
5475,2118,6115
5484,2144,6062
5456,2157,5989
5421,2174,5933
5379,2207,5872
5358,2265,5803
5306,2327,5700
5232,2386,5608
5141,2429,5524
5106,2476,5446
