II,V,PLETH,ABP
0,505,872,4912
9,452,1031,5244
15,291,1048,4628
18,250,1178,4862
19,188,1269,4860
17,131,1333,4757
15,82,1391,4662
13,48,1456,4679
12,21,1517,4707
11,1,1562,4671
11,-11,1603,4636
11,-12,1645,4649
13,-2,1686,4672
16,17,1718,4663
18,33,1750,4658
19,34,1782,4675
17,10,1812,4693
15,-32,1839,4700
14,-76,1865,4709
16,-95,1892,4731
19,-73,1918,4742
22,-14,1943,4750
23,59,1968,4761
22,115,1991,4764
20,130,2013,4770
17,103,2031,4765
14,57,2050,4764
9,24,2064,4750
3,24,2077,4743
-3,56,2083,4724
-7,96,2088,4714
-9,112,2083,4691
-9,87,2077,4679
-8,23,2062,4651
-7,-52,2048,4636
-4,-101,2024,4599
-1,-97,2003,4577
2,-39,1970,4531
4,37,1939,4503
4,93,1895,4453
2,94,1856,4431
-1,51,1806,4388
-3,-10,1763,4378
-3,-52,1710,4345
-1,-68,1665,4340
3,-70,1614,4310
7,-82,1578,4303
13,-109,1540,4270
19,-128,1517,4256
23,-108,1491,4220
23,-35,1471,4201
20,69,1438,4165
14,154,1406,4147
12,168,1364,4114
20,96,1326,4096
43,-42,1287,4065
83,-200,1255,4044
130,-336,1222,4014
166,-429,1192,3995
174,-472,1157,3972
139,-474,1121,3964
64,-448,1080,3954
-30,-402,1040,3958
-117,-345,1002,3962
-174,-280,968,3975
-194,-194,937,3981
-183,-97,911,3989
-161,15,885,3985
-136,114,860,3979
-116,188,833,3954
-92,225,803,3926
-66,246,767,3878
-34,266,726,3831
-8,311,676,3764
11,368,624,3707
14,424,572,3644
15,445,526,3608
14,441,484,3576
26,419,449,3585
42,410,413,3598
68,384,377,3645
94,308,337,3677
135,99,298,3728
193,-256,259,3749
292,-745,228,3783
428,-1264,202,3779
601,-1725,183,3788
782,-2040,164,3767
957,-2213,144,3762
1099,-2271,115,3732
1208,-2280,79,3720
1284,-2282,36,3690
1343,-2293,-10,3677
1396,-2309,-58,3648
1450,-2323,-106,3636
1507,-2329,-154,3614
1560,-2330,-201,3610
1605,-2332,-248,3600
1637,-2336,-293,3606
1661,-2341,-338,3605
1682,-2344,-381,3616
1709,-2345,-424,3622
1745,-2342,-467,3639
1789,-2347,-508,3653
1839,-2355,-550,3685
1895,-2363,-591,3724
1950,-2329,-632,3794
1986,-2211,-671,3880
1969,-1971,-709,4005
1858,-1607,-745,4144
1627,-1176,-782,4316
1287,-757,-815,4493
891,-432,-849,4699
518,-238,-879,4908
235,-171,-913,5153
72,-192,-943,5399
14,-259,-977,5683
15,-338,-1006,5956
34,-404,-1041,6253
42,-427,-1070,6514
42,-388,-1103,6777
33,-273,-1131,6980
29,-112,-1164,7182
22,58,-1189,7325
18,179,-1220,7474
7,228,-1244,7566
1,189,-1275,7664
-8,92,-1298,7703
-8,-49,-1327,7743
-13,-185,-1348,7727
-12,-299,-1373,7717
-18,-340,-1390,7667
-17,-293,-1411,7627
-20,-148,-1425,7555
-18,62,-1443,7493
-19,285,-1457,7408
-22,461,-1474,7334
-26,552,-1488,7243
-29,557,-1506,7169
-30,506,-1521,7088
-28,447,-1539,7023
-25,417,-1557,6954
-22,423,-1580,6900
-19,448,-1605,6840
-15,451,-1636,6791
-11,401,-1666,6734
-6,290,-1695,6686
0,141,-1719,6629
5,-1,-1739,6582
9,-105,-1755,6528
13,-155,-1774,6487
18,-173,-1797,6440
23,-183,-1827,6409
28,-203,-1861,6367
30,-228,-1897,6339
32,-233,-1933,6295
33,-204,-1968,6262
32,-137,-1997,6207
30,-48,-2020,6166
27,33,-2033,6100
21,82,-2030,6057
14,82,-2007,5988
7,35,-1967,5945
4,-40,-1910,5872
3,-118,-1841,5826
5,-166,-1757,5741
8,-167,-1665,5687
13,-112,-1565,5593
18,-17,-1461,5534
20,90,-1344,5441
20,171,-1214,5387
16,200,-1057,5306
10,164,-873,5261
4,78,-659,5191
0,-30,-435,5151
1,-118,-216,5089
6,-155,-22,5055
11,-126,147,5005
14,-47,285,4982
15,48,408,4951
15,109,518,4944
14,101,624,4932
14,14,718,4939
12,-134,801,4941
10,-294,865,4958
6,-416,913,4968
0,-461,948,4989
-5,-423,979,5001
-6,-335,1011,5020
2,-244,1048,5028
22,-197,1090,5041
57,-206,1134,5042
101,-254,1174,5049
144,-310,1210,5046
169,-344,1241,5050
159,-351,1267,5043
111,-340,1292,5044
36,-322,1314,5028
-47,-299,1338,5020
-115,-259,1357,4992
-154,-188,1380,4975
-163,-83,1399,4936
-149,40,1423,4915
-126,149,1442,4874
-99,213,1463,4857
-70,208,1477,4817
-40,127,1492,4802
-12,-12,1498,4760
9,-174,1505,4743
23,-312,1503,4694
30,-386,1502,4671
33,-375,1492,4620
37,-286,1483,4594
43,-153,1466,4546
51,-19,1449,4523
54,81,1423,4479
55,124,1397,4457
53,115,1362,4418
54,72,1326,4398
56,21,1283,4361
59,-15,1240,4343
60,-16,1192,4315
56,16,1146,4304
47,70,1097,4288
35,127,1051,4289
25,165,1003,4292
19,176,958,4310
19,157,913,4321
21,123,871,4332
24,83,829,4319
25,46,791,4291
25,15,755,4231
24,-5,722,4171
24,-4,690,4105
25,25,660,4071
29,81,632,4058
33,140,605,4099
35,168,580,4159
37,132,558,4259
39,28,538,4342
42,-114,520,4429
45,-238,502,4462
48,-288,484,4488
49,-241,464,4463
48,-121,443,4461
45,24,421,4440
43,136,402,4483
44,200,385,4540
46,221,372,4686
50,231,360,4849
49,244,347,5095
51,256,330,5338
48,246,307,5629
46,187,279,5881
41,90,249,6147
38,-24,217,6366
29,-103,185,6593
22,-121,150,6781
11,-64,112,6980
2,29,66,7150
-11,110,13,7331
-25,117,-49,7485
-45,21,-112,7637
-68,-175,-172,7741
-102,-428,-227,7807
-152,-673,-276,7798
-227,-843,-320,7728
-329,-887,-362,7587
-454,-772,-402,7413
-588,-502,-443,7220
-714,-99,-487,7046
-821,382,-535,6902
-913,876,-589,6809
-999,1313,-650,6759
-1094,1648,-716,6755
-1198,1851,-779,6768
-1309,1933,-838,6799
-1410,1912,-888,6821
-1494,1826,-935,6845
-1553,1723,-975,6847
-1597,1642,-1019,6858
-1633,1626,-1061,6848
-1672,1689,-1107,6853
-1706,1811,-1145,6829
-1739,1969,-1183,6816
-1760,2103,-1208,6758
-1775,2198,-1235,6698
-1775,2231,-1254,6571
-1773,2220,-1283,6433
-1765,2171,-1312,6225
-1766,2114,-1356,6021
-1768,2060,-1395,5771
-1785,2040,-1443,5567
-1801,2046,-1483,5357
-1819,2068,-1530,5223
-1817,2026,-1568,5101
-1799,1867,-1612,5055
-1757,1529,-1649,5018
-1714,1070,-1691,5044
-1669,588,-1724,5067
-1643,263,-1760,5129
-1618,204,-1789,5165
-1597,450,-1821,5205
-1561,903,-1848,5195
-1515,1422,-1878,5170
-1454,1854,-1904,5093
-1398,2132,-1934,5010
-1342,2254,-1962,4902
-1295,2285,-1994,4812
-1249,2282,-2025,4727
-1205,2287,-2060,4677
-1168,2303,-2094,4641
-1148,2320,-2132,4636
-1156,2329,-2169,4636
-1197,2330,-2209,4651
-1265,2331,-2249,4660
-1348,2336,-2290,4678
-1431,2338,-2328,4687
-1504,2343,-2367,4704
-1562,2340,-2402,4712
-1608,2342,-2436,4731
-1646,2349,-2464,4739
-1684,2361,-2490,4759
-1729,2361,-2507,4766
-1778,2315,-2519,4791
-1814,2186,-2522,4805
-1810,1958,-2520,4845
-1723,1633,-2506,4873
-1534,1256,-2487,4928
-1239,863,-2453,4964
-886,504,-2409,5020
-532,193,-2346,5042
-246,-41,-2273,5075
-60,-196,-2183,5062
22,-247,-2087,5056
37,-205,-1976,5003
19,-79,-1860,4960
7,71,-1729,4881
6,201,-1596,4821
21,259,-1449,4740
39,252,-1303,4686
66,194,-1150,4623
95,134,-999,4589
130,87,-840,4549
153,62,-686,4532
156,36,-538,4506
118,10,-412,4495
50,-20,-305,4472
-38,-21,-225,4460
-111,0,-158,4438
-159,45,-91,4426
-167,75,-7,4405
-153,67,93,4391
-127,11,206,4369
-106,-73,318,4352
-93,-150,426,4328
-80,-191,522,4308
-63,-185,608,4281
-39,-141,690,4261
-16,-81,771,4231
1,-26,854,4207
7,6,934,4174
6,2,1009,4151
6,-38,1074,4119
14,-107,1128,4101
33,-175,1169,4074
57,-207,1205,4063
78,-175,1233,4038
91,-78,1262,4031
94,54,1287,4007
90,175,1317,4005
82,239,1342,3983
72,228,1371,3985
63,159,1396,3963
53,75,1422,3967
43,20,1439,3943
35,14,1454,3946
29,48,1458,3920
25,86,1459,3922
24,94,1450,3895
22,46,1439,3894
20,-52,1417,3866
18,-176,1394,3864
16,-292,1367,3841
15,-364,1344,3844
18,-376,1322,3830
24,-321,1306,3842
32,-217,1288,3851
40,-92,1268,3896
47,21,1239,3956
52,87,1203,4060
51,95,1159,4185
46,54,1114,4350
40,-14,1065,4531
35,-79,1017,4745
34,-127,969,4976
36,-157,923,5243
42,-176,875,5531
48,-189,830,5855
52,-180,786,6190
51,-127,744,6542
48,-15,704,6874
43,151,669,7187
41,337,635,7437
42,492,606,7645
44,573,579,7782
46,562,555,7890
43,471,532,7944
36,345,510,7997
27,237,488,8013
17,192,467,8042
9,219,445,8034
3,293,425,8042
-2,351,403,8009
-7,342,383,7996
-11,242,361,7938
-13,85,340,7905
-14,-64,315,7828
-13,-151,290,7781
-13,-157,261,7695
-15,-119,232,7644
-20,-88,199,7558
-27,-98,166,7509
-32,-137,130,7432
-35,-158,94,7391
-33,-121,56,7324
-26,-20,17,7288
-17,105,-23,7226
-8,207,-64,7187
-4,250,-105,7124
-3,246,-145,7081
-6,229,-184,7023
-9,229,-223,6984
-12,248,-262,6934
-12,263,-301,6899
-10,238,-341,6854
-7,168,-382,6820
-3,72,-422,6774
2,0,-462,6737
10,-12,-501,6691
18,41,-540,6654
24,125,-576,6607
28,191,-614,6571
28,207,-652,6526
25,181,-692,6491
20,146,-729,6441
16,131,-765,6400
14,149,-794,6339
12,182,-820,6292
11,205,-840,6219
9,208,-864,6163
8,198,-894,6078
8,197,-933,6013
10,215,-977,5915
13,244,-1025,5844
15,263,-1074,5744
16,263,-1123,5679
15,250,-1170,5584
13,243,-1218,5526
9,259,-1265,5434
8,289,-1310,5381
8,310,-1348,5298
9,297,-1376,5258
9,238,-1391,5197
8,149,-1391,5177
6,53,-1374,5141
5,-17,-1344,5139
5,-46,-1305,5121
7,-38,-1258,5131
9,-4,-1200,5123
10,36,-1123,5136
11,68,-1021,5131
11,87,-886,5139
13,87,-720,5129
16,75,-536,5129
19,46,-349,5115
22,11,-174,5108
25,-24,-18,5089
28,-52,120,5077
29,-61,245,5054
28,-52,365,5036
22,-21,482,5008
11,8,594,4985
-4,8,691,4954
-20,-49,772,4930
-33,-189,833,4899
-44,-399,881,4879
-59,-636,922,4851
-77,-818,969,4838
-96,-851,1022,4814
-111,-658,1084,4805
-115,-234,1145,4779
-103,350,1204,4769
-79,944,1255,4739
-53,1384,1301,4727
-37,1533,1339,4695
-34,1341,1375,4686
-41,858,1404,4654
-53,215,1433,4647
-65,-407,1452,4614
-73,-858,1473,4607
-80,-1044,1487,4569
-91,-965,1504,4556
-106,-706,1514,4512
-121,-388,1527,4490
-128,-118,1533,4442
-124,50,1542,4414
-113,124,1545,4366
-103,148,1548,4338
-103,177,1545,4294
-115,226,1540,4270
-133,304,1528,4232
-144,375,1515,4212
-137,412,1495,4186
-113,367,1474,4176
-77,217,1447,4161
-43,-20,1418,4157
-19,-287,1382,4147
-6,-481,1343,4143
2,-534,1297,4128
11,-430,1249,4116
26,-243,1196,4094
47,-67,1142,4074
71,13,1085,4045
97,-23,1028,4023
127,-141,970,3995
167,-296,912,3978
218,-455,853,3958
273,-602,795,3950
322,-724,738,3935
351,-784,685,3932
351,-756,633,3919
321,-641,585,3919
267,-493,540,3906
201,-384,500,3907
136,-385,461,3893
79,-478,427,3896
33,-606,394,3879
-1,-646,365,3882
-29,-526,335,3863
-44,-235,309,3866
-60,147,282,3846
-60,487,258,3851
-68,666,233,3832
-70,659,211,3838
-87,512,189,3823
-110,354,172,3828
-139,274,156,3814
-165,310,145,3818
-181,419,135,3803
-188,547,125,3803
-189,671,111,3787
-190,820,93,3783
-194,1043,70,3765
-196,1344,44,3759
-178,1660,17,3742
-112,1889,-10,3736
46,1945,-39,3724
333,1829,-71,3722
766,1622,-109,3716
1299,1437,-152,3719
