II,MCL,ABP,RESP
9081,9760,2574,1468
10194,11011,2914,1690
8814,9647,2574,1534
8053,8892,2398,1466
8725,9477,2574,1600
9220,9774,2665,1699
8814,9250,2529,1682
8426,8863,2430,1683
8725,9023,2485,1765
9154,9112,2528,1831
9170,8909,2485,1847
9008,8748,2441,1869
9170,8739,2441,1930
9574,8630,2428,1989
9794,8455,2396,2029
9682,8398,2372,2057
9616,8455,2352,2095
9795,8451,2309,2133
9972,8398,2263,2177
9904,8357,2234,2218
9883,8342,2219,2260
10118,8312,2196,2298
10328,8342,2174,2342
10164,8398,2149,2381
9972,8455,2130,2424
10085,8441,2105,2464
10328,8455,2086,2507
10321,8517,2063,2543
10239,8625,2041,2589
10284,8682,2012,2636
10328,8739,1997,2688
10160,8793,1993,2729
10061,8852,1997,2771
10171,8847,1981,2808
10239,8852,1953,2853
9999,8886,1921,2891
9794,8966,1908,2936
9884,8988,1906,2975
10061,8966,1908,3018
9963,8912,1892,3054
9794,8909,1864,3101
9792,8926,1831,3147
9883,8966,1819,3200
9771,8987,1819,3238
9616,9023,1819,3282
9631,9015,1798,3325
9794,8966,1775,3381
9757,8893,1763,3428
9527,8909,1775,3480
9392,8964,1783,3525
9616,8966,1775,3579
9902,8881,1748,3625
9883,8909,1731,3678
9544,9105,1726,3724
9260,9363,1731,3777
8956,9495,1728,3823
8369,9533,1731,3876
7790,9415,1733,3917
8191,9023,1731,3958
9665,8313,1708,3990
11129,7604,1686,4041
11681,7098,1678,4092
11841,6753,1686,4140
12221,6385,1688,4157
12465,6072,1686,4173
11931,5821,1682,4185
11040,5561,1686,4206
10418,5273,1686,4207
9972,5277,1686,4206
9257,5684,1683,4199
8636,6242,1686,4206
8615,6590,1686,4203
9081,6810,1686,4206
9499,7071,1682,4201
9883,7377,1686,4206
10364,7546,1688,4202
10773,7661,1686,4206
10799,7832,1679,4201
10684,8058,1686,4206
10716,8148,1707,4202
10862,8115,1731,4206
10869,8049,1735,4201
10862,8058,1731,4206
10940,8085,1726,4201
11040,8115,1731,4206
11007,8100,1731,4201
11040,8058,1731,4206
11193,7965,1727,4201
11307,7888,1731,4206
11175,7836,1730,4201
11040,7831,1731,4206
11108,7792,1727,4201
11307,7717,1731,4206
11329,7624,1731,4201
11218,7604,1731,4206
11172,7597,1726,4201
11307,7547,1731,4206
11360,7441,1735,4201
11218,7434,1731,4206
11033,7522,1707,4201
11129,7604,1686,4206
11337,7567,1679,4201
11307,7547,1686,4206
10981,7613,1687,4201
10862,7717,1686,4206
11067,7722,1683,4201
11218,7717,1686,4206
11007,7791,1685,4201
10862,7944,1686,4206
11033,8031,1685,4201
11218,8058,1686,4206
11034,8069,1684,4201
10862,8115,1686,4206
11026,8112,1686,4201
11307,8058,1686,4206
11283,7961,1681,4201
11218,7888,1686,4206
11390,7807,1690,4201
11663,7717,1686,4206
11727,7579,1661,4201
11841,7434,1642,4206
12164,7280,1635,4201
12465,7150,1642,4206
12449,6991,1640,4201
12465,6810,1642,4206
12751,6595,1640,4201
13088,6412,1642,4206
13110,6253,1633,4201
13088,6129,1642,4206
13273,5984,1661,4201
13533,5845,1686,4206
13547,5692,1696,4201
13533,5561,1731,4206
13711,5411,1798,4201
13978,5277,1908,4206
14023,5155,2038,4201
13978,5107,2219,4206
14002,5093,2443,4201
14067,5107,2707,4206
13979,5093,2980,4201
13889,5107,3284,4206
13884,5156,3600,4201
13889,5277,3905,4206
13714,5409,4157,4201
13533,5561,4393,4206
13463,5708,4633,4201
13444,5902,4881,4206
13226,6114,5094,4201
12910,6356,5281,4206
12678,6562,5455,4201
12643,6753,5636,4206
12576,6926,5789,4201
12376,7150,5902,4206
12081,7385,5961,4201
11931,7604,5991,4206
11890,7751,5984,4201
11841,7888,5947,4206
11655,8021,5868,4201
11485,8171,5769,4206
11350,8286,5644,4201
11218,8398,5503,4206
11045,8489,5340,4201
11040,8569,5192,4206
11143,8595,5056,4201
11129,8625,4926,4206
10861,8650,4770,4202
10684,8682,4615,4206
10728,8674,4470,4201
10773,8682,4349,4206
10549,8684,4217,4202
10328,8682,4083,4206
10302,8636,3940,4201
10328,8625,3816,4206
10142,8643,3696,4203
9972,8682,3595,4206
9988,8687,3498,4200
10061,8739,3417,4206
9932,8821,3327,4206
9794,8909,3240,4206
9783,8927,3143,4182
9794,8966,3062,4156
9634,9039,2987,4120
9527,9136,2929,4090
9576,9163,2862,4047
9616,9193,2796,4008
9422,9255,2723,3966
9260,9363,2663,3942
9339,9409,2597,3910
