II,MCL,PLETH
5453,4718,9360
6087,5382,10539
5253,4767,9192
4765,4375,8431
4987,4571,8968
5003,4625,9249
4588,4325,8744
4344,4140,8358
4455,4276,8463
4492,4446,8457
4322,4522,8127
4209,4585,7853
4256,4620,7791
4288,4534,7681
4256,4423,7455
4239,4379,7249
4256,4325,7118
4236,4179,6965
4189,4079,6782
4148,4139,6599
4123,4276,6446
4086,4343,6310
4056,4374,6221
4019,4409,6131
3990,4423,6053
3948,4350,5958
3923,4276,5885
3909,4261,5813
3923,4276,5773
3928,4232,5732
3923,4178,5717
3889,4134,5703
3857,4079,5717
3816,3989,5718
3790,3981,5717
3771,4083,5683
3790,4178,5661
3821,4117,5644
3857,3981,5661
3877,3905,5663
3923,3932,5661
3989,3965,5643
4056,3981,5661
4070,3980,5687
4056,3981,5717
4038,3967,5711
4056,3981,5717
4084,3999,5732
4123,3981,5773
4151,3901,5797
4189,3833,5829
4220,3767,5852
4256,3637,5885
4266,3423,5902
4256,3293,5941
4214,3354,5989
4189,3539,6053
4197,3650,6084
4256,3637,6109
4306,3555,6124
4322,3489,6165
4303,3431,6209
4322,3391,6278
4382,3361,6335
4455,3342,6390
4489,3283,6413
4522,3195,6446
4558,3107,6470
4588,3096,6502
4562,3168,6515
4522,3293,6558
4499,3377,6609
4522,3391,6670
4550,3346,6695
4588,3293,6726
4621,3211,6749
4655,3096,6782
4660,2989,6794
4655,2998,6838
4627,3121,6891
4588,3244,6950
4537,3222,6969
4522,3096,7006
4545,3002,7055
4588,3047,7118
4601,3149,7140
4588,3195,7174
4556,3144,7220
4522,3096,7286
4464,3078,7312
4389,3047,7342
4293,2931,7381
4189,2801,7455
4047,2729,7507
3857,2752,7567
3606,2785,7616
3325,2801,7679
3020,2774,7708
2726,2752,7735
2458,2767,7749
2261,2900,7791
2103,3130,7818
1928,3391,7847
1642,3568,7843
1263,3686,7847
875,3824,7837
598,4079,7847
416,4436,7841
266,4866,7847
101,5318,7837
0,5799,7847
5,6292,7842
133,6782,7847
357,7212,7820
731,7569,7791
1234,7862,7745
1795,8109,7735
2289,8220,7727
2726,8109,7735
3133,7808,7722
3524,7470,7735
3808,7127,7737
3990,6684,7735
4153,6104,7692
4389,5554,7679
4554,5147,7690
4455,4816,7735
4091,4442,7737
3790,4079,7735
3836,3799,7734
4256,3539,7791
4872,3154,7847
5586,2703,7903
6296,2382,7921
6849,2310,7959
7093,2334,8000
7115,2261,8071
7119,2048,8121
7248,1868,8183
7433,1798,8230
7580,1769,8295
7618,1652,8342
7580,1474,8407
7486,1281,8457
7381,1081,8519
7247,869,8561
7115,737,8632
7005,698,8689
6982,639,8744
6997,444,8757
6982,197,8800
6868,26,8850
6716,-49,8912
6581,-98,8930
6517,-98,8968
6490,-40,9014
6517,0,9080
6536,-30,9101
6517,-49,9136
6433,-42,9178
6384,-98,9248
6376,-180,9277
6384,-98,9304
6344,61,9318
6317,0,9360
6274,-196,9380
6184,-98,9416
6062,183,9438
6051,49,9472
6072,-365,9469
5918,-49,9472
5546,1159,9461
5320,1917,9472
5480,1247,9463
5852,49,9472
6006,-298,9465
5852,147,9472
5577,399,9460
5386,246,9472
5246,240,9470
5120,541,9472
4995,753,9436
4921,737,9416
4857,738,9385
4788,885,9360
4682,1031,9294
4588,1081,9248
4509,1063,9207
4455,1032,9192
4387,1042,9138
4322,1180,9080
4250,1417,9006
4189,1622,8968
4114,1719,8926
4056,1818,8912
4011,2013,8879
3990,2261,8856
3952,2436,8811
3923,2507,8800
3905,2511,8791
3923,2507,8800
3932,2525,8769
3923,2605,8744
3883,2692,8704
3857,2703,8688
3828,2641,8651
3790,2654,8632
3731,2790,8595
3724,2949,8576
3793,3044,8536
3923,3145,8519
4019,3249,8489
4056,3244,8463
4046,3117,8400
