III,V,PLETH
4146,10981,9229
4766,12467,10388
4319,11047,9098
4140,10302,8427
4549,11047,9033
4851,11473,9352
4779,10981,8902
4708,10609,8613
4837,10782,8837
4934,10818,8935
4894,10518,8706
4838,10310,8553
4837,10319,8640
4817,10218,8677
4779,9988,8575
4751,9833,8471
4722,9790,8444
4656,9704,8412
4606,9592,8378
4598,9506,8347
4606,9459,8313
4580,9400,8239
4549,9393,8182
4517,9395,8130
4491,9393,8117
4432,9317,8085
4376,9261,8051
4345,9237,7979
4376,9261,7920
4430,9231,7865
4491,9195,7855
4510,9163,7829
4491,9195,7789
4443,9220,7708
4434,9261,7658
4472,9301,7619
4549,9393,7593
4609,9469,7521
4664,9525,7462
4713,9537,7412
4779,9592,7397
4836,9662,7355
4894,9724,7331
4933,9680,7312
4952,9592,7331
4915,9493,7327
4837,9459,7331
4734,9423,7334
4664,9393,7397
4625,9322,7478
4606,9261,7593
4556,9140,7685
4491,8996,7789
4399,8803,7893
4319,8665,8051
4220,8574,8213
4146,8533,8378
4073,8461,8499
4031,8401,8640
4010,8347,8788
4031,8335,8968
3989,8314,9106
3800,8335,9229
3461,8379,9317
3109,8533,9426
2770,8914,9517
2418,9724,9622
2158,10902,9707
2361,12304,9818
3278,13790,9915
4837,15280,10015
6718,16219,10075
8637,15876,10146
10215,14040,10202
10998,11576,10277
10686,9542,10329
9501,8401,10408
7982,7884,10471
6622,7739,10538
5589,7814,10561
4894,8004,10604
4456,8092,10653
4203,8070,10735
4035,8007,10775
3915,8004,10800
3813,8001,10789
3743,8004,10800
3696,7987,10793
3685,8004,10800
3683,8017,10785
3685,8070,10800
3677,8119,10798
3685,8202,10800
3685,8241,10759
3685,8269,10735
3666,8265,10695
3685,8335,10669
3712,8437,10617
3743,8533,10604
3735,8538,10596
3743,8533,10604
3783,8562,10563
3858,8665,10538
3904,8744,10521
3915,8798,10538
3889,8813,10511
3858,8864,10473
3819,8901,10416
3800,8930,10408
3793,8915,10399
3800,8930,10408
3797,8951,10373
3800,8996,10342
3798,9030,10292
3800,9129,10277
3791,9256,10243
3800,9393,10211
3805,9456,10135
3800,9525,10080
3777,9608,10028
3800,9724,10015
3873,9787,9978
3973,9856,9949
4039,9951,9901
4088,10121,9884
4107,10285,9849
4088,10451,9818
4004,10579,9746
3915,10716,9688
3858,10837,9630
3858,10981,9622
3888,11073,9596
3973,11113,9557
4103,11087,9474
4261,11113,9426
