II,III,PLETH,ABP
-579,-373,2527,3714
-648,-527,3415,4983
-641,-573,3578,5046
-659,-557,3469,4597
-568,-537,3523,4387
-319,-517,3715,4461
-205,-489,3881,4490
-453,-471,3981,4332
-821,-489,4118,4159
-907,-514,4308,4101
-708,-489,4506,4089
-545,-411,4667,3990
-585,-360,4845,3845
-683,-382,5051,3756
-638,-427,5258,3732
-403,-408,5417,3680
-131,-338,5591,3595
-89,-304,5798,3540
-433,-368,6002,3539
-947,-499,6137,3533
-1227,-625,6274,3515
-1146,-701,6446,3510
-1003,-748,6618,3542
-1063,-809,6714,3569
-1217,-910,6808,3600
-1202,-1013,6934,3627
-1075,-1064,7071,3666
-1178,-1057,7136,3691
-1634,-1054,7192,3715
-2031,-1087,7269,3722
-1886,-1140,7361,3730
-1314,-1192,7393,3722
-957,-1262,7423,3711
-1134,-1337,7466,3681
-1519,-1355,7518,3652
-1739,-1282,7519,3613
-1876,-1191,7543,3581
-2052,-1164,7594,3542
-2079,-1203,7656,3511
-1879,-1250,7662,3474
-1763,-1272,7700,3449
-1848,-1261,7775,3425
-1742,-1212,7864,3413
-1256,-1139,7891,3398
-926,-1102,7950,3394
-1215,-1132,8054,3390
-1750,-1194,8181,3397
-1883,-1220,8238,3400
-1629,-1203,8315,3411
-1446,-1179,8433,3415
-1505,-1177,8580,3421
-1623,-1164,8658,3414
-1708,-1113,8742,3411
-1769,-1055,8864,3401
-1733,-1045,9040,3397
-1527,-1050,9164,3380
-1302,-993,9277,3362
-1258,-903,9396,3331
-1364,-897,9562,3303
-1370,-969,9691,3267
-1194,-971,9799,3238
-1069,-877,9892,3206
-1210,-862,10043,3183
-1392,-1023,10202,3154
-1250,-1177,10354,3133
-947,-1138,10438,3109
-1043,-994,10503,3099
-1536,-934,10538,3085
-1720,-935,10578,3076
-1303,-835,10572,3058
-937,-616,10559,3049
-1106,-408,10526,3039
-1296,-272,10521,3036
-885,-135,10491,3026
-220,88,10462,3022
6,416,10403,3015
-153,795,10374,3012
-151,1111,10336,2998
129,1286,10307,2988
429,1410,10243,2976
698,1645,10205,2973
1019,1987,10165,2961
1222,2210,10146,2952
1135,2169,10094,2938
908,1970,10063,2933
756,1816,10032,2924
579,1729,10030,2921
262,1605,9998,2913
-33,1421,9981,2910
-120,1296,9956,2898
-110,1297,9964,2890
-163,1335,9956,2876
-220,1294,9975,2870
-179,1241,9981,2860
-138,1328,10006,2854
-205,1519,10000,2839
-296,1541,10013,2832
-319,1213,10010,2822
-422,655,10020,2817
-799,92,9996,2802
-1341,-389,9991,2792
-1700,-774,9973,2783
-1725,-995,9973,2783
-1678,-1077,9944,2775
-1838,-1180,9936,2766
-2059,-1378,9920,2750
-1925,-1487,9921,2743
-1399,-1357,9886,2733
-974,-1118,9858,2731
-1043,-993,9812,2722
-1363,-983,9789,2718
-1419,-944,9736,2709
-1089,-845,9686,2705
-672,-776,9616,2697
-445,-770,9577,2697
-460,-782,9523,2696
-643,-784,9474,2701
-836,-778,9398,2697
-841,-744,9356,2694
-621,-665,9306,2684
-364,-573,9254,2685
-230,-518,9160,2683
-194,-510,9099,2684
-222,-517,9042,2670
-373,-533,8989,2659
-549,-556,8888,2642
-467,-583,8819,2634
-46,-591,8767,2618
338,-577,8719,2608
277,-546,8607,2591
-179,-526,8515,2583
-599,-531,8447,2566
-704,-569,8402,2557
-556,-610,8307,2539
-362,-633,8236,2539
-216,-633,8192,2540
-99,-633,8170,2561
38,-622,8090,2585
186,-581,8020,2639
255,-500,7970,2714
137,-445,7948,2837
-151,-492,7882,2987
-491,-667,7831,3187
-789,-902,7795,3422
-1034,-1113,7779,3710
-1204,-1264,7717,4026
-1260,-1379,7669,4378
-1254,-1464,7633,4735
-1331,-1503,7614,5107
-1518,-1508,7552,5463
-1660,-1542,7505,5806
-1618,-1616,7471,6104
-1442,-1672,7452,6367
-1253,-1687,7385,6573
-1065,-1708,7324,6733
-832,-1738,7273,6825
-649,-1699,7242,6867
-721,-1582,7168,6848
-1072,-1498,7093,6798
-1389,-1486,7025,6711
-1331,-1442,6987,6614
-966,-1319,6901,6496
-724,-1245,6770,6379
-860,-1300,6597,6255
-1162,-1340,6459,6154
-1270,-1200,6338,6066
-1123,-961,6240,6009
-889,-829,6132,5957
-659,-840,6066,5926
-392,-830,6014,5900
-119,-690,5970,5898
77,-481,5887,5894
179,-333,5824,5904
251,-275,5777,5897
296,-246,5754,5893
272,-185,5695,5866
167,-118,5641,5841
10,-101,5598,5797
-174,-158,5592,5753
-333,-243,5564,5684
-418,-305,5536,5610
-429,-324,5508,5513
-409,-321,5524,5422
-321,-321,5529,5322
-115,-345,5519,5234
106,-380,5488,5134
78,-405,5515,5046
-304,-411,5570,4951
-805,-425,5624,4868
-1054,-454,5637,4777
-949,-473,5699,4698
-691,-433,5801,4612
-496,-336,5900,4536
