II,MCL,ABP,RESP
6313,15822,2944,0
6494,17751,3317,0
4952,15619,2903,0
4178,14615,2677,0
4539,15619,2862,0
4757,15937,2963,0
4622,15112,2821,0
4923,14904,2720,0
5571,15619,2780,0
5572,15871,2807,0
4787,15518,2739,0
4181,15541,2686,0
4456,16126,2698,0
5181,16459,2690,0
5529,16329,2657,0
5248,16064,2641,0
4910,15822,2657,0
5191,15492,2659,0
6066,15315,2657,0
6678,15497,2663,0
6313,15923,2698,0
5226,16223,2743,-1
4415,16430,2821,0
4469,16768,2920,1
5117,17445,3066,0
5606,18036,3233,-2
5612,18155,3434,0
5398,17896,3654,8
5406,17952,3925,18
5634,18381,4220,27
5859,18662,4538,37
6027,18435,4841,52
6313,18256,5151,74
6559,18369,5455,95
6437,18358,5765,111
6079,17815,6051,120
6107,17343,6337,129
6504,17320,6608,144
6520,17343,6869,166
5853,16883,7087,188
5364,16430,7277,203
5688,16379,7420,211
6272,16430,7523,222
6300,16168,7571,239
5983,16126,7604,259
5858,16583,7615,271
5859,17039,7604,277
5705,16928,7548,283
5694,16836,7482,296
5990,17240,7404,313
6107,17749,7318,332
5644,17658,7194,345
5199,17343,7073,351
5465,17320,6960,355
6231,17445,6869,369
6709,17051,6750,390
6685,16329,6623,406
6411,15897,6487,414
5983,16126,6378,425
5206,16613,6269,442
4291,17039,6174,462
3827,17265,6066,472
4209,17445,5969,480
5009,17545,5861,495
5488,17648,5765,517
5425,17734,5657,537
5406,17850,5560,554
5901,17705,5452,570
6685,17242,5356,591
7155,16764,5249,610
7097,16938,5151,628
6567,17635,5042,643
5736,18155,4947,665
4969,18031,4843,691
4787,17850,4743,720
5064,18025,4620,747
5199,18256,4497,776
5185,17972,4366,803
5859,17445,4252,831
7283,17031,4128,857
8211,16735,4007,887
7715,16387,3873,915
6561,16430,3761,942
5845,16997,3654,960
5529,17648,3557,979
5057,17851,3445,1003
4663,17952,3353,1034
4746,18187,3277,1063
4993,18256,3230,1090
4900,17713,3181,1114
4787,16938,3148,1145
5092,16209,3120,1180
5529,15416,3107,1219
5464,14499,3083,1250
4993,14199,3066,1274
4602,14756,3054,1291
4456,15518,3066,1311
4360,15802,3081,1335
4415,16025,3107,1367
4849,16529,3125,1395
5529,16938,3148,1422
5871,16811,3163,1441
5571,16735,3189,1459
4937,16966,3209,1475
4622,16938,3230,1496
4822,16256,3241,1515
5158,15822,3271,1533
5175,16137,3308,1548
4952,16532,3353,1570
4884,16375,3375,1590
5199,16430,3393,1607
5723,17082,3408,1613
6231,17445,3434,1625
6570,16611,3452,1643
6685,15112,3475,1662
6534,13292,3494,1670
6148,10852,3516,1681
5511,8527,3519,1696
4745,8925,3516,1718
4238,13047,3507,1729
4374,18155,3516,1736
4769,20275,3521,1742
4539,18763,3516,1755
3402,16069,3489,1763
2187,14503,3475,1773
1652,13987,3471,1780
1733,13591,3475,1792
2078,13067,3457,1800
2723,13084,3434,1810
3426,13777,3409,1817
3507,14706,3393,1829
2836,15422,3369,1836
2352,16126,3353,1847
2605,16663,3333,1854
2971,16532,3312,1866
2847,15664,3269,1874
2888,15112,3230,1884
3768,15391,3199,1889
4910,15822,3189,1902
5278,15648,3170,1918
4952,15416,3148,1939
4640,15628,3120,1951
4580,15822,3107,1958
4599,15419,3091,1961
4828,15112,3066,1976
5275,15416,3021,1994
5529,15822,2985,2013
5409,15692,2957,2021
5406,15619,2944,2032
5725,16027,2921,2045
5859,16329,2903,2069
5527,15881,2881,2086
