II,V,PLETH,RESP
138,352,2694,708
183,469,3661,978
184,463,3777,1006
172,426,3516,913
178,454,3416,865
202,514,3520,893
220,498,3596,912
217,392,3533,874
200,312,3455,828
192,346,3458,821
202,442,3502,831
208,498,3487,809
187,502,3435,764
152,499,3417,739
140,503,3443,738
159,495,3448,725
173,488,3426,686
159,499,3412,652
143,500,3426,642
158,453,3433,635
183,371,3442,588
174,306,3460,524
129,292,3492,499
92,321,3512,500
105,379,3550,457
162,450,3596,372
220,508,3643,334
242,533,3668,347
227,529,3712,299
216,523,3775,181
250,540,3844,129
307,567,3881,156
330,574,3926,97
294,542,3985,-68
242,490,4055,-123
221,443,4092,-49
231,417,4124,-221
233,414,4165,-867
213,431,4222,-1631
192,430,4254,-1945
194,381,4273,-1693
211,326,4285,-1205
241,351,4311,-811
308,443,4322,-626
427,487,4323,-663
538,423,4312,-833
559,350,4314,-966
512,384,4313,-977
532,511,4308,-972
692,642,4282,-1063
900,763,4258,-1193
1003,908,4232,-1247
968,1059,4212,-1247
882,1121,4178,-1279
825,1061,4149,-1356
813,960,4117,-1407
837,928,4098,-1415
880,967,4068,-1429
921,980,4040,-1483
937,896,4003,-1541
942,765,3982,-1563
959,682,3957,-1553
991,693,3941,-1564
1018,764,3918,-1600
1023,832,3909,-1627
1005,823,3895,-1612
981,700,3886,-1581
968,509,3863,-1571
957,370,3851,-1584
893,349,3838,-1578
727,382,3838,-1544
489,366,3830,-1511
296,305,3833,-1510
248,309,3831,-1510
335,438,3832,-1474
443,587,3819,-1414
476,609,3815,-1392
422,509,3807,-1399
344,443,3806,-1369
314,480,3791,-1289
348,520,3787,-1242
382,463,3780,-1253
358,370,3777,-1238
295,335,3757,-1157
272,339,3744,-1104
296,310,3731,-1119
295,262,3725,-1108
224,236,3702,-1013
156,208,3687,-943
160,152,3674,-958
213,115,3670,-954
222,150,3652,-856
170,163,3644,-777
138,100,3636,-792
165,-18,3637,-791
202,-69,3620,-694
186,-38,3606,-639
136,4,3591,-715
121,-13,3586,-702
177,-44,3567,-303
255,11,3552,403
253,169,3534,962
141,327,3528,993
54,383,3514,536
182,323,3505,-50
566,153,3493,-413
1182,-135,3492,-467
2103,-575,3483,-360
3219,-1419,3478,-279
3803,-3232,3465,-274
2965,-6299,3462,-284
813,-9757,3454,-256
-1320,-11853,3451,-214
-2230,-11504,3438,-196
-2006,-9287,3432,-198
-1516,-6644,3425,-184
-1190,-4464,3432,-142
-852,-2796,3434,-99
-402,-1534,3444,-84
-61,-736,3447,-82
30,-372,3455,-60
-1,-217,3453,-19
15,-75,3457,7
88,78,3453,5
149,209,3456,6
162,304,3452,27
153,370,3457,48
172,421,3454,49
242,479,3455,49
314,522,3444,71
350,528,3439,99
367,563,3429,105
424,689,3429,92
504,832,3418,88
529,785,3411,96
465,585,3398,100
362,451,3400,95
320,516,3392,97
358,629,3384,111
401,679,3366,123
381,757,3369,113
342,904,3375,90
374,930,3382,79
457,710,3373,84
466,466,3386,80
357,505,3412,63
252,813,3444,60
274,1090,3453,73
392,1160,3479,67
477,1110,3525,33
459,1059,3584,9
344,952,3618,14
177,775,3658,8
49,778,3715,-26
73,1181,3793,-45
233,1676,3851,-27
363,1662,3904,-34
335,1072,3957,-84
226,593,4030,-123
173,763,4088,-107
176,1254,4139,-104
126,1376,4180,-177
16,1077,4237,-288
-27,909,4287,-348
112,1157,4333,-363
398,1415,4358,-416
649,1211,4389,-541
666,693,4416,-651
445,453,4449,-685
229,744,4459,-722
296,1182,4461,-857
621,1275,4454,-1003
897,1052,4459,-1025
893,930,4451,-1057
730,1115,4434,-1446
685,1368,4398,-2227
846,1422,4377,-2906
1043,1336,4355,-2963
1121,1357,4330,-2446
1108,1510,4281,-1866
1119,1582,4247,-1603
1165,1443,4220,-1596
1168,1245,4194,-1611
1128,1198,4134,-1587
1158,1314,4076,-1606
1313,1436,4029,-1653
1488,1478,4005,-1606
1545,1455,3971,-1475
1504,1377,3946,-1423
1496,1218,3928,-1474
1568,1026,3931,-1442
1602,909,3922,-1268
1488,919,3919,-1163
1271,971,3913,-1214
1096,971,3922,-1193
1008,925,3919,-976
929,906,3920,-812
803,905,3915,-876
704,846,3921,-862
704,753,3918,-374
755,758,3921,432
744,868,3916,1011
659,906,3921,1045
579,773,3917,673
566,620,3921,214
605,600,3917,-86
670,631,3921,-127
726,545,3917,28
737,377,3921,197
685,293,3917,260
606,327,3921,269
539,337,3917,339
513,239,3921,478
524,113,3917,595
577,50,3921,639
608,46,3917,668
544,-11,3921,761
436,-107,3917,891
424,-146,3920,964
522,-49,3916,971
578,74,3924,1012
530,69,3926,1121
501,-50,3937,1209
538,-86,3939,1211
503,107,3948,1211
345,424,3947,1284
225,597,3951,1370
239,455,3945,1379
334,141,3951,1353
645,-26,3953,1379
1498,-16,3964,1449
2747,-391,3965,1469
3485,-1893,3976,1428
2857,-4571,3981,1397
1061,-7483,3992,1423
-817,-9403,3993,1448
-1846,-9705,4003,1414
-1915,-8547,4008,1350
-1474,-6514,4021,1335
-955,-4321,4020,1357
-514,-2582,4031,1334
