II,V,PLETH
-407,540,0
-380,596,0
-264,568,0
-246,626,0
-218,670,0
-200,716,0
-197,767,0
-215,826,0
-229,879,0
-228,917,0
-209,944,0
-182,961,0
-148,968,0
-115,961,0
-86,944,0
-66,916,0
-48,877,0
-36,819,0
-25,746,0
-18,656,0
-5,563,0
13,481,0
49,432,0
101,421,0
175,463,0
259,545,0
363,673,0
476,831,0
607,1023,0
740,1230,0
889,1456,0
1043,1679,0
1223,1906,0
1421,2119,0
1654,2332,0
1899,2532,0
2152,2730,0
2385,2917,0
2601,3098,0
2797,3270,0
2995,3434,0
3198,3583,0
3416,3711,0
3634,3809,0
3844,3871,0
4030,3890,0
4185,3861,0
4302,3785,0
4379,3662,0
4406,3496,0
4375,3302,0
4281,3086,0
4125,2857,0
3911,2604,0
3650,2319,0
3348,1987,0
3018,1612,0
2671,1209,0
2325,819,0
1990,479,0
1679,218,0
1395,36,0
1138,-73,0
905,-134,0
702,-161,0
532,-173,0
398,-166,0
296,-147,0
221,-114,0
160,-80,0
112,-39,0
70,5,-2
43,59,-5
24,118,-11
20,188,-20
16,263,-30
14,342,-40
4,419,-48
-1,502,-55
-6,591,-58
2,681,-60
14,760,-60
30,822,-60
39,862,-61
43,879,-65
38,879,-71
37,868,-80
41,849,-90
50,813,-100
55,747,-108
49,646,-114
30,513,-118
6,358,-120
-16,198,-119
-29,55,-119
-34,-55,-121
-42,-125,-126
-61,-157,-133
-92,-154,-143
-125,-123,-155
-151,-77,-166
-160,-34,-176
-153,-1,-185
-136,19,-194
-117,29,-205
-104,30,-215
-101,33,-224
-111,38,-231
-137,44,-237
-174,47,-241
-220,55,-246
-265,73,-254
-302,106,-264
-327,153,-274
-342,212,-284
-353,278,-291
-365,346,-297
-378,417,-300
-392,496,-307
-402,585,-314
-410,682,-324
-416,783,-334
-425,879,-344
-433,961,-350
-440,1018,-357
-439,1043,-360
-426,1023,-367
-398,959,-373
-362,856,-385
-323,730,-396
-288,597,-411
-257,471,-425
-236,362,-441
-223,275,-455
-222,206,-471
-230,150,-485
-247,105,-501
-268,68,-515
-286,38,-531
-294,10,-545
-293,-18,-560
-287,-51,-572
-288,-89,-583
-301,-134,-590
-331,-179,-595
-375,-224,-599
-425,-259,-605
-470,-282,-612
-506,-285,-623
-535,-274,-635
-560,-249,-650
-582,-217,-664
-604,-182,-680
-619,-145,-694
-627,-104,-710
-625,-53,-724
-618,8,-741
-611,76,-754
-612,145,-769
-618,210,-780
-627,270,-792
-628,334,-797
-616,411,-807
-583,509,-813
-535,623,-827
-475,738,-836
-418,826,-853
-369,863,-865
