II,MCL,PLETH,RESP
6353,7183,4484,0
7102,8283,5052,0
6142,7500,4418,0
5555,7202,4072,0
5718,8133,4351,0
5497,9249,4506,0
4606,10035,4285,0
3806,10893,4129,0
3494,11883,4219,0
3387,12389,4262,0
3441,12147,4152,0
3854,11480,4069,0
4500,10774,4086,0
4986,10128,4070,0
5242,9612,3986,0
5443,9255,3910,0
5665,9031,3886,0
5822,8868,3864,0
5930,8767,3820,0
6052,8679,3761,0
6195,8556,3720,0
6282,8391,3697,0
6300,8292,3687,0
6247,8252,3653,0
6195,8239,3621,0
6166,8163,3594,0
6195,8081,3587,0
6220,8021,3569,0
6195,8028,3554,0
6078,8024,3534,0
5930,8028,3521,0
5797,8012,3497,0
5718,8028,3488,0
5658,8024,3484,0
5612,8028,3488,0
5542,8002,3470,0
5453,7975,3455,0
5324,7901,3445,0
5189,7817,3455,0
5046,7716,3456,0
4924,7658,3455,0
4801,7603,3438,0
4712,7552,3421,0
4657,7462,3398,0
4659,7394,3388,0
4652,7358,3375,0
4606,7394,3355,0
4497,7443,3308,0
4394,7500,3255,0
4319,7511,3200,0
4289,7500,3156,0
4253,7442,3104,0
4236,7394,3056,0
4238,7350,3003,0
4289,7341,2956,0
4340,7318,2902,0
4394,7288,2857,0
4434,7210,2815,-1
4500,7130,2790,0
4575,7064,2760,1
4659,7077,2724,0
4701,7111,2671,-2
4712,7130,2624,0
4695,7090,2583,3
4712,7077,2558,0
4769,7093,2525,-7
4871,7130,2491,0
4946,7138,2450,31
4977,7183,2425,76
4961,7247,2405,116
4977,7288,2392,152
5038,7222,2370,188
5136,7130,2358,227
5203,7055,2352,265
5242,7024,2358,303
5245,6966,2358,343
5242,6919,2358,379
5214,6883,2354,407
5189,6866,2358,436
5170,6795,2360,471
5189,6707,2358,512
5212,6626,2334,549
5242,6602,2292,587
5275,6589,2234,626
5347,6602,2192,663
5393,6629,2166,691
5347,6707,2159,720
5179,6783,2144,755
4977,6866,2126,796
4756,6971,2101,834
4500,7183,2093,872
4206,7418,2087,909
4024,7552,2093,948
4032,7484,2099,984
4183,7341,2126,1023
4315,7227,2157,1062
4394,7183,2192,1099
4414,7124,2216,1127
4394,7077,2259,1156
4311,7041,2316,1191
4236,7024,2392,1232
4206,6967,2454,1264
4236,6919,2525,1289
4257,6896,2607,1311
4289,6919,2724,1346
4343,6919,2842,1384
4447,6919,2956,1421
4540,6910,3050,1448
4606,6919,3156,1478
4628,6895,3265,1514
4659,6866,3388,1554
4699,6824,3509,1584
4765,6813,3654,1611
4836,6800,3804,1636
4924,6813,3953,1668
4979,6823,4079,1695
4977,6866,4219,1725
4906,6893,4367,1751
4871,6919,4518,1781
4881,6906,4635,1808
4924,6919,4750,1838
4921,6948,4864,1865
4924,7024,4983,1895
4914,7090,5069,1922
4871,7130,5149,1952
4783,7112,5226,1979
4765,7077,5315,2009
4834,7005,5374,2035
4924,6919,5414,2066
4969,6852,5438,2093
5030,6919,5481,2123
5035,7079,5518,2148
4871,7288,5547,2179
4625,7582,5546,2208
4765,8133,5547,2236
5605,8834,5544,2254
7042,9454,5547,2274
8688,9939,5529,2291
10271,10510,5514,2312
11441,10936,5493,2328
11754,10563,5481,2350
10928,9065,5448,2368
9318,7130,5414,2388
7614,5635,5374,2403
6353,4859,5348,2426
5591,4508,5304,2446
5189,4489,5248,2464
4979,4821,5172,2469
4924,5387,5115,2483
4989,5902,5062,2500
5189,6338,5016,2521
5454,6736,4946,2527
5718,7077,4883,2539
5876,7246,4824,2555
5930,7341,4783,2577
5900,7442,4731,2586
5877,7552,4684,2596
5867,7580,4629,2610
5877,7605,4584,2634
5849,7643,4528,2646
5824,7658,4484,2653
5799,7539,4435,2655
5824,7394,4385,2672
5844,7314,4313,2689
5877,7341,4252,2710
5894,7359,4196,2719
5930,7341,4152,2729
5957,7298,4087,2734
5983,7288,4019,2748
5964,7282,3946,2762
5930,7288,3886,2786
5895,7294,3817,2805
5930,7341,3754,2824
6003,7379,3683,2830
6089,7394,3621,2843
6122,7356,3549,2856
6142,7341,3488,2881
6140,7341,3430,2899
6142,7341,3388,2919
6123,7270,3338,2926
6142,7183,3289,2937
6197,7106,3230,2948
6300,7077,3189,2975
6383,7041,3151,3003
6459,7024,3122,3032
6511,7026,3085,3047
6565,7077,3056,3070
6571,7113,3021,3095
6565,7130,2990,3127
6588,7102,2949,3145
6724,7077,2923,3165
6903,7040,2893,3185
7042,7024,2857,3222
7074,7006,2799,3251
7095,7024,2757,3279
7126,7049,2734,3293
7148,7077,2724,3317
7103,7029,2692,3340
7095,6919,2657,3373
7185,6776,2629,3399
7359,6707,2624,3430
7476,6684,2611,3455
7518,6655,2591,3487
7523,6547,2564,3511
7571,6443,2558,3544
7616,6384,2558,3575
7624,6391,2558,3620
7541,6388,2539,3657
7412,6391,2525,3696
7263,6384,2509,3720
7148,6391,2491,3752
7039,6377,2455,3784
6936,6391,2425,3828
6802,6413,2403,3864
6671,6443,2392,3904
6532,6434,2371,3936
6406,6443,2358,3980
6254,6478,2353,4017
6089,6549,2358,4056
5896,6582,2356,4079
5718,6602,2358,4112
5530,6625,2360,4144
5347,6707,2358,4188
5161,6782,2339,4223
5030,6813,2325,4264
4936,6761,2320,4298
4871,6707,2325,4340
4782,6681,2312,4373
4712,6707,2292,4416
4665,6716,2269,4451
4659,6707,2259,4491
4651,6669,2243,4522
4659,6655,2226,4567
4657,6644,2202,4611
4659,6655,2192,4662
4655,6653,2188,4696
4712,6655,2192,4738
4814,6614,2190,4774
4924,6549,2192,4814
4951,6465,2191,4826
4924,6443,2192,4833
4876,6477,2189,4827
4871,6549,2192,4833
4887,6582,2193,4829
4924,6602,2192,4833
4938,6612,2176,4827
4924,6655,2159,4833
4850,6683,2140,4828
4765,6707,2126,4833
4715,6703,2104,4828
4765,6707,2093,4833
4868,6699,2089,4828
4977,6707,2093,4833
5048,6705,2081,4828
5136,6707,2059,4833
5243,6668,2034,4828
5347,6602,2026,4833
5376,6503,2025,4828
5347,6443,2026,4833
5274,6420,2011,4828
5189,6443,1993,4833
5088,6447,1971,4828
5030,6443,1960,4833
5015,6423,1943,4828
5030,6443,1927,4833
5009,6482,1904,4828
4977,6549,1893,4833
4956,6586,1889,4828
4977,6602,1893,4833
4991,6573,1890,4828
4977,6549,1893,4833
4895,6528,1900,4828
4765,6549,1927,4833
4595,6572,1956,4828
4447,6602,1993,4833
4338,6600,2022,4828
4289,6602,2059,4833
4256,6589,2100,4828
4236,6602,2159,4833
4202,6628,2221,4828
4183,6707,2292,4833
4170,6794,2354,4828
4183,6866,2425,4833
4185,6859,2498,4828
4183,6813,2591,4833
4167,6745,2685,4828
4183,6707,2790,4833
4209,6656,2897,4828
4236,6602,3023,4833
4231,6542,3152,4828
4236,6549,3289,4833
4238,6594,3416,4828
4236,6655,3554,4833
4212,6675,3687,4828
4236,6707,3820,4833
4309,6750,3933,4828
4394,6813,4053,4833
4413,6839,4168,4828
4394,6866,4285,4833
4371,6883,4382,4828
4394,6919,4484,4833
4429,6918,4583,4828
4500,6919,4684,4833
4560,6894,4763,4828
4606,6866,4850,4833
4602,6791,4934,4828
4606,6707,5016,4833
4639,6644,5067,4828
4712,6655,5115,4833
4759,6674,5162,4828
4765,6655,5215,4833
4726,6588,5247,4828
4659,6602,5282,4833
4494,6715,5311,4828
4236,6919,5348,4833
4027,7198,5363,4828
4183,7658,5381,4833
4876,8234,5394,4828
6089,8820,5414,4833
7624,9399,5414,4828
9265,10088,5414,4833
10623,10573,5409,4828
11224,10246,5414,4833
10742,8823,5401,4828
9371,6919,5381,4833
7662,5355,5343,4828
6195,4489,5315,4833
5201,4132,5279,4828
4659,4172,5248,4833
4388,4556,5199,4828
4289,5176,5149,4833
4316,5791,5081,4828
4500,6338,5016,4833
4769,6790,4942,4828
5030,7130,4883,4833
5178,7296,4817,4828
5242,7394,4750,4833
5246,7466,4663,4828
5242,7500,4584,4833
5223,7424,4499,4828
5242,7341,4418,4833
5282,7297,4315,4828
5347,7288,4219,4833
5372,7213,4125,4828
5400,7130,4053,4833
5431,7063,3969,4828
5506,7024,3886,4833
5567,6943,3794,4828
5612,6866,3720,4833
5629,6831,3649,4828
5665,6866,3587,4833
5697,6899,3515,4828
5718,6919,3455,4833
5690,6897,3396,4828
5665,6866,3355,4833
5662,6819,3314,4828
5718,6813,3289,4833
5787,6818,3255,4828
5877,6813,3222,4833
5967,6752,3178,4828
6089,6707,3156,4833
6201,6691,3139,4828
6300,6707,3122,4833
6339,6701,3084,4828
6353,6707,3056,4833
6341,6708,3036,4828
6353,6707,3023,4833
6369,6686,2988,4828
6406,6707,2956,4833
6428,6729,2933,4828
6459,6707,2923,4833
6489,6637,2892,4828
6565,6655,2857,4833
6673,6730,2827,4828
6830,6707,2823,4833
7000,6449,2814,4828
7200,6126,2790,4833
7391,5922,2749,4828
7571,5862,2724,4833
7692,5780,2707,4828
7783,5651,2691,4833
7838,5530,2654,4827
7889,5493,2624,4833
7885,5471,2603,4828
7836,5440,2591,4833
7741,5377,2558,4827
7677,5334,2525,4833
7625,5309,2498,4830
7571,5334,2491,4833
7463,5375,2477,4820
7359,5440,2458,4814
7265,5520,2434,4794
7200,5651,2425,4776
7128,5768,2419,4741
7095,5810,2425,4719
7071,5740,2434,4696
7042,5651,2458,4681
6942,5597,2477,4649
6830,5598,2491,4624
6715,5626,2488,4598
6618,5704,2491,4586
6481,5791,2502,4563
6353,5810,2525,4548
6244,5674,2532,4526
6195,5440,2525,4510
6164,5188,2502,4478
6195,4965,2491,4454
6270,4701,2487,4427
6406,4384,2491,4416
6535,4043,2488,4394
6671,3750,2491,4378
6790,3473,2501,4352
6936,3169,2525,4340
7065,2839,2533,4319
7200,2588,2525,4302
7301,2464,2500,4275
7412,2429,2491,4264
7507,2370,2493,4252
7624,2271,2491,4245
7717,2191,2462,4221
7783,2218,2425,4207
7761,2311,2388,4192
7677,2429,2358,4188
7536,2552,2313,4168
7412,2746,2259,4150
7319,2948,2201,4126
7306,3063,2159,4112
7370,3003,2122,4089
7571,2799,2093,4075
7946,2365,2058,4059
8524,1637,2026,4056
9180,725,1989,4038
9795,53,1960,4018
10320,-139,1936,3989
10801,0,1927,3980
11096,62,1912,3969
10960,0,1893,3961
10277,122,1869,3936
9318,792,1860,3923
8407,1936,1850,3911
7677,3222,1827,3904
7032,4313,1784,3880
6459,5176,1761,3866
5997,5849,1758,3853
5665,6391,1761,3847
5360,6796,1739,3824
5030,7183,1727,3809
4657,7607,1737,3796
4289,8081,1761,3790
3915,8522,1762,3767
3547,8978,1761,3752
3164,9475,1769,3744
2806,9982,1794,3752
2490,10315,1807,3745
2277,10404,1827,3733
2145,10325,1853,3715
2065,10299,1893,3714
1907,10433,1923,3711
1641,10721,1960,3714
1318,11034,2002,3709
1112,11302,2059,3714
1049,11447,2114,3712
1059,11461,2192,3714
1054,11341,2294,3707
1112,11197,2425,3714
1271,11043,2554,3721
1482,10880,2691,3733
1633,10653,2830,3730
1747,10457,2990,3733
1856,10334,3150,3736
1959,10299,3322,3752
2010,10250,3485,3760
2065,10193,3654,3771
2143,10122,3815,3776
2224,10088,3986,3790
2248,10051,4142,3796
2277,10035,4285,3809
2343,9990,4408,3814
2435,9929,4551,3828
2503,9817,4702,3834
2594,9718,4850,3847
2733,9594,4955,3852
2912,9454,5049,3866
3064,9238,5140,3872
3230,9031,5248,3885
3423,8817,5345,3890
3653,8609,5448,3904
3847,8332,5545,3910
4024,8028,5647,3923
4223,7675,5729,3928
4500,7288,5813,3942
4828,6810,5883,3949
5189,6285,5946,3961
5563,5719,5977,3959
5930,5229,6012,3961
6148,4921,6044,3955
6089,5017,6079,3961
5772,5582,6081,3958
5506,6549,6079,3961
5648,7597,6071,3955
6406,8556,6079,3961
7685,9425,6066,3960
9212,10299,6046,3961
10570,10837,6007,3946
11330,10563,5979,3942
11142,9340,5933,3938
10007,7764,5879,3942
8287,6465,5804,3931
6565,5704,5747,3923
5235,5367,5693,3909
4394,5493,5647,3904
3910,6045,5569,3890
3706,6813,5481,3885
3750,7422,5385,3874
4024,7817,5315,3866
4388,8093,5245,3849
4712,8345,5182,3847
4887,8476,5098,3847
4924,8503,5016,3847
4842,8503,4924,3825
4712,8609,4850,3809
4562,8780,4775,3795
4447,8978,4717,3790
4351,9102,4648,3769
4289,9190,4584,3752
4220,9247,4501,3737
4183,9348,4418,3733
4144,9434,4326,3714
4130,9507,4252,3696
4112,9529,4170,3672
4130,9559,4086,3658
4158,9583,3988,3634
4183,9612,3920,3620
4160,9593,3867,3605
4130,9559,3820,3601
4109,9498,3747,3582
4130,9454,3687,3563
4165,9390,3645,3538
4236,9348,3621,3525
4313,9317,3571,3505
4394,9348,3521,3487
4430,9394,3476,3461
4447,9454,3455,3449
4456,9475,3422,3437
4500,9507,3388,3430
4551,9526,3348,3409
4606,9559,3322,3392
4632,9546,3287,3370
4659,9507,3255,3354
4691,9406,3217,3330
4765,9295,3189,3317
4860,9164,3153,3303
4977,9084,3122,3298
5064,9049,3093,3277
5136,9084,3089,3260
5208,9103,3090,3243
5347,9084,3089,3241
5529,8975,3069,3231
5718,8820,3056,3222
5856,8579,3051,3205
5983,8292,3056,3203
6098,8000,3042,3200
6195,7869,3023,3203
6214,7919,2999,3191
6195,8081,2990,3184
6176,8162,2974,3176
6195,8133,2956,3184
6191,8003,2933,3189
6142,7869,2923,3203
6044,7724,2910,3209
5983,7605,2890,3222
5995,7468,2852,3227
6089,7341,2823,3241
6159,7219,2803,3253
6142,7183,2790,3279
6017,7211,2760,3297
5877,7288,2724,3317
5757,7333,2684,3323
5665,7394,2657,3335
5556,7474,2624,3346
5453,7605,2591,3373
5335,7716,2552,3398
5189,7817,2525,3430
4977,7883,2492,3454
4765,7975,2458,3487
4582,8087,2407,3513
4447,8239,2358,3544
4320,8326,2313,3565
4236,8292,2292,3601
4190,8099,2275,3636
4183,7869,2259,3677
4169,7659,2231,3702
4183,7500,2226,3733
4208,7323,2252,3765
4236,7183,2325,3809
4227,7119,2409,3838
4236,7183,2491,3866
4261,7262,2556,3886
4289,7288,2624,3923
4266,7221,2680,3958
4236,7183,2724,3999
4206,7217,2750,4025
4183,7341,2790,4056
4140,7456,2841,4079
4130,7552,2890,4112
4138,7590,2909,4137
4130,7605,2923,4169
4063,7584,2948,4195
4024,7605,2990,4226
4053,7675,3014,4244
4130,7817,3023,4264
4167,7952,3018,4277
4183,8081,3023,4302
4200,8168,3024,4320
4236,8239,3023,4340
4241,8248,3007,4346
4236,8239,2990,4359
4229,8246,2968,4366
4236,8345,2956,4378
4213,8461,2939,4375
4183,8503,2923,4378
4160,8363,2901,4374
4183,8133,2890,4378
4212,7930,2875,4367
4236,7869,2857,4359
4244,7874,2820,4343
4289,7869,2790,4340
4361,7778,2767,4328
4447,7658,2757,4321
4490,7515,2729,4299
4500,7394,2691,4283
4465,7306,2645,4259
4394,7341,2624,4245
4266,7454,2609,4223
4130,7552,2591,4207
4018,7496,2550,4182
3971,7341,2525,4169
3956,7166,2515,4149
3971,7077,2525,4131
3987,7047,2520,4098
4024,7077,2525,4075
4065,7082,2541,4051
4130,7024,2591,4037
4186,6863,2648,4007
4236,6707,2724,3980
4260,6623,2800,3945
4289,6655,2890,3923
4297,6720,2978,3892
4289,6813,3089,3866
4250,6908,3213,3832
4236,7024,3355,3809
4235,7088,3485,3779
4236,7077,3621,3752
