II,V,ABP
1807,1860,2933
2037,2093,3319
1779,1833,2933
1633,1694,2735
1750,1806,2933
1834,1855,3033
1779,1752,2888
1745,1693,2799
1807,1752,2888
1856,1789,2944
1863,1752,2888
1896,1724,2832
1976,1752,2842
2043,1787,2851
2089,1806,2842
2146,1825,2838
2230,1860,2842
2316,1897,2821
2400,1941,2797
2480,1990,2788
2569,2049,2797
2662,2102,2795
2767,2157,2797
2858,2204,2804
2936,2264,2842
3000,2330,2885
3077,2399,2933
3155,2453,2978
3219,2507,3068
3249,2560,3192
3275,2615,3339
3303,2657,3467
3331,2696,3609
3335,2725,3773
3331,2750,3970
3321,2760,4154
3303,2777,4331
3262,2793,4487
3219,2803,4647
3177,2784,4797
3134,2750,4963
3066,2706,5122
2993,2669,5279
2927,2626,5409
2880,2588,5550
2826,2547,5686
2767,2507,5820
2695,2454,5928
2626,2399,6046
2558,2341,6163
2513,2291,6272
2473,2236,6339
2428,2183,6407
2364,2134,6475
2315,2103,6542
2291,2083,6567
2259,2049,6587
2194,1989,6606
2174,1968,6632
2189,1969,6630
2146,1914,6632
2064,1834,6632
2117,1887,6632
2211,1975,6590
2089,1860,6542
1904,1681,6491
2089,1833,6452
2372,2081,6386
2089,1833,6317
1617,1418,6240
2061,1806,6181
2905,2538,6109
2146,1833,6046
-357,-427,5975
-1779,-1725,5911
-264,-396,5821
2259,1860,5730
2968,2526,5631
2061,1752,5550
1583,1342,5457
2033,1752,5369
2287,1992,5268
1976,1725,5189
1786,1554,5113
1976,1725,5053
2090,1840,4968
1976,1752,4873
1924,1699,4766
2033,1779,4692
2097,1830,4625
2061,1806,4557
2033,1788,4460
2061,1806,4377
2083,1812,4302
2089,1806,4241
2095,1802,4152
2117,1806,4061
2156,1824,3975
2174,1833,3925
2159,1824,3877
2202,1860,3835
2267,1901,3781
2202,1833,3745
2078,1726,3712
2174,1806,3700
2348,1949,3690
2174,1806,3700
1876,1560,3701
2117,1752,3700
2517,2079,3674
2061,1725,3655
1328,1144,3642
2033,1698,3655
3541,2862,3659
2908,2264,3655
-170,-327,3627
-1779,-1725,3609
517,92,3600
3699,2750,3609
3839,3043,3610
1722,1483,3609
685,694,3602
1327,1213,3609
1699,1523,3612
1158,1078,3609
798,760,3584
1016,943,3564
1071,1022,3553
706,701,3564
372,388,3566
226,350,3564
22,321,3555
-226,27,3564
-335,-393,3569
-367,-593,3564
-515,-493,3535
-734,-377,3519
-861,-513,3514
-847,-782,3519
-740,-889,3499
-565,-809,3474
-346,-759,3458
-113,-809,3474
88,-849,3484
254,-809,3474
393,-741,3440
508,-674,3429
568,-605,3430
565,-539,3429
498,-513,3400
395,-512,3384
273,-517,3382
169,-512,3384
108,-502,3357
113,-458,3339
175,-370,3336
282,-243,3339
420,-95,3313
593,81,3294
795,292,3290
1016,539,3294
1239,805,3268
1468,1078,3249
1712,1351,3245
1976,1617,3249
2225,1854,3224
2428,2049,3203
2570,2206,3198
2682,2345,3203
2782,2460,3180
2880,2534,3158
2950,2565,3150
2993,2588,3158
3009,2619,3140
3021,2642,3113
3032,2634,3097
3049,2615,3113
3064,2608,3122
3077,2615,3113
3080,2615,3082
3077,2615,3068
3064,2615,3065
3049,2615,3068
3030,2599,3047
3021,2588,3023
3016,2585,3009
3021,2588,3023
3011,2574,3031
2993,2561,3023
2966,2554,2992
2964,2561,2978
2968,2553,2975
2964,2534,2978
2931,2502,2956
2908,2480,2933
2900,2459,2919
2908,2453,2933
2902,2448,2939
2908,2453,2933
2926,2450,2904
2964,2453,2888
2989,2457,2879
3021,2480,2888
3063,2505,2886
3134,2534,2888
3203,2554,2882
3275,2588,2888
3340,2632,2884
3416,2696,2888
3494,2751,2881
3586,2803,2888
3672,2849,2896
3755,2911,2933
3823,2977,2985
3896,3046,3068
3959,3099,3163
4009,3154,3294
4035,3206,3439
4066,3262,3609
4098,3304,3780
4122,3343,3970
4105,3371,4152
4066,3397,4331
4017,3403,4484
3981,3397,4647
3931,3372,4818
3868,3343,5008
3784,3302,5174
3699,3262,5324
3602,3211,5451
3501,3154,5595
3384,3077,5743
3275,2992,5911
3170,2897,6056
3077,2803,6181
2978,2705,6270
2880,2615,6362
2776,2520,6449
2682,2426,6542
2582,2324,6610
2484,2237,6678
2394,2170,6726
2315,2103,6768
2236,2016,6784
2202,1968,6813
2176,1939,6838
2089,1860,6858
1988,1757,6837
2033,1779,6813
2109,1841,6785
1976,1725,6768
1787,1557,6722
1948,1698,6678
2195,1918,6627
1920,1671,6587
1489,1284,6521
1920,1671,6452
2691,2367,6374
1920,1671,6317
-474,-504,6248
-1779,-1725,6181
-252,-405,6091
2230,1806,6001
2945,2472,5898
2061,1725,5820
1544,1303,5747
1920,1671,5685
2148,1903,5597
1863,1671,5504
1687,1522,5403
1863,1671,5324
1969,1750,5235
1863,1644,5144
1814,1592,5038
1920,1671,4963
1992,1716,4895
1976,1698,4828
1967,1705,4730
2005,1752,4647
2030,1767,4575
2033,1752,4512
2027,1741,4418
2033,1752,4331
2063,1784,4256
2089,1806,4196
2092,1802,4107
2146,1833,4016
2216,1875,3932
2174,1833,3880
2072,1750,3828
2146,1806,3790
2276,1896,3755
2117,1752,3745
1870,1554,3737
2089,1752,3745
2432,2038,3746
2033,1698,3745
1395,1172,3719
1976,1671,3700
3197,2680,3687
2513,2049,3700
-303,-400,3704
-1779,-1725,3700
332,-7,3672
3473,2642,3655
4041,3201,3644
2372,1914,3655
1251,1073,3655
1468,1321,3655
1634,1497,3646
1186,1132,3655
901,881,3659
1073,997,3655
1134,1028,3626
875,809,3609
630,619,3603
508,539,3609
296,385,3604
-28,135,3609
-302,-75,3613
-480,-216,3609
-631,-365,3579
-762,-539,3564
-873,-708,3563
-988,-863,3564
-1078,-993,3537
-1045,-1078,3519
-861,-1122,3517
-593,-1132,3519
-347,-1135,3493
-141,-1132,3474
46,-1120,3471
226,-1078,3474
364,-1008,3448
452,-917,3429
480,-837,3426
452,-782,3429
355,-754,3403
226,-728,3384
110,-694,3380
56,-647,3384
69,-585,3358
141,-485,3339
252,-343,3335
395,-162,3339
556,41,3313
734,270,3294
930,519,3289
1158,782,3294
1408,1046,3270
1666,1321,3249
1909,1600,3242
2146,1860,3249
2362,2070,3227
2541,2237,3203
2666,2379,3192
2767,2507,3203
2857,2605,3191
2936,2669,3158
2986,2702,3120
3021,2723,3113
3051,2737,3116
3077,2750,3113
3082,2752,3085
3077,2750,3068
3073,2745,3063
3077,2750,3068
3077,2752,3048
3077,2750,3023
3075,2734,3008
3077,2723,3023
3074,2718,3032
3077,2723,3023
3078,2714,2992
3077,2696,2978
3054,2672,2975
3021,2669,2978
2981,2670,2956
2964,2669,2933
2959,2650,2919
2964,2642,2933
2953,2639,2940
2936,2642,2933
2912,2626,2903
2908,2615,2888
2913,2609,2882
2936,2615,2888
2957,2609,2883
2993,2615,2888
3029,2632,2888
3077,2669,2888
3124,2696,2863
3190,2723,2842
3258,2752,2831
3331,2803,2842
3394,2857,2844
3473,2911,2842
3556,2958,2832
3642,3019,2842
3709,3085,2857
3783,3154,2888
3857,3207,2919
3924,3262,2978
3957,3315,3052
3981,3370,3158
4006,3402,3277
4037,3423,3429
4045,3442,3597
4037,3477,3790
4012,3502,3972
3981,3504,4151
3927,3476,4307
3868,3450,4467
3799,3427,4619
3727,3397,4783
3632,3334,4936
3529,3262,5098
3423,3191,5252
3331,3127,5414
3235,3041,5555
3134,2938,5685
3017,2824,5791
2908,2723,5911
2803,2624,6026
2710,2534,6136
2609,2438,6208
2513,2345,6272
2419,2246,6330
2343,2157,6407
2276,2084,6461
2202,2022,6497
2116,1951,6510
2089,1914,6542
2091,1884,6570
2033,1806,6587
1939,1717,6565
1976,1752,6542
2049,1815,6516
1920,1698,6497
1732,1534,6451
1892,1671,6407
2139,1874,6357
1863,1617,6317
1430,1233,6250
1863,1617,6181
2657,2302,6104
1920,1617,6046
-455,-519,5977
-1779,-1725,5911
-299,-441,5821
2146,1725,5730
2851,2391,5626
1976,1671,5550
1471,1260,5479
1863,1617,5414
2121,1844,5321
1863,1617,5234
1695,1470,5140
1863,1617,5053
1963,1705,4951
1863,1617,4873
1820,1581,4802
1920,1671,4737
1978,1723,4642
1948,1698,4557
1926,1679,4481
1948,1698,4422
1956,1711,4333
1948,1725,4241
1942,1744,4157
1948,1752,4106
1976,1753,4044
2005,1752,3970
2015,1756,3884
2061,1806,3835
2109,1845,3806
2061,1779,3790
1979,1682,3758
2061,1752,3745
2184,1875,3742
2033,1752,3745
1795,1549,3719
1976,1725,3700
2274,2000,3692
1920,1671,3700
1360,1158,3680
1863,1644,3655
2870,2634,3638
2117,2022,3655
-497,-385,3662
-1779,-1725,3655
218,-124,3624
3049,2372,3609
3459,2858,3604
1892,1617,3609
962,884,3604
1299,1213,3609
1518,1417,3612
1101,1051,3609
827,798,3582
988,917,3564
1034,941,3557
762,701,3564
501,490,3559
367,404,3564
160,260,3568
-141,27,3564
-391,-166,3535
-565,-297,3519
-739,-457,3518
-903,-674,3519
-1027,-905,3492
-1129,-1105,3474
-1198,-1252,3471
-1158,-1348,3474
-983,-1416,3449
-734,-1456,3429
-504,-1469,3424
-311,-1456,3429
-136,-1421,3406
28,-1348,3384
159,-1236,3376
254,-1105,3384
300,-997,3366
282,-917,3339
200,-854,3322
113,-782,3339
63,-704,3348
56,-620,3339
77,-527,3307
141,-404,3294
254,-246,3292
395,-54,3294
539,162,3270
706,404,3249
915,668,3239
1158,943,3249
1406,1223,3235
1666,1510,3203
1930,1793,3165
2174,2049,3158
2363,2248,3161
2513,2399,3158
2644,2518,3131
2767,2615,3113
2854,2681,3108
2908,2723,3113
2938,2750,3094
2964,2777,3068
2983,2796,3052
2993,2803,3068
2991,2792,3078
2993,2777,3068
2992,2768,3036
2993,2777,3023
2988,2783,3023
2993,2777,3023
2996,2756,2997
2993,2750,2978
2973,2751,2973
2964,2750,2978
2964,2730,2958
2964,2723,2933
2939,2724,2919
2908,2723,2933
2883,2692,2939
2880,2669,2933
2868,2663,2906
2852,2669,2888
2828,2646,2877
2823,2615,2888
2821,2589,2893
2823,2588,2888
2816,2585,2860
2823,2588,2842
2841,2593,2836
2880,2615,2842
2917,2636,2839
2964,2669,2842
3013,2696,2842
3077,2723,2842
3142,2740,2818
3219,2777,2797
3289,2825,2785
3360,2884,2797
3422,2932,2800
3501,2992,2797
3585,3058,2783
3670,3127,2797
3731,3179,2830
3783,3235,2888
3825,3291,2944
3868,3343,3023
3889,3369,3118
3896,3397,3249
3884,3434,3392
3868,3477,3564
3840,3490,3741
3811,3477,3925
3772,3449,4085
3727,3423,4241
3661,3387,4389
3586,3343,4557
3498,3280,4717
3416,3208,4873
3331,3123,5004
3247,3046,5144
3148,2969,5278
3049,2884,5414
2945,2776,5526
2852,2669,5640
2761,2568,5749
2682,2480,5865
2598,2384,5959
2513,2291,6046
2419,2202,6114
2343,2130,6181
2288,2065,6227
2230,1995,6272
2152,1916,6296
2117,1887,6317
2104,1877,6314
2033,1806,6317
1934,1704,6313
1976,1725,6317
2054,1785,6297
1920,1671,6272
1725,1513,6226
1892,1671,6181
2159,1901,6114
1892,1644,6046
1443,1237,5968
1863,1617,5911
2667,2334,5845
1948,1671,5775
-429,-488,5679
-1779,-1725,5595
-331,-436,5517
2089,1752,5459
2784,2413,5376
1920,1671,5279
1444,1261,5171
1863,1644,5098
2126,1885,5032
1863,1644,4963
1694,1483,4864
1863,1644,4783
1962,1757,4711
1863,1671,4647
1824,1608,4553
1920,1671,4467
1961,1718,4391
1920,1698,4331
1907,1679,4242
1948,1698,4151
1971,1717,4067
1976,1725,4016
1985,1723,3952
2005,1725,3880
2029,1747,3797
2033,1752,3745
2021,1725,3699
2089,1752,3655
2172,1808,3595
2089,1752,3564
1942,1640,3557
2061,1725,3564
2260,1874,3543
2033,1698,3519
1670,1423,3505
1976,1671,3519
2473,2069,3522
1920,1644,3519
1019,946,3509
1892,1617,3519
3837,3081,3523
3331,2561,3519
-64,-259,3492
-1779,-1725,3474
989,437,3465
4602,3397,3474
4472,3481,3474
1722,1456,3474
453,486,3468
1327,1132,3474
1906,1541,3473
1383,1078,3474
1114,792,3467
1581,1078,3474
1852,1239,3476
1581,997,3474
1340,785,3449
1355,782,3429
1285,735,3417
1045,566,3429
848,420,3434
734,323,3429
564,178,3402
339,-27,3384
133,-239,3374
-28,-431,3384
-148,-597,3387
-198,-728,3384
-182,-844,3360
-113,-943,3339
-23,-1020,3325
85,-1051,3339
205,-1036,3347
339,-970,3339
449,-879,3306
508,-782,3294
500,-707,3294
452,-647,3294
381,-589,3265
311,-512,3249
249,-430,3247
226,-350,3249
246,-273,3222
311,-162,3203
413,2,3201
565,216,3203
755,452,3177
960,701,3158
1155,963,3155
1355,1240,3158
1569,1511,3133
1779,1752,3113
1945,1941,3109
2061,2076,3113
2140,2161,3088
2202,2210,3068
2241,2231,3063
2259,2237,3068
2258,2237,3045
2259,2237,3023
2259,2237,3016
2259,2237,3023
2247,2229,3003
2230,2210,2978
2213,2189,2964
2202,2183,2978
2189,2187,2984
2174,2183,2978
2155,2157,2952
2146,2130,2933
2135,2111,2921
2117,2103,2933
2085,2087,2939
2061,2076,2933
2044,2064,2904
2033,2049,2888
2004,2017,2884
1976,1995,2888
1954,1988,2867
1948,1995,2842
1942,1984,2828
1948,1968,2842
1958,1949,2850
1976,1941,2842
1993,1932,2813
2033,1941,2797
2085,1961,2791
2146,1995,2797
2195,2020,2794
2259,2049,2797
2337,2073,2797
2428,2103,2797
2508,2132,2774
2597,2183,2752
2694,2248,2738
2795,2318,2752
2878,2370,2758
2964,2426,2752
3059,2489,2734
3162,2561,2752
3241,2617,2793
3303,2669,2842
3356,2719,2872
3416,2777,2933
3464,2828,3029
3501,2884,3158
3517,2932,3281
3529,2965,3429
3530,2976,3601
3529,2992,3790
3509,3011,3948
3473,3019,4106
3416,2996,4274
3360,2965,4467
3301,2938,4634
3247,2911,4783
3178,2861,4911
3106,2803,5053
3029,2747,5187
2964,2696,5324
2895,2629,5451
2823,2561,5595
2744,2491,5732
2682,2426,5865
2626,2353,5963
2569,2291,6046
2493,2236,6109
2428,2183,6181
2377,2114,6246
2343,2049,6317
2307,2004,6367
2259,1968,6407
2203,1921,6411
2202,1914,6407
2213,1919,6395
2146,1860,6407
2051,1768,6412
2117,1806,6407
2231,1887,6363
2117,1779,6317
1924,1608,6266
2089,1752,6226
2351,1988,6162
2061,1752,6091
1601,1364,6011
2061,1752,5956
2910,2456,5892
2146,1752,5820
-360,-461,5720
-1779,-1725,5640
-261,-419,5568
2259,1806,5504
2956,2489,5413
2033,1752,5324
1553,1342,5229
2033,1725,5144
2328,1963,5042
2033,1725,4963
1825,1570,4892
2005,1725,4828
2133,1818,4733
2033,1725,4647
1960,1677,4571
2033,1752,4512
2083,1788,4424
2061,1752,4331
2043,1731,4245
2061,1752,4196
2062,1765,4137
2061,1779,4061
2080,1807,3958
2089,1806,3880
2084,1775,3824
2146,1806,3790
2222,1871,3740
2174,1833,3700
2073,1735,3667
2174,1806,3655
2328,1942,3630
2146,1806,3609
1866,1567,3595
2117,1752,3609
2508,2069,3617
2061,1725,3609
1335,1159,3577
1976,1698,3564
3381,2823,3562
2739,2210,3564
-244,-362,3540
-1779,-1725,3519
590,183,3509
4037,3046,3519
4596,3585,3518
2654,2103,3519
1329,1134,3515
1525,1375,3519
1706,1546,3514
1214,1132,3519
888,856,3521
1073,997,3519
1168,1053,3493
932,836,3474
708,652,3466
621,593,3474
444,457,3471
141,216,3474
-128,10,3474
-311,-135,3474
-480,-296,3451
-649,-485,3429
-800,-680,3417
-932,-890,3429
-1028,-1102,3433
-1045,-1267,3429
-966,-1362,3404
-791,-1402,3384
-565,-1423,3371
-339,-1429,3384
-145,-1415,3391
28,-1375,3384
183,-1312,3353
311,-1213,3339
381,-1091,3338
395,-970,3339
363,-883,3313
311,-809,3294
248,-732,3287
198,-647,3294
174,-571,3274
198,-485,3249
263,-372,3234
367,-216,3249
496,-29,3256
649,189,3249
821,433,3220
1016,701,3203
1239,981,3197
1496,1267,3203
1770,1546,3188
2033,1806,3158
2250,2035,3121
2428,2237,3113
2576,2407,3116
2710,2534,3113
2821,2614,3085
2908,2669,3068
2961,2712,3064
2993,2750,3068
3006,2769,3046
3021,2777,3023
3035,2776,3011
3049,2777,3023
3051,2774,3026
3049,2777,3023
3045,2778,3016
3049,2777,3023
3050,2762,3026
3049,2750,3023
3036,2743,3000
3021,2750,2978
3001,2751,2961
2993,2750,2978
2980,2736,3014
2964,2723,3068
2933,2704,3113
2908,2696,3158
2887,2683,3188
2880,2669,3203
2864,2638,3179
2852,2615,3113
2833,2595,2971
2823,2588,2752
2813,2572,2482
2823,2561,2256
2844,2552,2129
2880,2561,2121
2906,2570,2194
2936,2588,2346
2967,2605,2543
3021,2642,2752
3082,2680,2912
3162,2723,3023
3243,2756,3072
3331,2803,3068
3405,2855,3003
3473,2911,2933
3532,2958,2872
3614,3019,2842
3701,3087,2833
3783,3154,2888
3832,3194,2988
3868,3235,3113
3895,3284,3216
3924,3343,3339
3939,3378,3487
3953,3397,3655
3949,3406,3791
3924,3423,3925
3867,3430,4070
3811,3423,4241
3766,3397,4397
3727,3370,4557
3662,3333,4723
3586,3289,4918
3500,3223,5102
3416,3154,5279
3316,3075,5433
3219,2992,5595
3119,2895,5737
3021,2803,5865
2912,2710,5958
2823,2615,6046
2749,2502,6117
2682,2399,6181
2595,2310,6220
2513,2237,6272
2445,2163,6332
2372,2076,6407
2275,1982,6456
2230,1941,6497
2219,1917,6519
2146,1833,6542
2032,1726,6541
2061,1752,6542
2146,1817,6536
2033,1698,6542
1839,1526,6524
1976,1671,6497
2212,1905,6448
1948,1671,6407
1526,1279,6345
1948,1644,6272
2711,2326,6172
1948,1644,6091
-440,-503,6017
-1779,-1725,5956
-320,-444,5866
2117,1725,5775
2845,2388,5676
2005,1671,5595
1521,1284,5501
1920,1671,5414
2178,1908,5318
1920,1671,5234
1748,1517,5138
1920,1671,5053
2027,1765,4959
1920,1671,4873
1847,1612,4773
1920,1671,4692
1981,1700,4616
1976,1671,4557
1967,1666,4486
1976,1698,4422
1970,1706,4349
1976,1698,4286
2004,1704,4213
2033,1725,4151
2055,1749,4080
2061,1752,4016
2058,1739,3939
2117,1779,3880
2180,1839,3827
2117,1806,3790
2013,1722,3753
2117,1779,3745
2273,1882,3744
2089,1752,3745
1801,1549,3717
2033,1725,3700
2408,2006,3693
1976,1698,3700
1285,1204,3679
1948,1671,3655
3358,2576,3639
2739,1860,3655
-209,-553,3662
-1779,-1725,3655
414,123,3624
3614,2750,3609
4030,3159,3604
2174,1752,3609
1094,924,3604
1525,1267,3609
1847,1516,3611
1468,1186,3609
1302,984,3583
1666,1186,3564
1887,1301,3555
1722,1132,3564
1571,975,3562
1581,943,3564
1506,863,3563
1299,701,3564
1124,579,3542
1016,512,3519
864,409,3504
649,243,3519
424,44,3528
226,-162,3519
78,-353,3487
0,-512,3474
-25,-647,3473
0,-755,3474
63,-847,3448
169,-917,3429
304,-950,3422
452,-917,3429
581,-830,3411
678,-728,3384
718,-652,3352
706,-593,3339
645,-532,3329
565,-458,3339
474,-389,3345
395,-323,3339
347,-255,3308
367,-162,3294
456,-37,3293
593,135,3294
742,349,3266
903,593,3249
1087,846,3246
1299,1105,3249
1516,1365,3222
1722,1617,3203
1905,1840,3201
2061,2022,3203
2172,2154,3177
2230,2237,3158
2247,2277,3155
2259,2291,3158
2275,2293,3133
2287,2291,3113
2275,2281,3109
2259,2264,3113
2253,2246,3088
2259,2237,3068
2252,2228,3063
2230,2210,3068
2200,2188,3045
2174,2183,3023
2144,2190,3016
2117,2183,3023
2096,2152,3003
2089,2130,2978
2079,2128,2964
2061,2130,2978
2029,2104,2984
2005,2076,2978
1985,2059,2952
1976,2049,2933
1960,2019,2921
1948,1995,2933
1939,1988,2939
1948,1995,2933
1958,1982,2903
1976,1968,2888
1996,1960,2885
2033,1968,2888
2071,1966,2864
2117,1968,2842
2163,1974,2832
2230,1995,2842
2301,2014,2842
2372,2049,2842
2431,2097,2837
2513,2157,2842
2610,2200,2838
2710,2237,2842
2790,2278,2840
2880,2345,2842
2981,2416,2833
3077,2480,2842
3137,2528,2858
3190,2588,2888
3256,2655,2914
3331,2723,2978
3381,2766,3074
3416,2803,3203
3445,2841,3328
3473,2884,3474
3477,2915,3638
3473,2938,3835
3460,2952,4020
3444,2965,4196
3406,2967,4350
3360,2965,4512
3312,2948,4665
3275,2911,4828
3224,2853,4980
3162,2803,5144
3087,2764,5299
3021,2723,5459
2950,2656,5597
2880,2588,5730
2801,2528,5841
2739,2480,5956
2682,2417,6062
2626,2345,6181
2551,2271,6282
2484,2210,6362
2431,2152,6404
2400,2103,6452
2368,2064,6497
2315,2022,6542
2244,1963,6560
2230,1941,6587
2246,1937,6612
2202,1887,6632
2123,1815,6612
2174,1860,6587
2251,1926,6560
2117,1806,6542
1934,1645,6497
2117,1806,6452
2384,2038,6402
2089,1779,6362
1621,1370,6294
2061,1752,6226
2885,2458,6152
2117,1752,6091
-369,-463,6004
-1779,-1725,5911
-272,-416,5806
2259,1806,5730
3004,2484,5658
2117,1752,5595
1613,1358,5506
2033,1752,5414
2303,1982,5313
2033,1725,5234
1855,1562,5144
2033,1725,5053
2141,1826,4948
2033,1725,4873
1973,1658,4804
2061,1725,4737
2116,1772,4641
2089,1752,4557
2070,1737,4483
2089,1752,4422
2093,1754,4330
2089,1752,4241
2096,1761,4160
2117,1779,4106
2144,1801,4039
2146,1806,3970
2125,1794,3893
2174,1833,3835
2249,1884,3779
2202,1833,3745
2090,1735,3713
2174,1806,3700
2331,1937,3688
2174,1806,3700
1902,1579,3705
2117,1752,3700
2475,2042,3669
2061,1698,3655
1401,1154,3652
2033,1671,3655
3338,2722,3629
2626,2076,3609
-306,-429,3600
-1779,-1725,3609
466,96,3606
3586,2723,3609
3856,3064,3609
1920,1590,3609
879,806,3584
1383,1240,3564
1702,1494,3555
1214,1078,3564
882,795,3563
1073,943,3564
1132,987,3561
819,728,3564
536,495,3558
423,404,3564
228,257,3567
-85,27,3564
-325,-149,3537
-452,-270,3519
-581,-438,3514
-734,-647,3519
-854,-830,3499
-903,-970,3474
-874,-1074,3458
-762,-1132,3474
-598,-1155,3484
-395,-1159,3474
-180,-1166,3440
28,-1159,3429
202,-1124,3430
339,-1051,3429
430,-962,3400
480,-863,3384
475,-773,3382
423,-701,3384
338,-657,3358
254,-620,3339
191,-577,3335
169,-512,3339
188,-430,3315
254,-323,3294
362,-192,3287
508,-27,3294
672,170,3273
847,404,3249
1039,666,3236
1270,943,3249
1535,1217,3251
1807,1483,3249
2050,1735,3229
2259,1968,3203
2429,2164,3169
2569,2318,3158
2676,2428,3159
2767,2507,3158
2844,2565,3130
2908,2615,3113
2944,2650,3110
2964,2669,3113
2977,2670,3089
2993,2669,3068
2996,2667,3062
2993,2669,3068
2986,2667,3048
2993,2669,3023
2997,2669,3009
2993,2669,3023
2972,2656,3030
2964,2642,3023
2965,2625,2996
2964,2615,2978
2937,2599,2968
2908,2588,2978
2885,2572,2982
2880,2561,2978
2865,2544,2953
2852,2534,2933
2833,2519,2922
2823,2507,2933
2805,2489,2938
2795,2480,2933
2787,2466,2906
2795,2453,2888
2802,2431,2878
2823,2426,2888
