III,V,ABP,RESP
700,4650,4645,3636
785,5159,5487,4101
700,4442,5173,3601
708,4101,5078,3341
875,4442,5525,3584
1026,4615,5816,3717
1049,4373,5736,3549
1017,4226,5710,3439
1049,4373,5912,3531
1145,4441,6058,3578
1224,4303,6053,3496
1258,4211,6062,3441
1312,4303,6159,3479
1402,4405,6212,3497
1487,4373,6194,3461
1530,4267,6165,3427
1574,4234,6159,3426
1631,4300,6131,3423
1662,4373,6088,3409
1686,4340,6044,3387
1749,4234,6018,3374
1771,4184,5993,3362
1574,4303,5983,3356
1199,4593,5959,3335
962,5067,5948,3321
1099,5681,5926,3309
1399,6316,5912,3304
1460,6711,5886,3284
1312,6594,5877,3269
1512,5728,5861,3255
2449,4234,5842,3251
3646,2679,5797,3239
4198,1805,5772,3234
3795,1782,5751,3224
2974,2152,5736,3217
2164,2394,5694,3194
1137,2499,5666,3182
-365,2612,5644,3176
-1837,2707,5631,3182
-2528,2670,5590,3172
-2449,2638,5560,3164
-2411,2723,5539,3152
-2886,2846,5525,3147
-3348,2899,5474,3132
-2886,3054,5420,3129
-1361,3415,5372,3127
437,3817,5349,3129
1635,4014,5304,3117
2099,4095,5244,3112
2236,4217,5165,3109
2361,4373,5103,3112
2445,4407,5033,3100
2449,4373,4962,3094
2452,4382,4870,3090
2536,4442,4786,3094
2615,4434,4695,3083
2624,4373,4610,3077
2596,4356,4504,3072
2624,4442,4399,3077
2689,4521,4287,3067
2711,4512,4188,3059
2663,4441,4078,3052
2624,4442,3977,3059
2655,4519,3875,3060
2711,4581,3801,3059
2721,4548,3737,3047
2711,4512,3695,3042
2742,4550,3651,3036
2799,4650,3625,3042
2812,4705,3600,3041
2799,4720,3590,3042
2788,4717,3569,3030
2799,4720,3554,3024
2817,4702,3531,3017
2886,4720,3519,3024
2985,4780,3499,3025
3061,4859,3484,3024
3087,4893,3459,3010
3148,4928,3449,3007
3253,4968,3441,3005
3323,4997,3449,3007
3310,4982,3448,2995
3323,4997,3449,2989
3412,5043,3432,2985
3498,5067,3414,2989
3498,5019,3387,2980
3498,4997,3378,2972
3553,5033,3375,2964
3586,5067,3378,2972
3507,5024,3362,2972
3411,4997,3343,2972
3394,5029,3320,2959
3411,5067,3308,2954
3346,5029,3289,2949
3236,4997,3273,2954
3169,5005,3250,2954
3148,4997,3238,2954
3084,4910,3219,2943
2974,4859,3203,2937
2868,4891,3178,2931
2799,4928,3167,2937
2723,4861,3151,2937
2624,4789,3132,2937
2494,4782,3103,2925
2361,4789,3097,2919
2246,4694,3099,2914
2186,4581,3097,2919
2153,4547,3071,2918
2099,4581,3062,2919
2003,4544,3074,2915
1924,4442,3097,2919
1877,4358,3094,2917
1837,4373,3097,2919
1777,4419,3119,2915
1749,4442,3167,2919
1758,4408,3204,2919
1749,4373,3238,2919
1667,4354,3267,2907
1574,4373,3308,2902
1542,4398,3340,2897
1574,4442,3378,2902
1591,4479,3414,2899
1574,4512,3449,2902
1556,4514,3455,2899
1574,4512,3449,2902
1590,4486,3439,2897
1574,4442,3449,2902
1548,4381,3455,2907
1574,4373,3449,2919
1634,4408,3414,2919
1662,4442,3378,2919
1620,4412,3341,2915
1574,4373,3308,2919
1568,4357,3257,2917
1574,4373,3203,2919
1535,4372,3144,2916
1487,4373,3097,2919
1498,4353,3043,2916
1574,4303,2991,2919
1617,4231,2935,2917
1574,4234,2886,2919
1500,4308,2830,2914
1487,4373,2780,2919
1511,4342,2734,2925
1487,4303,2710,2937
1410,4321,2690,2936
1399,4373,2675,2937
1490,4356,2650,2932
1574,4303,2639,2937
1550,4276,2635,2935
1487,4303,2639,2937
1476,4318,2625,2933
1487,4303,2604,2937
1422,4243,2578,2935
1312,4165,2569,2937
1262,4091,2565,2933
1312,4095,2569,2937
1377,4142,2566,2936
1399,4165,2569,2937
1391,4118,2567,2926
1399,4095,2569,2919
1411,4127,2565,2913
1399,4165,2569,2919
1374,4131,2570,2920
1399,4095,2569,2919
1485,4109,2550,2906
1574,4165,2534,2902
1596,4176,2525,2899
1574,4165,2534,2902
1560,4156,2538,2893
1574,4165,2534,2884
1581,4134,2513,2871
1574,4095,2499,2867
1569,4093,2490,2856
1574,4165,2499,2849
1550,4228,2502,2837
1487,4234,2499,2832
1415,4183,2479,2821
1399,4165,2463,2814
1441,4172,2455,2801
1487,4165,2463,2797
1468,4110,2466,2788
1399,4095,2463,2779
1354,4131,2444,2759
1399,4165,2428,2745
1498,4126,2419,2731
1574,4095,2428,2727
1585,4118,2433,2717
1574,4165,2428,2710
1571,4161,2406,2697
1574,4165,2393,2692
1568,4201,2389,2681
1574,4234,2393,2675
1587,4197,2389,2663
1574,4165,2393,2657
1520,4185,2395,2645
1487,4234,2393,2640
1514,4236,2372,2629
1574,4234,2358,2622
1593,4240,2354,2610
1574,4234,2358,2605
1559,4197,2342,2595
1574,4234,2323,2587
1584,4351,2312,2572
1574,4442,2323,2570
1561,4415,2328,2569
1574,4373,2323,2570
1587,4377,2302,2557
1574,4373,2288,2552
1546,4288,2280,2550
1574,4234,2288,2552
1687,4267,2291,2541
1837,4303,2288,2535
1926,4234,2268,2531
1924,4165,2252,2535
1872,4181,2244,2525
1837,4234,2252,2517
1825,4208,2256,2512
1837,4165,2252,2517
1891,4163,2233,2516
2011,4165,2217,2517
2120,4071,2208,2515
2099,3956,2217,2517
1931,3913,2221,2513
1749,3956,2217,2517
1646,3989,2196,2523
1574,4026,2182,2535
1448,4081,2176,2534
1312,4165,2182,2535
1259,4169,2181,2532
1312,4095,2182,2535
1369,4018,2179,2531
1399,4026,2182,2535
1398,4077,2179,2539
1399,4095,2182,2552
1386,4034,2181,2554
1399,3956,2182,2552
1422,3942,2177,2545
1399,4026,2182,2552
1245,4092,2186,2561
962,4095,2182,2570
