II,V,PLETH
-174,-361,11587
-217,-500,15732
-222,-498,16227
-245,-399,15125
-306,-310,14730
-361,-302,15204
-368,-367,15551
-341,-440,15317
-333,-459,15040
-388,-425,15124
-479,-379,15367
-542,-367,15339
-511,-391,15159
-436,-440,15132
-390,-519,15286
-407,-597,15314
-419,-696,15213
-380,-763,15165
-319,-805,15250
-294,-789,15278
-306,-754,15235
-318,-707,15192
-311,-674,15234
-291,-671,15233
-262,-672,15234
-213,-514,15211
-107,-69,15234
212,576,15223
1013,1219,15234
2483,1800,15217
4433,2186,15235
6235,1650,15219
7146,-880,15234
6804,-5625,15217
5465,-11153,15233
3774,-15214,15217
2300,-16412,15233
1267,-15007,15217
612,-12261,15233
214,-9361,15217
-18,-6911,15233
-178,-5080,15217
-374,-3845,15233
-631,-3041,15218
-845,-2386,15234
-879,-1670,15219
-724,-923,15235
-519,-318,15219
-420,64,15234
-457,297,15219
-547,474,15234
-622,618,15219
-670,744,15234
-713,874,15219
-721,1022,15235
-713,1182,15219
-716,1321,15234
-752,1465,15218
-764,1555,15233
-726,1568,15217
-670,1401,15233
-648,1058,15217
-635,605,15233
-594,193,15217
-533,-84,15233
-502,-203,15217
-495,-239,15233
-475,-285,15218
-426,-392,15234
-385,-493,15219
-361,-507,15235
-319,-463,15219
-197,-487,15234
7,-602,15219
251,-680,15234
487,-631,15219
722,-549,15234
989,-563,15219
1309,-646,15234
1668,-681,15219
2040,-661,15235
2398,-707,15219
2713,-883,15234
2971,-1109,15218
3173,-1260,15233
3308,-1309,15217
3359,-1335,15233
3342,-1407,15217
3294,-1501,15233
3199,-1543,15217
2982,-1504,15233
2628,-1420,15217
2233,-1330,15233
1901,-1224,15218
1643,-1073,15234
1423,-879,15219
1240,-677,15235
1098,-500,15219
969,-348,15234
818,-197,15219
679,-41,15234
603,81,15219
589,123,15234
575,98,15219
530,80,15235
468,127,15219
432,217,15234
426,280,15218
442,277,15233
452,232,15217
453,201,15233
434,233,15217
408,324,15233
379,413,15217
368,431,15233
365,391,15217
350,371,15233
304,408,15218
244,439,15234
191,388,15219
157,262,15235
149,142,15219
174,74,15234
207,54,15219
203,56,15234
148,81,15219
87,123,15234
57,151,15219
39,141,15234
10,134,15219
-14,183,15235
-14,263,15219
-15,292,15234
-50,271,15218
-110,308,15233
-176,469,15217
-249,641,15233
-310,637,15217
-315,389,15233
-269,-11,15217
-238,-424,15233
-236,-734,15217
-197,-879,15233
-100,-878,15218
-38,-835,15234
-85,-841,15219
-180,-901,15235
-217,-950,15219
-188,-946,15234
-157,-913,15219
-150,-900,15234
-147,-922,15219
-143,-952,15234
-144,-952,15219
-122,-915,15235
-41,-854,15219
73,-793,15234
135,-754,15218
91,-746,15233
-19,-748,15217
-110,-730,15233
-136,-699,15217
-135,-693,15233
-157,-707,15217
-203,-689,15233
-228,-609,15217
-217,-518,15233
-187,-486,15218
-168,-512,15234
-176,-526,15219
-216,-500,15235
-270,-490,15219
-313,-556,15234
-336,-645,15219
-361,-652,15234
-399,-565,15219
-431,-495,15234
-427,-506,15219
-400,-521,15234
-385,-453,15219
-406,-340,15235
-456,-273,15219
-510,-259,15234
-548,-241,15218
-563,-204,15233
-562,-160,15217
-561,-102,15233
-576,-23,15217
-613,34,15233
-641,29,15217
-625,10,15233
-558,73,15217
-489,247,15233
-460,454,15218
-474,592,15234
-490,625,15219
-484,596,15235
-460,579,15219
-436,603,15234
-415,647,15219
-388,674,15234
-337,683,15219
-271,690,15234
-223,698,15219
-236,692,15235
-305,677,15219
-385,679,15234
-429,718,15218
-443,771,15233
-460,824,15217
-505,879,15233
-568,924,15217
-629,882,15233
-675,667,15217
-700,264,15233
-694,-232,15217
-654,-662,15233
-602,-898,15218
-564,-927,15234
-531,-873,15219
-474,-888,15235
-405,-996,15219
-383,-1084,15234
-422,-1063,15219
-455,-982,15234
-417,-945,15219
-336,-969,15234
-288,-989,15219
-297,-958,15234
-316,-899,15219
-302,-855,15235
-264,-842,15219
-236,-847,15234
-225,-842,15218
-215,-799,15233
-194,-717,15217
-173,-615,15233
-154,-522,15217
-127,-452,15233
-90,-401,15217
-67,-367,15233
-72,-346,15217
-87,-326,15233
-87,-280,15218
-70,-205,15234
-38,-148,15219
21,-164,15235
105,-213,15219
187,-195,15234
259,-92,15219
339,-13,15234
409,-39,15219
402,-104,15234
296,-87,15219
158,24,15235
68,154,15219
30,258,15234
10,338,15218
8,392,15233
48,415,15217
117,423,15233
168,430,15217
187,429,15233
205,431,15217
237,459,15233
251,492,15217
205,466,15233
111,375,15218
32,308,15234
17,336,15219
50,407,15235
83,423,15219
96,375,15234
105,341,15219
122,363,15234
139,377,15219
142,306,15234
137,188,15219
135,130,15234
131,152,15219
112,161,15235
86,96,15219
80,21,15234
98,-2,15218
105,-12,15233
77,-71,15217
38,-129,15233
31,-98,15217
60,15,15233
104,111,15217
141,127,15233
155,91,15217
134,44,15233
91,2,15218
61,-33,15234
51,-58,15219
29,-61,15235
-14,-32,15219
-27,26,15234
39,90,15219
149,144,15234
208,220,15219
158,371,15234
23,589,15219
-120,757,15235
-194,730,15219
-181,445,15234
-131,-8,15218
-119,-470,15233
-148,-805,15217
-156,-981,15233
-116,-1032,15217
-77,-1026,15233
-93,-1010,15217
-141,-1019,15233
-169,-1048,15217
-168,-1085,15233
-157,-1125,15218
-132,-1193,15234
-91,-1284,15219
-61,-1365,15235
-63,-1391,15219
-78,-1373,15234
-85,-1346,15219
-95,-1352,15234
