II,V,PLETH
2351,2863,7558
2453,3270,8559
1893,2922,7558
1589,2735,7035
1710,2922,7558
1770,3013,7870
1618,2863,7558
1533,2769,7351
1618,2863,7558
1673,2947,7684
1618,2922,7558
1578,2887,7472
1618,2922,7558
1665,2965,7602
1679,2980,7558
1684,2989,7528
1710,3039,7558
1759,3122,7566
1832,3214,7558
1882,3267,7550
1863,3272,7558
1784,3239,7550
1740,3214,7558
1767,3213,7550
1832,3272,7558
1870,3363,7550
1893,3448,7558
1927,3482,7550
1985,3506,7558
2034,3549,7550
2076,3623,7558
2116,3685,7550
2168,3740,7558
2214,3790,7550
2260,3857,7558
2302,3917,7550
2351,3974,7558
2395,4007,7550
2443,4032,7558
2496,4051,7550
2565,4091,7558
2638,4126,7550
2718,4149,7558
2795,4160,7550
2870,4207,7558
2911,4265,7550
2901,4266,7558
2842,4147,7550
2779,3974,7558
2728,3841,7550
2687,3798,7558
2636,3765,7550
2595,3682,7558
2567,3548,7550
2534,3448,7558
2452,3374,7550
2321,3272,7558
2168,3095,7550
2046,2922,7558
1962,2820,7550
1924,2805,7558
1911,2804,7550
1924,2805,7558
1940,2800,7550
1954,2805,7558
1952,2797,7550
1954,2805,7558
1961,2826,7550
1985,2863,7558
2011,2887,7550
2046,2922,7558
2069,2957,7550
2076,2980,7558
2057,2955,7550
2046,2922,7558
2059,2918,7550
2107,2980,7558
2158,3071,7550
2199,3156,7558
2208,3183,7550
2199,3156,7558
2167,3088,7550
2137,3039,7558
2112,3022,7550
2107,3039,7558
2113,3045,7550
2137,3039,7558
2164,3025,7550
2199,3039,7558
2227,3065,7550
2260,3097,7558
2287,3117,7550
2321,3156,7558
2358,3208,7550
2412,3272,7558
2481,3326,7550
2565,3389,7558
2629,3438,7550
2657,3448,7558
2631,3375,7550
2595,3272,7558
2558,3165,7550
2534,3097,7558
2515,3047,7550
2534,3039,7558
2562,3044,7550
2565,3039,7558
2527,3015,7550
2504,3039,7558
2490,3093,7550
2443,3097,7558
2342,2994,7550
2229,2863,7558
2078,2764,7550
1893,2747,7558
1878,2952,7550
2412,3623,7558
3570,4754,7550
4886,6077,7558
5695,7333,7550
5832,8415,7558
5723,8998,7550
5832,8590,7558
6039,7123,7550
5832,5318,7558
4973,3990,7550
3847,3331,7558
2983,3004,7550
2534,2805,7558
2282,2744,7550
2076,2805,7558
1933,2836,7550
1893,2805,7558
1895,2778,7550
1893,2805,7558
1872,2824,7550
1832,2805,7558
1755,2744,7550
1679,2688,7558
1638,2656,7550
1649,2688,7558
1673,2745,7550
1710,2805,7558
1739,2809,7550
1771,2805,7558
1792,2824,7550
1832,2922,7558
1894,3052,7550
1985,3156,7558
2049,3178,7550
2046,3156,7558
1961,3117,7550
1863,3097,7558
1809,3097,7550
1832,3156,7558
1899,3262,7550
1985,3389,7558
2055,3485,7550
2107,3565,7558
2136,3628,7550
2168,3682,7558
2208,3707,7550
2260,3740,7558
2304,3789,7550
