II,V,PLETH,ABP
46,12,174,8250
-43,9,187,8891
-142,4,167,7956
-152,5,177,8414
-132,6,178,8464
-84,8,176,8332
-31,7,174,8194
10,5,175,8226
30,3,176,8260
28,1,173,8181
3,1,168,8090
-44,3,162,8067
-106,4,155,8052
-165,4,148,7976
-202,3,141,7897
-199,1,136,7847
-156,-1,132,7790
-95,-2,127,7712
-49,-3,122,7635
-41,-3,116,7580
-71,-3,107,7508
-119,-4,96,7432
-150,-4,82,7353
-142,-4,66,7256
-100,-4,49,7154
-44,-3,33,7035
-2,-1,18,6921
12,1,5,6793
-5,3,-7,6680
-39,2,-17,6554
-72,1,-28,6442
-87,-3,-38,6307
-81,-6,-49,6187
-63,-11,-60,6041
-48,-13,-72,5919
-42,-17,-82,5773
-59,-17,-93,5665
-79,-16,-104,5546
-99,-12,-115,5481
-95,-8,-126,5407
-75,-2,-137,5393
-40,3,-148,5362
-17,9,-159,5385
-13,14,-170,5379
-56,22,-181,5417
-138,38,-192,5421
-262,69,-205,5459
-389,122,-219,5459
-486,201,-236,5484
-509,300,-253,5474
-462,407,-272,5484
-383,503,-290,5463
-349,574,-307,5459
-422,613,-322,5429
-621,621,-336,5412
-892,608,-351,5375
-1153,582,-367,5352
-1331,548,-385,5319
-1410,509,-404,5300
-1425,463,-422,5274
-1437,410,-438,5258
-1486,348,-453,5235
-1564,283,-465,5218
-1658,218,-477,5192
-1714,158,-488,5170
-1756,109,-498,5142
-1765,72,-510,5121
-1771,48,-520,5092
-1793,37,-532,5074
-1830,36,-542,5047
-1910,46,-551,5030
-2004,60,-559,4999
-2129,82,-565,4978
-2241,106,-568,4939
-2327,140,-570,4911
-2362,175,-570,4865
-2374,226,-571,4837
-2358,286,-569,4793
-2298,367,-570,4774
-2054,451,-569,4736
-1495,529,-571,4725
-472,565,-569,4688
977,552,-571,4678
2650,479,-569,4638
4129,382,-571,4626
5024,290,-569,4586
5039,253,-571,4575
4200,284,-569,4539
2753,385,-570,4532
1132,527,-567,4503
-298,682,-564,4499
-1296,820,-556,4473
-1850,935,-550,4467
-2075,1021,-541,4442
-2175,1084,-536,4432
-2287,1127,-531,4405
-2483,1157,-528,4390
-2713,1176,-523,4361
-2909,1194,-519,4343
