II,III,PLETH
2915,2758,4457
3281,3095,4982
2869,2677,4320
2634,2425,3969
2778,2556,4238
2833,2629,4358
2687,2515,4101
2632,2490,3932
2733,2637,4019
2736,2717,4045
2596,2637,3910
2476,2532,3813
2459,2515,3828
2436,2528,3815
2368,2515,3746
2291,2474,3698
2232,2434,3691
2176,2404,3670
2141,2393,3636
2124,2381,3606
2095,2353,3582
2049,2307,3546
2049,2272,3527
2119,2250,3511
2277,2272,3500
2582,2359,3468
3143,2556,3445
3925,2868,3427
4782,3286,3418
5599,3738,3388
6331,4138,3363
6727,4373,3342
6422,4381,3336
5374,4152,3311
4099,3773,3281
3141,3355,3244
2596,3002,3226
2231,2726,3209
1958,2515,3199
1840,2354,3180
1867,2272,3172
1896,2258,3164
1867,2272,3172
1816,2239,3178
1776,2150,3199
1716,2034,3219
1640,1947,3254
1573,1893,3288
1548,1866,3336
1540,1851,3383
1548,1866,3445
1570,1900,3499
1640,1947,3554
1731,1983,3601
1822,2028,3664
1859,2071,3729
1867,2109,3801
1873,2124,3854
1913,2150,3910
1973,2200,3961
2049,2272,4019
2121,2313,4062
2186,2312,4101
2219,2271,4128
2232,2231,4156
2237,2210,4170
2277,2231,4183
2354,2269,4184
2459,2312,4183
2557,2347,4169
2642,2393,4156
2697,2430,4131
2733,2434,4101
2750,2399,4056
2778,2393,4019
2819,2453,3987
2869,2556,3965
2898,2613,3927
2915,2596,3883
2929,2527,3825
2960,2475,3773
2987,2468,3715
3006,2515,3664
3017,2578,3606
3051,2637,3554
3089,2676,3496
3097,2718,3445
3041,2748,3387
2960,2758,3336
2892,2736,3276
2869,2718,3226
2865,2713,3178
2869,2718,3144
2854,2701,3111
2824,2677,3090
2783,2662,3062
2778,2677,3035
2813,2699,3000
2869,2718,2980
2901,2719,2964
2915,2718,2953
2914,2711,2932
2915,2718,2926
2910,2743,2924
2915,2799,2926
2915,2853,2908
2915,2880,2898
2916,2863,2895
2960,2840,2898
3010,2820,2883
3006,2799,2871
2889,2730,2865
2733,2637,2871
2607,2559,2859
2550,2556,2844
2520,2598,2824
2505,2637,2816
2488,2618,2801
2459,2556,2789
2397,2471,2772
2323,2393,2762
2246,2311,2745
2186,2231,2734
2168,2152,2719
2277,2109,2707
2575,2141,2688
3097,2312,2680
3822,2635,2675
