II,III,PLETH
-137,-1573,3905
-660,-2319,4375
-1164,-2742,3790
-1279,-2923,3460
-1027,-2877,3675
-726,-2567,3779
-548,-2068,3560
-415,-1518,3409
-205,-944,3474
85,-316,3488
411,315,3359
733,824,3263
1027,1169,3273
1263,1386,3273
1438,1528,3216
1560,1612,3156
1643,1663,3130
1690,1706,3104
1712,1753,3072
1715,1785,3039
1712,1798,3015
1709,1796,2994
1712,1798,2986
1713,1804,2969
1712,1798,2957
1709,1776,2941
1712,1753,2929
1714,1747,2907
1712,1753,2900
1705,1756,2898
1712,1753,2900
1737,1749,2884
1780,1753,2871
1819,1753,2864
1849,1753,2871
1856,1750,2870
1849,1753,2871
1838,1752,2867
1849,1753,2871
1859,1749,2869
1849,1753,2871
1826,1753,2869
1849,1753,2871
1919,1747,2867
1986,1753,2871
1994,1770,2871
1986,1798,2871
2004,1807,2855
2054,1798,2843
2092,1784,2834
2123,1798,2843
2156,1825,2845
2191,1843,2843
2198,1837,2826
2191,1843,2814
2186,1866,2797
2191,1888,2785
2190,1884,2766
2191,1888,2756
2192,1922,2743
2191,1978,2728
2184,2010,2697
2191,2023,2670
2201,2036,2649
2191,2068,2642
2150,2096,2627
2123,2112,2613
2121,2113,2594
2123,2112,2584
2092,2110,2568
2054,2112,2555
2025,2113,2537
1986,2112,2527
1896,2097,2520
1780,2068,2527
1685,2022,2529
1643,1978,2527
1634,1931,2510
1643,1888,2498
1649,1839,2483
1643,1798,2469
1611,1754,2448
1575,1708,2441
1556,1666,2441
1575,1663,2441
1610,1688,2415
1643,1708,2383
1650,1690,2358
1643,1663,2354
1635,1653,2346
1643,1663,2326
1650,1664,2291
1643,1663,2268
1610,1661,2251
1575,1663,2240
1557,1657,2220
1575,1663,2211
1605,1682,2208
1643,1708,2211
1696,1725,2198
1780,1753,2182
1850,1784,2164
1849,1798,2153
1772,1775,2137
1712,1753,2125
1725,1762,2109
1780,1798,2096
1800,1813,2076
1780,1798,2067
1762,1766,2065
1780,1753,2067
1813,1763,2055
1849,1798,2039
1883,1829,2020
1917,1843,2010
1911,1825,1995
1849,1798,1981
1759,1769,1964
1712,1753,1953
1709,1743,1937
1712,1753,1924
1697,1773,1906
1712,1798,1895
1759,1805,1888
1780,1798,1895
1721,1776,1898
1643,1753,1895
1617,1725,1877
1643,1708,1866
1655,1701,1862
1643,1708,1866
1634,1710,1863
1643,1708,1866
1646,1702,1867
1643,1708,1866
1639,1712,1856
1643,1708,1866
1642,1684,1893
1643,1663,1924
1642,1653,1933
1643,1663,1953
1639,1679,1996
1643,1708,2067
1648,1735,2128
1643,1753,2182
1611,1752,2232
1575,1753,2297
1556,1754,2362
1575,1753,2441
1610,1744,2520
1643,1753,2613
1651,1778,2705
1643,1798,2814
1632,1782,2925
1643,1753,3044
1672,1739,3152
1712,1753,3273
1747,1762,3398
1780,1753,3532
1794,1727,3648
1780,1708,3761
1740,1688,3869
1712,1663,3991
1708,1632,4106
1712,1618,4221
1686,1617,4319
1643,1618,4422
1619,1609,4518
1643,1618,4623
1684,1654,4713
1712,1708,4795
1729,1742,4853
1780,1753,4910
1842,1739,4952
1849,1708,4996
1759,1646,5031
1643,1573,5082
1574,1520,5129
1575,1528,5168
1580,1572,5180
1575,1618,5197
1563,1638,5211
1575,1663,5226
1582,1692,5212
1575,1708,5197
1560,1687,5179
1575,1663,5168
1594,1658,5137
1575,1663,5111
1521,1660,5081
1506,1663,5054
1579,1709,4998
1712,1798,4939
1876,1916,4874
2123,2068,4824
2524,2293,4763
3081,2607,4709
3711,2969,4649
4314,3326,4594
4765,3656,4521
4930,3955,4451
4716,4132,4373
4177,4045,4307
3480,3614,4231
2807,2922,4163
2215,2086,4089
1643,1169,4020
983,165,3932
205,-854,3848
-615,-1750,3763
-1301,-2382,3704
-1673,-2706,3645
-1643,-2742,3589
-1331,-2568,3514
-959,-2247,3446
-687,-1825,3379
-479,-1303,3331
-243,-710,3274
68,-90,3216
409,477,3149
753,944,3101
1041,1274,3055
1233,1483,3015
1311,1592,2964
1369,1663,2929
1462,1725,2898
1575,1798,2871
1654,1855,2825
1712,1888,2785
1761,1894,2750
1780,1888,2728
1749,1872,2695
1712,1843,2670
1706,1811,2649
1712,1798,2642
1704,1815,2625
1712,1843,2613
1749,1853,2604
1780,1843,2613
1777,1832,2615
1780,1843,2613
1815,1866,2604
1849,1888,2613
1842,1890,2627
1849,1888,2642
1907,1884,2639
1986,1888,2642
2008,1886,2650
1986,1888,2670
1966,1886,2682
1986,1888,2699
2017,1885,2712
2054,1888,2728
2089,1887,2727
2123,1888,2728
2131,1883,2733
2123,1888,2756
2111,1891,2774
2123,1888,2785
2151,1875,2782
2191,1888,2785
2225,1928,2784
2260,1978,2785
2292,2004,2780
2328,2023,2785
2360,2043,2787
2397,2068,2785
2430,2084,2766
2465,2112,2756
2496,2155,2754
2533,2202,2756
2551,2227,2741
2533,2247,2728
2487,2269,2721
2465,2292,2728
2471,2294,2718
2465,2292,2699
2406,2304,2675
2328,2337,2670
2259,2354,2669
2191,2337,2670
2091,2278,2656
1986,2202,2642
1904,2125,2623
1849,2068,2613
1782,2019,2597
1712,1978,2584
1658,1930,2566
1643,1888,2555
1641,1841,2540
1643,1798,2527
1640,1761,2508
1643,1753,2498
1643,1757,2484
1643,1753,2469
1636,1725,2448
1643,1708,2441
1668,1719,2439
1712,1753,2441
1730,1764,2426
1712,1753,2412
1683,1738,2396
1712,1753,2383
1787,1779,2362
1849,1798,2354
1853,1795,2353
1849,1798,2354
1877,1815,2338
1917,1843,2326
1903,1851,2321
1849,1843,2326
1813,1819,2314
1849,1798,2297
1922,1785,2285
1986,1798,2297
2000,1823,2313
1986,1843,2326
1969,1840,2324
1986,1843,2326
2021,1861,2325
2054,1888,2326
2060,1893,2319
2054,1888,2326
2048,1882,2339
2054,1888,2354
2055,1888,2353
2054,1888,2354
2049,1884,2363
2054,1888,2383
2058,1887,2388
2054,1888,2383
2024,1885,2373
1986,1888,2383
1963,1886,2398
1986,1888,2412
2027,1886,2411
2054,1888,2412
2049,1886,2410
2054,1888,2412
2084,1886,2406
2123,1888,2412
2130,1886,2424
2123,1888,2441
2116,1886,2440
2123,1888,2441
2122,1885,2446
2123,1888,2469
2122,1887,2485
2123,1888,2498
2115,1884,2504
2123,1888,2527
2151,1889,2552
2191,1888,2584
2204,1881,2607
2191,1888,2642
2157,1895,2678
2123,1888,2728
2083,1857,2775
2054,1843,2843
2040,1857,2912
2054,1888,2986
2084,1895,3055
2123,1888,3158
2136,1882,3293
2123,1888,3446
2102,1875,3558
2123,1843,3647
2167,1806,3736
2191,1798,3876
2160,1803,4029
2123,1798,4163
2112,1770,4249
2123,1753,4336
2102,1752,4430
2054,1753,4537
2004,1730,4620
1986,1708,4709
1980,1701,4804
1986,1708,4910
2004,1704,4986
2054,1708,5054
2102,1727,5116
2123,1753,5197
2114,1744,5260
2123,1708,5312
2139,1670,5347
2123,1663,5398
2047,1665,5443
1986,1663,5484
1972,1651,5498
1986,1663,5513
1958,1689,5523
1917,1708,5542
1899,1688,5542
1917,1663,5542
1924,1653,5526
1917,1663,5513
1909,1666,5482
1917,1663,5456
1920,1661,5422
1917,1663,5398
1926,1685,5357
1986,1753,5312
2132,1873,5250
2397,2023,5197
2784,2220,5137
3287,2517,5082
3864,2914,5009
4451,3326,4939
4921,3675,4860
5135,3955,4795
4990,4139,4721
4519,4135,4652
3880,3851,4571
3287,3326,4508
2834,2656,4446
2465,1888,4393
2009,979,4322
1369,-45,4250
591,-1035,4169
-137,-1798,4106
-637,-2284,4043
-822,-2562,3991
-752,-2679,3930
-548,-2562,3876
-330,-2179,3815
-137,-1618,3761
45,-1029,3700
274,-449,3647
560,126,3586
890,674,3532
1193,1103,3469
1438,1393,3417
1600,1563,3365
1712,1663,3331
1786,1711,3296
1849,1753,3273
1889,1799,3243
1917,1843,3216
1942,1854,3180
1986,1843,3158
2031,1835,3139
2054,1843,3130
2051,1852,3111
2054,1843,3101
2084,1819,3094
2123,1798,3101
2134,1793,3100
2123,1798,3101
2112,1799,3096
2123,1798,3101
2130,1795,3100
2123,1798,3101
2108,1797,3094
2123,1798,3101
2157,1796,3111
2191,1798,3130
2195,1795,3132
2191,1798,3130
2188,1798,3121
2191,1798,3130
2185,1793,3142
2191,1798,3158
2217,1802,3159
2260,1798,3158
2274,1773,3153
2260,1753,3158
2240,1744,3157
2260,1753,3158
2300,1766,3153
2328,1798,3158
2324,1843,3159
2328,1888,3158
2356,1899,3141
2397,1888,3130
2406,1875,3123
2397,1888,3130
2388,1910,3129
2397,1933,3130
2399,1950,3125
2397,1978,3130
2392,2005,3128
2397,2023,3130
2379,2020,3126
2328,2023,3130
2248,2040,3129
2191,2068,3130
2176,2076,3116
2191,2068,3101
2178,2058,3079
2123,2068,3072
2042,2077,3069
1986,2068,3072
1951,2027,3060
1917,1978,3044
1852,1929,3023
1780,1888,3015
1727,1840,3003
1712,1798,2986
1710,1766,2954
1712,1753,2929
1705,1734,2909
1712,1708,2900
1735,1676,2884
1780,1663,2871
1822,1662,2854
1849,1663,2843
1850,1643,2824
1849,1618,2814
1847,1603,2800
1849,1618,2785
1842,1643,2754
1849,1663,2728
1873,1663,2707
1917,1663,2699
1956,1662,2684
1986,1663,2670
1993,1657,2652
1986,1663,2642
1972,1682,2625
1986,1708,2613
2021,1715,2595
2054,1708,2584
2058,1698,2567
2054,1708,2555
2052,1729,2539
2054,1753,2527
2046,1758,2509
2054,1753,2498
2084,1744,2482
2123,1753,2469
2132,1774,2451
2123,1798,2441
2113,1803,2427
2123,1798,2412
2128,1791,2390
2123,1798,2383
2093,1804,2383
2054,1798,2383
2010,1773,2366
1986,1753,2354
1978,1746,2351
1986,1753,2354
1986,1754,2340
1986,1753,2326
1983,1749,2317
1986,1753,2326
1984,1752,2327
1986,1753,2326
1984,1750,2318
1986,1753,2326
1982,1752,2336
1986,1753,2354
1986,1750,2364
1986,1753,2383
1980,1753,2404
1986,1753,2441
1989,1749,2477
1986,1753,2527
1973,1755,2577
1986,1753,2642
2021,1745,2698
2054,1753,2756
2057,1774,2814
2054,1798,2900
2057,1801,2998
2054,1798,3101
2021,1796,3175
1986,1798,3245
1973,1780,3317
1986,1753,3417
1989,1735,3516
1986,1753,3618
1980,1783,3710
1986,1798,3819
1985,1777,3930
1986,1753,4049
1983,1743,4149
1986,1753,4250
1984,1756,4344
1986,1753,4451
1984,1735,4549
1986,1708,4652
1982,1675,4738
1986,1663,4824
1989,1666,4893
1986,1663,4967
1956,1636,5035
1917,1618,5111
1895,1616,5171
1917,1618,5226
1957,1607,5264
1986,1618,5312
1983,1649,5346
1986,1663,5369
2013,1622,5366
2054,1573,5369
2049,1557,5370
1986,1573,5369
1894,1574,5339
1849,1573,5312
1845,1586,5289
1849,1618,5283
1815,1628,5258
