I,MCL,ABP,RESP
4901,3697,3046,504
5604,4293,3448,591
5022,3932,3046,553
4744,3753,2840,538
5143,4026,3046,585
5376,4178,3149,618
5143,4026,2994,618
4961,3924,2898,628
5143,4026,2994,666
5372,4099,3058,694
5385,4050,2994,699
5239,4008,2926,706
5082,4050,2941,732
4936,4089,2962,760
4840,4097,2941,780
4827,4102,2903,794
4901,4120,2889,813
5013,4123,2888,836
5143,4120,2889,862
5231,4118,2868,884
5264,4120,2836,910
5269,4115,2818,941
5324,4120,2836,975
5382,4118,2849,1001
5385,4120,2836,1024
5276,4113,2798,1047
5143,4120,2784,1073
5045,4128,2784,1096
5022,4144,2784,1122
5012,4143,2753,1146
5022,4144,2731,1170
5053,4137,2724,1191
5143,4144,2731,1219
5239,4147,2706,1252
5324,4167,2679,1284
5361,4188,2662,1307
5385,4215,2679,1333
5397,4218,2682,1364
5445,4215,2679,1398
5520,4189,2664,1422
5627,4167,2679,1447
5690,4148,2712,1475
5687,4167,2784,1512
5612,4201,2869,1544
5566,4238,2994,1577
5590,4247,3161,1609
5687,4262,3414,1642
5749,4274,3729,1666
5748,4285,4097,1691
5695,4274,4477,1713
5687,4285,4884,1739
5713,4308,5288,1761
5748,4332,5672,1788
5739,4331,5987,1813
5748,4356,6250,1837
5789,4397,6454,1851
5869,4426,6618,1869
5928,4399,6714,1891
5990,4379,6775,1918
6047,4391,6803,1935
6111,4426,6828,1951
6141,4431,6830,1964
6171,4450,6828,1983
6184,4499,6803,1999
6171,4568,6775,2016
6088,4590,6736,2029
5990,4591,6723,2048
5900,4586,6719,2063
5869,4591,6723,2081
5888,4580,6698,2089
5990,4591,6670,2097
6092,4616,6636,2100
6111,4638,6618,2113
5993,4615,6587,2128
5869,4591,6565,2146
5824,4581,6535,2153
5869,4591,6513,2162
5889,4584,6464,2168
5869,4591,6408,2178
5804,4612,6326,2182
5748,4638,6250,2195
5707,4621,6164,2209
5748,4591,6092,2227
5839,4565,6011,2234
5929,4568,5935,2243
5925,4564,5832,2254
5869,4568,5725,2276
5792,4565,5608,2292
5748,4568,5515,2308
5718,4551,5414,2315
5748,4544,5305,2325
5806,4537,5165,2329
5869,4544,5042,2341
5874,4539,4930,2352
5869,4544,4832,2373
5861,4544,4703,2390
5869,4544,4569,2406
5854,4518,4430,2411
5869,4497,4307,2422
5914,4477,4169,2434
5990,4474,4044,2455
6014,4458,3925,2469
5990,4450,3834,2487
5920,4440,3745,2500
5869,4450,3676,2520
5835,4454,3612,2534
5869,4474,3571,2552
5976,4502,3533,2565
6171,4568,3519,2585
6344,4639,3509,2598
6413,4709,3519,2617
6337,4741,3532,2631
6232,4756,3571,2650
6167,4752,3604,2663
6171,4756,3624,2682
6170,4753,3614,2695
6171,4756,3624,2715
6165,4739,3649,2729
6171,4709,3676,2747
6143,4648,3658,2760
6111,4591,3624,2780
6085,4535,3603,2794
6111,4497,3624,2812
6142,4460,3637,2824
6171,4450,3624,2845
6167,4448,3584,2861
6171,4450,3571,2877
6171,4420,3574,2881
6171,4379,3571,2894
6107,4326,3538,2907
5990,4285,3519,2926
5838,4240,3518,2932
5748,4215,3519,2942
5719,4185,3488,2949
5748,4167,3466,2959
5751,4146,3464,2956
5748,4167,3466,2959
5724,4217,3436,2963
5748,4285,3414,2975
5805,4308,3410,2975
5929,4285,3414,2975
6061,4246,3385,2971
6171,4238,3361,2975
6180,4238,3357,2972
6111,4215,3361,2975
5996,4166,3333,2972
5929,4167,3309,2975
5920,4253,3303,2971
5990,4450,3309,2975
6132,4760,3283,2974
6413,5203,3256,2975
6830,5674,3247,2964
7381,6004,3256,2959
8021,6070,3238,2954
8773,6004,3204,2959
9570,5992,3166,2951
10285,6004,3151,2942
10690,5612,3143,2927
10648,4450,3151,2926
10094,2672,3155,2924
9136,1012,3151,2926
7956,94,3122,2916
6837,0,3099,2910
5938,362,3089,2899
5324,895,3099,2894
4923,1477,3099,2881
