II,III,PLETH
646,1608,5520
610,1692,6382
348,1279,5824
147,967,5573
99,907,6028
97,821,6317
99,619,6163
164,481,6078
298,495,6265
431,566,6365
547,660,6265
679,819,6187
845,1031,6231
1005,1216,6238
1143,1361,6163
1266,1501,6079
1391,1650,6028
1504,1774,5965
1590,1856,5892
1646,1893,5820
1689,1897,5757
1709,1876,5685
1689,1856,5621
1632,1844,5537
1590,1856,5452
1597,1876,5357
1640,1897,5283
1672,1910,5201
1689,1938,5113
1708,1990,5003
1739,2062,4910
1764,2117,4822
1789,2145,4741
1825,2145,4634
1888,2145,4538
1948,2143,4447
1988,2145,4368
2004,2137,4265
2037,2145,4165
2087,2171,4070
2137,2227,3996
2158,2288,3908
2186,2351,3826
2245,2395,3747
2335,2433,3691
2388,2453,3635
2385,2475,3589
2356,2511,3537
2385,2598,3488
2487,2707,3419
2633,2804,3352
2764,2865,3288
2882,2928,3251
2998,3005,3217
3130,3093,3183
3256,3180,3128
3379,3299,3082
3499,3435,3040
3627,3547,3014
3738,3605,2978
3826,3671,2946
3894,3783,2909
3975,3918,2878
4058,4002,2840
4124,4042,2811
4155,4077,2786
4174,4124,2777
4173,4123,2760
4124,4042,2743
3995,3897,2720
3826,3753,2709
3662,3615,2693
3528,3464,2675
3388,3277,2649
3230,3093,2641
3041,2935,2641
2832,2804,2641
2590,2662,2621
2335,2516,2607
2101,2378,2603
1938,2268,2607
1827,2161,2592
1739,2062,2574
1648,1980,2562
1590,1938,2574
1564,1905,2579
1540,1856,2574
1471,1770,2552
1391,1691,2540
1340,1645,2534
1342,1650,2540
1361,1668,2539
1391,1691,2540
1405,1706,2536
1391,1732,2540
1337,1753,2538
1292,1773,2540
1276,1777,2536
1292,1773,2540
1309,1754,2538
1342,1732,2540
1388,1715,2536
1441,1732,2540
1484,1783,2538
1540,1856,2540
1615,1910,2536
1689,1938,2540
1737,1958,2541
1789,2021,2540
1885,2141,2522
2037,2310,2506
2200,2483,2496
2335,2640,2506
2427,2751,2511
2484,2804,2506
2492,2778,2483
2435,2681,2472
2304,2527,2469
2137,2351,2472
1959,2162,2456
1789,1980,2438
1625,1814,2417
1491,1691,2404
1397,1610,2383
1342,1567,2370
1292,1538,2353
1242,1526,2337
1201,1522,2308
1193,1526,2303
1209,1524,2312
1242,1526,2337
1280,1536,2345
1342,1567,2370
1439,1613,2418
1590,1691,2506
1794,1810,2599
2037,1980,2709
2259,2154,2827
2385,2268,2980
2363,2261,3150
2236,2145,3352
2087,1980,3565
1988,1856,3793
1920,1804,4001
1838,1815,4199
1705,1839,4378
1540,1856,4571
1367,1848,4767
1193,1815,4978
986,1735,5179
745,1608,5384
499,1423,5565
298,1196,5723
137,954,5842
0,742,5960
-91,561,6067
-50,412,6163
138,325,6219
398,371,6265
634,548,6299
845,784,6332
1034,994,6336
1193,1196,6332
1309,1417,6316
1441,1650,6298
1588,1828,6250
1689,1938,6197
1696,1992,6139
1689,2021,6095
1745,2033,6032
1838,2062,5960
1885,2116,5869
1888,2186,5791
1897,2224,5705
1938,2227,5621
1985,2214,5516
2037,2227,5418
2091,2265,5312
2137,2310,5215
2158,2333,5106
2186,2351,5012
2234,2379,4910
2286,2433,4809
2297,2483,4684
2286,2516,4571
2286,2528,4462
2335,2557,4368
2407,2596,4261
