II,V,PLETH,ABP
-1134,2450,4987,4214
-1333,3050,6779,5709
-1043,2534,6992,5868
-584,1427,6507,5447
-262,460,6327,5284
-95,-49,6527,5438
43,-202,6669,5545
188,-210,6551,5441
274,-202,6410,5320
254,-224,6433,5331
181,-293,6524,5402
133,-389,6487,5381
135,-459,6369,5307
166,-469,6319,5288
207,-450,6352,5334
242,-456,6329,5334
248,-481,6227,5288
224,-476,6142,5260
220,-437,6125,5282
261,-409,6091,5282
304,-429,5998,5262
292,-497,5884,5245
245,-590,5821,5270
226,-678,5766,5282
260,-722,5692,5302
327,-716,5577,5316
408,-694,5496,5362
481,-686,5441,5410
525,-703,5380,5494
550,-734,5259,5591
600,-779,5155,5738
681,-834,5086,5900
754,-884,5032,6104
796,-909,4927,6315
856,-920,4833,6565
974,-941,4777,6827
1116,-986,4744,7126
1204,-1024,4662,7421
1220,-1027,4581,7731
1210,-1008,4525,8015
1217,-1018,4500,8294
1240,-1070,4439,8531
1260,-1125,4378,8753
1272,-1152,4335,8931
1281,-1174,4322,9101
1274,-1218,4285,9228
1227,-1256,4243,9339
1143,-1224,4204,9405
1060,-1111,4192,9467
1009,-961,4174,9506
973,-836,4166,9557
910,-773,4157,9584
804,-765,4167,9616
688,-762,4165,9623
598,-716,4167,9640
531,-631,4161,9637
458,-563,4167,9644
354,-544,4163,9628
237,-536,4167,9620
144,-475,4162,9591
104,-352,4166,9574
99,-223,4162,9536
91,-141,4172,9502
41,-107,4178,9438
-39,-83,4193,9382
-104,-46,4197,9303
-97,-2,4206,9235
-34,57,4204,9145
22,139,4209,9072
23,234,4205,8987
-11,292,4207,8916
-37,298,4203,8816
-38,293,4211,8720
-27,326,4208,8603
-7,393,4201,8506
14,466,4175,8395
20,530,4159,8299
14,587,4141,8180
30,609,4131,8069
85,570,4108,7936
149,483,4099,7821
197,398,4091,7696
239,342,4086,7593
299,293,4059,7480
369,209,4039,7393
427,87,4021,7301
471,-35,4013,7234
507,-119,3990,7158
514,-157,3977,7109
469,-169,3968,7054
380,-164,3967,7022
292,-144,3944,6976
233,-117,3923,6954
185,-101,3901,6926
111,-106,3894,6916
10,-122,3873,6884
-81,-123,3859,6862
-137,-99,3844,6824
-182,-54,3845,6803
-244,-8,3829,6768
-310,19,3810,6746
-341,16,3779,6710
-319,-8,3769,6688
-266,-20,3760,6655
-220,10,3758,6643
-203,59,3744,6620
-218,80,3748,6609
-245,65,3756,6577
-260,64,3776,6555
-254,104,3783,6523
-244,143,3801,6510
-250,121,3823,6482
-266,54,3868,6462
-265,4,3902,6427
-237,9,3939,6410
-192,47,3972,6386
-166,81,4028,6376
-174,96,4079,6350
-210,101,4127,6336
-218,111,4161,6311
-176,139,4225,6299
-122,189,4295,6274
-150,261,4359,6260
-276,356,4395,6234
-441,473,4458,6222
-592,586,4541,6197
-752,682,4623,6184
-920,782,4666,6158
-1048,948,4728,6145
-1130,1175,4814,6120
-1294,1377,4905,6108
-1648,1427,4949,6084
-2143,1299,5002,6066
-2594,1073,5079,6031
-2866,887,5165,6010
-2935,803,5203,5984
-2874,796,5244,5971
-2792,790,5305,5940
-2781,758,5380,5914
-2825,733,5414,5876
-2829,786,5447,5857
-2740,989,5494,5831
-2613,1348,5560,5817
-2512,1756,5589,5786
-2441,2084,5616,5763
-2393,2327,5650,5727
-2416,2606,5703,5704
-2532,2973,5725,5670
-2640,3333,5746,5648
-2574,3592,5770,5614
-2299,3762,5817,5585
-1983,3855,5845,5541
-1821,3807,5871,5510
-1798,3597,5883,5476
-1715,3334,5909,5457
-1425,3080,5917,5422
-1018,2704,5930,5393
-678,2032,5929,5351
-477,1138,5940,5321
-320,346,5937,5282
-125,-81,5942,5260
95,-182,5934,5231
261,-190,5939,5215
341,-257,5935,5187
349,-338,5943,5167
315,-344,5936,5135
251,-288,5933,5116
180,-262,5915,5091
147,-291,5913,5081
198,-338,5901,5057
319,-372,5895,5042
436,-418,5875,5013
464,-471,5874,5002
