II,V,ABP,RESP
860,3118,3269,8531
975,3495,3705,9714
860,3047,3269,8618
801,2822,3037,8024
860,3047,3269,8618
896,3180,3427,9014
860,3047,3318,8705
837,2960,3238,8476
860,3047,3318,8705
875,3099,3366,8882
860,3047,3318,8792
849,3014,3290,8713
860,3047,3318,8792
863,3061,3311,8832
860,3047,3269,8792
854,3065,3250,8765
860,3118,3269,8792
859,3141,3275,8796
860,3118,3269,8792
866,3071,3264,8788
860,3047,3269,8792
852,3038,3266,8778
860,3047,3269,8792
877,3042,3265,8792
860,3047,3269,8792
834,3049,3265,8745
860,3047,3269,8705
926,2999,3267,8675
988,2905,3269,8705
1198,2722,3263,8720
1817,2409,3269,8705
2832,1904,3271,8640
3952,1275,3269,8618
5040,691,3242,8617
6119,425,3219,8618
6765,671,3207,8561
6119,1488,3219,8531
3921,2707,3225,8525
1147,4039,3219,8531
-883,5140,3190,8477
-1753,5810,3170,8444
-1960,6026,3159,8435
-2008,5952,3170,8444
-1995,5769,3174,8392
-1880,5598,3170,8357
-1713,5445,3143,8346
-1530,5314,3120,8357
-1320,5213,3106,8308
-1084,5173,3120,8270
-839,5152,3129,8255
-574,5102,3120,8270
-304,4979,3087,8227
-96,4818,3071,8183
0,4627,3069,8157
32,4393,3071,8183
60,4090,3044,8184
127,3756,3021,8183
204,3441,3011,8168
287,3189,3021,8183
357,3001,3020,8178
414,2905,3021,8183
446,2881,3020,8171
446,2905,3021,8183
430,2910,2998,8176
414,2905,2971,8183
411,2894,2956,8172
414,2905,2971,8183
417,2907,2981,8176
414,2905,2971,8183
411,2895,2939,8171
414,2905,2922,8183
426,2912,2919,8179
446,2905,2922,8183
466,2866,2899,8164
478,2834,2872,8183
479,2821,2857,8215
478,2834,2872,8270
477,2838,2881,8278
478,2834,2872,8270
484,2826,2841,8245
510,2834,2823,8270
545,2840,2816,8306
574,2834,2823,8357
584,2803,2819,8362
606,2764,2823,8357
647,2719,2822,8335
701,2693,2823,8357
746,2683,2799,8390
797,2693,2773,8444
857,2680,2754,8452
924,2622,2773,8444
991,2514,2797,8417
1084,2409,2823,8444
1197,2329,2833,8485
1307,2267,2872,8531
1403,2174,2932,8528
1530,2055,3021,8531
1701,1931,3119,8525
1880,1842,3269,8531
2027,1769,3467,8511
2167,1701,3714,8531
2319,1619,3957,8568
2454,1559,4210,8618
2534,1533,4468,8616
2581,1559,4754,8618
2615,1615,5031,8615
2613,1701,5299,8618
2540,1798,5530,8569
2422,1913,5745,8531
2305,2021,5937,8509
2199,2126,6141,8531
2077,2224,6327,8528
1944,2338,6488,8531
1822,2450,6606,8520
1721,2551,6735,8531
1624,2623,6866,8521
1530,2693,6983,8531
1441,2762,7040,8529
1370,2834,7082,8531
1313,2879,7125,8484
1275,2905,7181,8444
1242,2929,7196,8416
1211,2976,7181,8444
1174,3022,7144,8454
1147,3047,7132,8444
1128,3043,7125,8386
1115,3047,7132,8357
1097,3054,7113,8341
1084,3047,7082,8357
1077,3007,7024,8349
1084,2976,6983,8357
1083,2970,6949,8354
1084,2976,6933,8357
1075,2970,6891,8312
1084,2976,6834,8270
1086,3008,6752,8240
1084,3047,6686,8270
1064,3052,6625,8284
1052,3047,6587,8270
1052,3040,6522,8207
1052,3047,6438,8183
1047,3039,6325,8178
1052,3047,6240,8183
1062,3054,6164,8133
1052,3047,6092,8096
1039,2985,5986,8076
1084,2905,5893,8096
1213,2812,5812,8090
1434,2693,5745,8096
1848,2452,5646,8093
2613,2055,5547,8096
3704,1507,5441,8048
4844,921,5349,8009
5716,436,5240,7984
6119,283,5151,8009
5849,691,5056,8011
4685,1771,4952,8009
2687,3296,4815,7990
446,4818,4705,8009
-1247,5945,4622,8015
-2008,6590,4556,8009
-2093,6819,4455,7955
-2008,6732,4358,7922
-2012,6425,4274,7902
-2008,6094,4210,7922
-1850,5868,4125,7919
-1562,5740,4061,7922
-1265,5603,4021,7909
-988,5456,4012,7922
-689,5334,3984,7917
-382,5244,3962,7922
-154,5108,3949,7910
-32,4889,3962,7922
29,4572,3961,7918
96,4181,3962,7922
170,3758,3955,7908
255,3401,3962,7922
327,3167,3958,7924
382,3047,3962,7922
407,2967,3959,7872
414,2905,3962,7835
417,2850,3953,7811
414,2834,3962,7835
411,2829,3980,7838
414,2834,4012,7835
430,2828,4019,7813
446,2834,4012,7835
452,2835,3982,7846
446,2834,3962,7835
440,2821,3949,7772
446,2834,3962,7748
462,2866,3969,7746
478,2905,3962,7748
481,2912,3928,7692
478,2905,3912,7660
483,2898,3910,7655
510,2905,3912,7660
545,2887,3885,7608
574,2834,3863,7573
586,2756,3854,7566
606,2693,3863,7573
643,2649,3846,7522
701,2622,3813,7486
762,2586,3775,7478
829,2551,3764,7486
901,2515,3760,7437
988,2480,3764,7399
1080,2419,3744,7389
1179,2338,3714,7399
1283,2253,3675,7353
1402,2197,3665,7312
1536,2139,3664,7298
1689,2055,3665,7312
1849,1937,3637,7275
2008,1842,3615,7225
2156,1773,3604,7171
2295,1701,3615,7138
2416,1589,3614,7081
2518,1488,3615,7051
2602,1428,3609,7042
2677,1417,3615,7051
2723,1427,3610,7012
2709,1488,3615,6964
2627,1609,3624,6910
2518,1771,3665,6877
2409,1918,3708,6825
2295,2055,3764,6790
2155,2192,3820,6745
2008,2338,3912,6703
1874,2456,4024,6638
1753,2551,4160,6616
1624,2644,4295,6614
1498,2764,4457,6616
1389,2862,4627,6565
1307,2905,4804,6529
1236,2894,4952,6517
1179,2905,5101,6529
1129,2967,5248,6490
1084,3047,5398,6442
1030,3071,5508,6412
988,3047,5596,6442
963,3024,5678,6457
956,3047,5794,6442
943,3088,5906,6383
924,3118,5993,6355
902,3119,6023,6344
892,3118,6042,6355
889,3116,6060,6345
892,3118,6092,6355
891,3112,6098,6358
892,3118,6092,6355
891,3122,6066,6305
892,3118,6042,6268
890,3082,5995,6251
892,3047,5943,6268
893,3031,5883,6264
892,3047,5844,6268
888,3054,5798,6263
892,3047,5745,6268
907,3030,5666,6252
924,3047,5596,6268
929,3083,5522,6303
924,3118,5448,6355
919,3120,5345,6360
924,3118,5250,6355
928,3114,5164,6342
924,3118,5101,6355
908,3111,5011,6351
892,3118,4903,6355
886,3124,4784,6348
892,3118,4705,6355
898,3077,4636,6346
892,3047,4556,6355
