II,V,PLETH,RESP
171,-2268,45,-408
246,-2453,87,-459
266,-2205,132,-438
318,-2336,183,-482
338,-2352,244,-512
317,-2316,300,-535
269,-2274,356,-561
217,-2279,406,-596
172,-2283,459,-634
139,-2260,514,-667
123,-2232,585,-700
122,-2227,671,-736
125,-2223,775,-772
125,-2205,889,-805
127,-2184,1010,-837
134,-2173,1129,-870
143,-2155,1241,-901
152,-2130,1337,-930
162,-2096,1418,-956
173,-2059,1486,-981
183,-1998,1550,-1002
189,-1916,1613,-1020
194,-1801,1689,-1035
197,-1645,1775,-1048
198,-1434,1867,-1058
196,-1161,1949,-1063
192,-818,2020,-1065
186,-415,2073,-1061
177,37,2122,-1052
165,501,2166,-1037
151,949,2223,-1016
134,1341,2284,-990
120,1664,2354,-959
109,1903,2411,-923
102,2073,2466,-882
96,2179,2507,-836
98,2249,2552,-786
95,2286,2588,-732
99,2314,2634,-676
101,2331,2672,-618
96,2347,2717,-559
90,2364,2744,-500
79,2386,2775,-441
72,2413,2789,-383
67,2444,2805,-325
62,2476,2804,-266
60,2506,2803,-207
64,2535,2788,-147
78,2564,2776,-88
93,2588,2752,-26
98,2602,2727,36
90,2604,2687,101
99,2607,2636,168
177,2627,2561,239
367,2686,2473,312
641,2769,2370,387
895,2842,2268,463
983,2839,2169,542
814,2730,2083,620
420,2523,2005,700
-39,2285,1938,779
-370,2092,1868,857
-455,1995,1793,933
-316,1986,1705,1006
-71,2019,1602,1074
143,2037,1482,1138
258,2013,1352,1197
281,1950,1215,1251
266,1868,1086,1298
255,1785,968,1339
261,1706,875,1372
274,1630,803,1399
285,1551,752,1417
288,1468,705,1429
295,1385,659,1432
306,1301,602,1427
322,1214,543,1415
337,1120,480,1395
356,1019,430,1368
372,910,389,1333
397,797,365,1291
418,675,340,1242
436,544,321,1187
453,407,294,1124
465,262,273,1057
479,112,249,983
499,-37,237,906
516,-186,228,823
535,-330,228,739
554,-468,226,651
574,-598,229,563
592,-723,228,472
609,-839,229,382
621,-951,227,290
631,-1057,228,199
639,-1159,227,107
645,-1255,228,17
650,-1349,228,-72
652,-1437,228,-158
652,-1519,228,-243
650,-1595,228,-324
643,-1666,228,-403
634,-1731,229,-478
625,-1790,227,-550
617,-1843,224,-617
612,-1889,217,-680
610,-1928,206,-738
609,-1961,191,-791
605,-1991,174,-839
599,-2016,155,-882
592,-2043,137,-919
586,-2066,118,-951
580,-2092,101,-978
566,-2111,81,-999
