II,V,ABP
1051,3515,3408
1097,4104,3869
920,3668,3408
916,3323,3145
1051,3515,3361
1052,3750,3503
920,3668,3361
866,3492,3245
920,3515,3314
945,3648,3367
920,3668,3314
920,3522,3258
920,3362,3266
828,3316,3274
657,3362,3266
500,3347,3263
394,3209,3266
318,3065,3243
263,3056,3219
215,3111,3209
131,3056,3219
-2,2876,3218
-131,2751,3219
-212,2704,3210
-263,2598,3219
-326,2386,3218
-394,2292,3219
-458,2381,3218
-525,2445,3266
-604,2341,3347
-657,2292,3456
-671,2398,3567
-657,2445,3740
-622,2307,3974
-525,2292,4260
-381,2539,4538
-263,2751,4829
-243,2709,5130
-263,2751,5444
-199,3079,5705
0,3362,5917
233,3290,6083
394,3209,6249
497,3460,6383
657,3820,6485
875,3926,6535
1051,3973,6580
1156,4242,6622
1314,4584,6675
1579,4700,6701
1839,4737,6722
1986,4933,6734
2102,5196,6769
2290,5298,6807
2496,5349,6864
2601,5501,6912
2627,5654,6959
2677,5608,6979
2759,5501,7006
2788,5575,7027
2759,5807,7053
2771,5869,7054
2890,5654,7053
3020,5424,7032
3022,5501,7006
2889,5750,6953
2759,5807,6911
2692,5604,6863
2627,5501,6817
2532,5619,6741
2496,5654,6675
2530,5397,6604
2496,5196,6533
2306,5316,6418
2102,5501,6296
2012,5357,6168
1971,5043,6059
1851,4886,5925
1708,4890,5775
1630,4825,5588
1576,4737,5397
1450,4690,5193
1314,4584,5018
1270,4361,4846
1314,4279,4687
1333,4397,4520
1314,4432,4403
1298,4225,4330
1314,4126,4308
1319,4300,4291
1314,4432,4308
1308,4260,4344
1314,4126,4403
1312,4275,4433
1314,4432,4450
1313,4284,4447
1314,4126,4450
1308,4248,4430
1314,4432,4403
1318,4321,4353
1314,4126,4308
1298,4192,4253
1314,4432,4213
1368,4454,4166
1445,4279,4118
1511,4225,4047
1576,4432,3976
1646,4620,3912
1708,4584,3882
1722,4427,3857
1708,4432,3834
1731,4606,3799
1839,4737,3787
1954,4673,3786
1971,4584,3787
1884,4619,3761
1839,4737,3740
1887,4755,3730
1971,4737,3740
1974,4729,3737
1971,4737,3740
2020,4701,3738
2102,4737,3740
2123,4843,3717
2102,4890,3692
2055,4792,3663
1971,4737,3645
1872,4825,3618
1839,4890,3598
1789,4711,3572
1576,4432,3550
1356,4367,3518
1576,4737,3503
2418,5610,3499
3678,7182,3503
5300,9590,3482
7488,12531,3456
9913,15044,3424
11429,16046,3408
11112,15028,3397
9327,12531,3408
7254,9738,3415
5649,7641,3408
4455,6330,3376
3416,5349,3361
2507,4432,3360
1839,3820,3361
1421,3647,3333
1182,3668,3314
1031,3589,3310
920,3515,3314
835,3583,3288
788,3668,3266
741,3549,3259
657,3362,3266
557,3351,3246
525,3515,3219
579,3544,3204
657,3362,3219
636,3162,3226
525,3209,3219
402,3352,3190
394,3362,3172
471,3220,3162
525,3209,3172
478,3347,3175
394,3362,3172
363,3151,3145
394,3056,3124
418,3231,3112
394,3362,3124
329,3199,3129
263,3056,3124
235,3191,3095
263,3362,3077
293,3289,3067
263,3209,3077
215,3317,3075
263,3362,3077
378,3155,3070
394,3056,3077
253,3255,3073
131,3362,3077
168,3095,3081
263,2903,3124
241,3122,3196
131,3362,3314
83,3181,3452
131,2903,3645
168,2933,3890
131,3056,4213
56,2912,4577
0,2751,4971
-22,2871,5339
0,3056,5681
57,2983,5973
131,2903,6249
197,3096,6481
263,3362,6675
326,3384,6805
394,3362,6911
491,3553,6989
657,3820,7053
865,3905,7078
1051,3973,7101
1181,4242,7118
1314,4584,7148
1496,4713,7164
1708,4737,7195
1871,4943,7232
1971,5349,7290
2070,5590,7334
2233,5501,7385
2407,5345,7427
2496,5501,7480
2494,5846,7506
2496,5960,7527
2519,5752,7524
2496,5654,7527
2441,5837,7506
2496,5960,7480
2664,5780,7426
2759,5654,7385
2688,5823,7335
2627,5960,7290
2698,5737,7218
2759,5501,7148
2650,5605,7070
2496,5807,7006
2463,5709,6916
2496,5501,6817
2446,5474,6692
2365,5501,6580
2350,5336,6460
2365,5196,6343
2306,5271,6187
2233,5349,6012
2223,5184,5812
2233,5043,5633
2175,5127,5447
2102,5196,5255
2088,4973,5030
2102,4737,4829
2052,4765,4658
1971,4890,4545
1937,4828,4452
1971,4737,4403
1994,4762,4380
1971,4737,4403
1908,4525,4437
1839,4432,4497
1765,4607,4548
1708,4737,4592
1685,4527,4596
1708,4279,4592
1729,4303,4569
1708,4432,4545
1636,4325,4494
1576,4126,4450
1560,4124,4401
1576,4279,4355
1577,4268,4282
1576,4126,4213
1571,4130,4152
1576,4432,4118
1562,4670,4074
1576,4584,4024
1587,4310,3964
1576,4279,3929
1546,4490,3902
1576,4584,3882
1658,4391,3849
1708,4279,3834
1666,4494,3828
1576,4737,3834
1464,4560,3829
1314,4126,3834
1187,3986,3836
1314,4432,3834
1916,5298,3806
3022,6571,3787
4498,8537,3780
6306,11308,3787
8468,14175,3768
10641,15893,3740
11844,15562,3707
11166,13448,3692
8825,10698,3669
6174,8405,3645
4372,6781,3613
3416,5501,3598
2649,4428,3576
1839,3820,3550
1257,3693,3514
1051,3668,3503
1004,3477,3503
920,3362,3503
823,3504,3476
788,3668,3456
756,3557,3449
657,3362,3456
541,3370,3436
525,3515,3408
602,3494,3391
657,3362,3408
598,3348,3419
525,3515,3408
507,3553,3373
525,3362,3361
475,3148,3362
394,3209,3361
363,3394,3331
394,3362,3314
410,3111,3311
394,3056,3314
384,3273,3287
394,3362,3266
364,3146,3259
263,3056,3266
155,3280,3244
131,3362,3219
161,3014,3204
131,2751,3219
34,2958,3221
0,3209,3219
74,3021,3207
131,2751,3219
75,2848,3221
0,3056,3219
-3,2939,3202
0,2751,3219
-72,2859,3256
-131,3056,3314
-85,2953,3364
0,2751,3456
13,2776,3606
0,2903,3834
50,2840,4085
131,2751,4355
149,2867,4638
131,3056,4971
165,3069,5312
263,3056,5633
347,3196,5887
394,3362,6107
440,3358,6285
525,3362,6438
646,3552,6539
788,3820,6627
927,3974,6701
1051,4126,6769
1167,4371,6797
1314,4584,6817
1502,4644,6831
1708,4737,6864
1871,4977,6883
1971,5196,6911
2031,5209,6945
2102,5196,7006
2182,5334,7057
2233,5501,7101
2237,5426,7119
2233,5196,7148
2238,5126,7169
2233,5349,7195
2217,5564,7196
2233,5501,7195
2264,5260,7173
2233,5196,7148
2138,5322,7096
2102,5349,7053
2169,5153,7003
2233,5043,6959
2189,5144,6887
2102,5196,6817
2043,5006,6739
1971,4890,6675
1827,5049,6585
1708,5196,6485
1689,5002,6363
1708,4737,6249
1655,4738,6113
1576,4890,5965
1553,4862,5776
1576,4737,5586
1577,4713,5388
1576,4737,5207
1586,4645,5013
1576,4584,4829
1543,4664,4642
1576,4737,4497
1672,4644,4392
1708,4584,4355
1628,4673,4344
1576,4737,4355
1639,4628,4362
1708,4584,4403
1656,4703,4451
1576,4737,4497
1604,4535,4499
1708,4432,4497
1745,4601,4494
1708,4737,4497
1682,4573,4458
1708,4432,4403
1724,4572,4341
1708,4737,4308
1692,4605,4266
1708,4432,4213
1722,4527,4136
1708,4737,4071
1684,4713,4014
1708,4584,3976
1734,4601,3927
1708,4737,3882
1613,4703,3840
1576,4584,3834
1592,4585,3836
1576,4737,3834
1485,4728,3806
1445,4432,3787
1512,4100,3778
1576,4126,3787
1497,4432,3785
1314,4584,3787
1153,4377,3785
1051,4126,3787
944,4053,3766
920,4126,3740
1304,4567,3708
2365,5960,3692
3958,8253,3669
5780,10697,3645
7801,12954,3612
9984,15281,3598
11514,16910,3592
11166,16046,3598
8808,12372,3581
5912,8252,3550
3971,5955,3512
3022,5196,3503
2220,4482,3505
1314,3668,3503
732,3446,3474
657,3668,3456
730,3607,3450
657,3362,3456
494,3427,3435
394,3668,3408
375,3596,3392
394,3362,3408
407,3360,3417
394,3515,3408
371,3478,3376
394,3362,3361
422,3391,3358
394,3515,3361
297,3470,3338
263,3362,3314
321,3329,3300
394,3362,3314
368,3341,3320
263,3362,3314
168,3510,3285
131,3668,3266
127,3602,3256
131,3362,3266
136,3224,3269
131,3362,3266
122,3555,3240
131,3515,3219
150,3284,3204
131,3209,3219
65,3336,3226
0,3362,3219
-51,3159,3183
-131,3056,3172
-234,3182,3183
-263,3209,3219
-192,2935,3236
-131,2751,3266
