II,III,PLETH
1970,33,4571
2465,248,5143
2462,490,4484
2452,622,4112
2610,654,4367
2715,676,4487
2659,719,4222
2572,744,4024
2561,752,4076
2583,773,4080
2610,817,3931
2652,865,3817
2709,915,3814
2743,969,3788
2758,1014,3698
2759,1030,3615
2758,1046,3581
2761,1093,3554
2807,1177,3523
2898,1266,3491
3004,1341,3465
3071,1395,3433
3103,1439,3407
3117,1464,3370
3152,1471,3348
3170,1464,3332
3152,1471,3319
3102,1497,3287
3103,1537,3261
3162,1577,3241
3250,1635,3232
3303,1702,3205
3349,1766,3174
3410,1810,3138
3497,1864,3115
3568,1930,3086
3644,1994,3057
3731,2030,3022
3841,2060,2999
3940,2101,2972
4038,2158,2941
4132,2214,2893
4235,2289,2853
4341,2383,2820
4482,2485,2795
4649,2567,2762
4826,2648,2737
4967,2734,2709
5073,2812,2679
5137,2846,2631
5171,2845,2591
5156,2824,2559
5122,2812,2533
5086,2813,2489
5073,2845,2446
5042,2884,2410
4974,2910,2388
4856,2898,2350
4728,2877,2300
4576,2851,2246
4383,2812,2213
4132,2734,2185
3891,2648,2155
3693,2571,2108
3546,2518,2067
3393,2472,2033
3250,2452,2009
3142,2447,1977
3103,2452,1951
3082,2444,1931
3053,2452,1922
2993,2478,1897
2955,2518,1863
2953,2543,1826
3004,2583,1805
3070,2648,1791
3152,2746,1776
3225,2835,1747
3300,2910,1718
3350,2961,1695
3398,3008,1689
3441,3040,1679
3497,3073,1660
3531,3101,1627
3546,3139,1601
3537,3170,1583
3546,3204,1572
3565,3232,1557
3595,3270,1543
3614,3303,1527
3644,3335,1514
3672,3350,1495
3694,3368,1485
3689,3381,1481
3694,3400,1485
3698,3412,1475
3694,3433,1456
3659,3450,1432
3644,3466,1427
3645,3463,1427
3644,3466,1427
3608,3474,1410
3595,3498,1398
3629,3515,1392
3694,3531,1398
3722,3541,1397
3743,3564,1398
3800,3596,1395
3940,3662,1398
4138,3759,1393
4383,3891,1398
4625,4006,1413
4826,4087,1456
4947,4121,1508
5023,4152,1572
5077,4178,1636
5122,4185,1718
5120,4126,1809
5073,4022,1922
4968,3896,2041
4826,3793,2184
4638,3694,2335
4432,3597,2504
4208,3495,2679
3989,3433,2883
3744,3413,3097
3497,3433,3319
3265,3460,3523
3103,3498,3727
2993,3533,3920
2906,3564,4105
2826,3577,4265
2807,3597,4426
2849,3614,4578
2906,3629,4717
2910,3621,4819
2906,3629,4921
2952,3659,5024
3103,3695,5125
3358,3653,5187
3792,3498,5241
4478,3220,5294
5417,2910,5357
6365,2677,5394
6895,2616,5416
6539,2658,5425
5171,2648,5445
3164,2446,5457
1280,2125,5474
151,1887,5477
-49,1929,5474
381,2240,5444
1034,2681,5416
1612,3075,5382
2019,3368,5357
2249,3551,5315
2364,3662,5270
2415,3705,5210
2462,3727,5154
2497,3741,5080
2512,3760,5008
2501,3760,4927
2512,3760,4862
2538,3757,4796
2561,3760,4746
2549,3753,4693
2561,3760,4659
2603,3774,4623
2659,3793,4600
2670,3791,4567
2659,3793,4542
2654,3794,4508
2659,3793,4484
2654,3771,4449
2659,3760,4426
2681,3757,4393
2709,3760,4367
2708,3739,4331
2709,3727,4309
2723,3732,4289
2758,3760,4280
2779,3765,4253
2807,3760,4222
2845,3757,4182
2906,3793,4164
2955,3832,4147
3004,3858,4135
3046,3851,4102
3103,3858,4076
3163,3882,4052
3250,3924,4047
3347,3941,4033
3447,3956,4018
3523,3976,3985
3595,4022,3960
3676,4058,3935
3792,4087,3931
3917,4098,3919
4038,4120,3902
4137,4143,3865
4235,4185,3843
4332,4219,3827
4432,4250,3814
4513,4263,3781
4580,4283,3756
4618,4298,3737
4629,4316,3727
4609,4314,3696
4580,4316,3669
4513,4313,3647
4383,4316,3640
4186,4292,3614
3989,4250,3581
3814,4191,3543
3644,4152,3523
3441,4117,3504
3250,4087,3494
3105,4043,3476
3004,4022,3465
2886,4016,3447
2758,4022,3436
2638,4004,3417
2561,3989,3407
2502,3978,3389
2462,3989,3378
2428,3996,3359
2413,4022,3348
2404,4052,3331
2413,4087,3319
2415,4091,3300
2413,4087,3290
2401,4077,3274
2413,4087,3261
2439,4096,3240
2462,4120,3232
2446,4135,3228
2413,4152,3232
2380,4150,3220
2364,4152,3203
2340,4149,3180
2315,4152,3174
2283,4144,3171
2265,4152,3174
2256,4164,3160
2265,4185,3145
2271,4185,3123
2265,4185,3115
2236,4179,3111
2216,4185,3115
2209,4181,3105
2216,4185,3086
2200,4181,3052
2167,4185,3028
2129,4179,3009
2118,4185,2999
2117,4185,2980
2118,4185,2970
2109,4173,2955
2118,4185,2941
2137,4210,2908
2167,4250,2883
2221,4284,2860
2364,4349,2853
2608,4439,2836
2906,4545,2824
3163,4618,2805
3349,4676,2795
3468,4714,2783
3546,4741,2795
3583,4722,2817
3595,4676,2853
3583,4598,2885
3546,4512,2941
3452,4407,3015
3300,4316,3115
3103,4239,3209
2906,4185,3319
2696,4129,3447
2462,4087,3610
2187,4057,3772
1921,4054,3931
1696,4062,4070
1527,4087,4222
1401,4106,4378
1330,4120,4542
1313,4115,4681
1330,4120,4804
1336,4119,4904
1330,4120,5008
1317,4106,5098
1330,4120,5183
1385,4148,5243
1527,4152,5299
1772,4000,5341
2167,3629,5387
2756,3079,5416
3546,2550,5445
4323,2194,5457
4679,2093,5474
4214,2196,5483
2906,2419,5503
1167,2573,5508
-345,2550,5503
-1142,2434,5472
-1133,2518,5445
-619,2915,5412
0,3466,5387
473,3882,5341
788,4120,5299
1013,4269,5250
1182,4414,5212
1280,4504,5156
1330,4545,5095
1369,4564,5017
1428,4610,4950
1484,4649,4882
1527,4676,4833
