II,V,ABP
2021,10665,3420
2223,12073,3843
1906,10665,3360
1767,9936,3115
1906,10665,3360
1940,11115,3506
1790,10776,3360
1697,10696,3262
1733,11221,3360
1762,11557,3421
1790,11443,3360
1924,11312,3316
2137,11332,3360
2306,11195,3389
2426,10887,3360
2537,10641,3315
2599,10554,3300
2545,10493,3297
2426,10443,3300
2326,10421,3299
2252,10443,3300
2146,10438,3296
2021,10443,3300
1926,10427,3294
1906,10443,3300
1911,10442,3303
1906,10443,3300
1856,10420,3267
1790,10443,3240
1740,10489,3228
1733,10554,3240
1723,10560,3240
1675,10554,3240
1612,10535,3235
1617,10554,3240
1655,10566,3236
1617,10665,3240
1486,10919,3238
1444,11443,3240
1660,12092,3233
2195,12554,3240
3068,12291,3244
4274,11110,3240
5514,9312,3207
6237,7666,3180
6081,6583,3168
5255,5999,3180
4255,5573,3181
3407,5333,3180
2775,5434,3173
2368,5999,3180
2156,6859,3179
2021,7888,3180
1835,8868,3174
1617,9665,3180
1445,10174,3180
1328,10554,3180
1211,10865,3172
1097,11110,3180
1018,11187,3185
982,11221,3180
967,11261,3146
982,11332,3120
1015,11326,3108
1040,11332,3120
1015,11368,3121
982,11443,3120
965,11452,3114
982,11443,3120
1005,11429,3118
1040,11443,3120
1058,11427,3115
1040,11443,3120
992,11483,3117
982,11554,3120
1016,11561,3116
1040,11554,3120
1009,11531,3117
982,11554,3120
1002,11548,3116
1040,11554,3120
1043,11567,3116
1040,11665,3120
1063,11748,3116
1097,11776,3120
1100,11700,3116
1097,11665,3120
1119,11688,3116
1155,11776,3120
1162,11822,3115
1155,11887,3120
1168,11944,3117
1213,11998,3120
1251,11980,3114
1271,11998,3120
1287,12075,3119
1328,12221,3120
1369,12298,3109
1386,12332,3120
1392,12318,3141
1444,12332,3180
1538,12321,3220
1617,12332,3300
1628,12325,3405
1617,12332,3540
1647,12283,3690
1733,12221,3900
1826,12110,4142
1906,11998,4380
1969,11833,4561
2021,11665,4740
2053,11474,4925
2079,11332,5100
2106,11199,5204
2137,11110,5280
2147,10994,5358
2137,10887,5460
2109,10755,5531
2079,10665,5580
2045,10586,5606
2021,10554,5640
2011,10497,5663
2021,10443,5700
2029,10361,5731
2021,10332,5760
1990,10314,5759
1964,10332,5760
1955,10320,5755
1964,10332,5760
1950,10325,5751
1906,10332,5760
1854,10308,5763
1848,10332,5760
1880,10373,5723
1906,10443,5700
1884,10450,5691
1848,10443,5700
1833,10419,5675
1848,10443,5640
1855,10444,5598
1848,10443,5580
1838,10415,5549
1848,10443,5520
1857,10489,5479
1848,10554,5460
1815,10557,5432
1790,10554,5400
1782,10536,5336
1790,10554,5280
1792,10548,5232
1790,10554,5220
1786,10540,5197
1790,10554,5160
1790,10546,5090
1790,10554,5040
1787,10538,5000
1790,10554,4980
1790,10582,4943
1790,10665,4920
1786,10699,4890
1790,10665,4860
1792,10564,4796
1790,10554,4740
1783,10611,4695
1790,10665,4680
1799,10603,4650
1790,10554,4620
1755,10574,4581
1733,10665,4560
1730,10683,4527
1733,10665,4500
1722,10638,4461
1733,10665,4440
1767,10665,4426
1790,10665,4440
1766,10648,4445
1733,10665,4440
1722,10658,4403
1733,10665,4380
1731,10652,4368
1733,10665,4380
1738,10655,4378
1733,10665,4380
1697,10654,4373
1675,10665,4380
1693,10654,4376
1733,10665,4380
1743,10654,4374
1733,10665,4380
1725,10654,4375
1733,10665,4380
1733,10654,4375
1733,10665,4380
1733,10654,4375
1733,10665,4380
1707,10654,4376
1675,10665,4380
1657,10654,4374
1675,10665,4380
1706,10654,4377
1733,10665,4380
1736,10654,4371
1733,10665,4380
1728,10654,4383
1733,10665,4380
1732,10653,4346
1733,10665,4320
1729,10655,4306
1733,10665,4320
1731,10653,4321
1733,10665,4320
1730,10657,4310
1733,10665,4320
1732,10650,4323
1733,10665,4320
1729,10658,4288
1733,10665,4260
1733,10672,4243
1733,10776,4260
1729,10931,4269
1733,11110,4260
1732,11221,4220
1733,11332,4200
1755,11414,4195
1848,11443,4200
2013,11286,4172
2195,10998,4140
2300,10661,4120
2310,10443,4140
2272,10335,4151
2252,10332,4140
2226,10325,4099
2137,10332,4080
1979,10312,4076
1848,10332,4080
1795,10360,4050
1790,10443,4020
1759,10513,4003
1733,10554,4020
1727,10534,4027
1733,10554,4020
1706,10605,3984
1675,10665,3960
1648,10693,3947
1617,10776,3960
1589,10828,3964
1617,10776,3960
1661,10666,3927
1617,10776,3900
1470,11059,3884
1386,11332,3900
1492,11607,3908
1790,12221,3900
2298,12872,3862
3176,12665,3840
4458,11035,3832
5775,8777,3840
6489,7072,3834
6237,6332,3840
5243,5933,3843
4100,5444,3840
3240,5060,3805
2714,5333,3780
2357,6289,3770
2079,7555,3780
1878,8633,3776
1733,9443,3780
1570,10044,3782
1386,10554,3780
1233,10894,3746
1155,11110,3720
1121,11223,3709
1097,11332,3720
1065,11385,3717
1040,11443,3720
1027,11484,3720
1040,11554,3720
1046,11564,3689
1040,11554,3660
1020,11526,3646
1040,11554,3660
1079,11599,3663
1097,11665,3660
1066,11681,3650
1040,11665,3660
1054,11598,3664
1097,11554,3660
1112,11520,3627
1097,11554,3600
1084,11598,3585
1097,11665,3600
1108,11672,3607
1097,11665,3600
1081,11633,3564
1097,11665,3540
1134,11710,3528
1155,11776,3540
1147,11776,3541
1155,11776,3540
1188,11787,3531
1213,11887,3540
1204,11967,3541
1213,11998,3540
1266,11957,3528
1328,11998,3540
1340,12103,3547
1328,12221,3540
1339,12226,3497
1386,12221,3480
1440,12244,3496
1502,12332,3540
1567,12382,3547
1617,12443,3540
1622,12496,3542
1617,12554,3600
1649,12515,3680
1733,12443,3780
1811,12360,3880
1848,12332,4020
1861,12250,4183
1906,12109,4380
1975,11909,4579
2021,11776,4800
2020,11667,5014
2021,11554,5220
2051,11367,5379
2079,11221,5520
2058,11104,5639
2021,10998,5760
2010,10814,5854
2021,10665,5939
2005,10577,6001
1964,10554,6059
1923,10485,6090
1906,10443,6119
1899,10426,6140
1906,10443,6179
1912,10387,6210
1906,10332,6239
1875,10299,6240
1848,10332,6239
1839,10332,6230
1848,10332,6239
1848,10313,6239
1848,10332,6239
1847,10325,6227
1848,10332,6239
1841,10318,6245
1848,10332,6239
1872,10322,6199
1906,10332,6179
1917,10320,6174
