II,III,PLETH
-1774,-1307,3912
-2018,-1231,4414
-1746,-739,3882
-1508,-400,3610
-1436,-284,3882
-1258,-93,4032
-873,227,3851
-468,459,3736
-169,540,3851
52,584,3925
197,625,3851
220,607,3787
169,568,3821
166,604,3854
253,710,3851
363,808,3845
422,881,3851
428,960,3847
422,1023,3851
433,990,3867
451,853,3882
452,727,3875
451,739,3882
479,859,3894
535,938,3912
580,918,3909
591,909,3912
593,992,3921
620,1080,3943
667,1051,3945
704,966,3943
699,992,3934
676,1165,3943
687,1291,3943
760,1194,3943
843,965,3934
873,881,3943
865,1036,3955
901,1250,3974
988,1338,3973
1042,1336,3974
1020,1331,3967
1014,1336,3974
1108,1385,3971
1267,1591,3974
1394,1873,3968
1464,1933,3974
1498,1674,3971
1493,1421,3974
1454,1446,3968
1436,1591,3974
1461,1568,3973
1464,1421,3974
1384,1366,3956
1267,1421,3943
1198,1435,3933
1183,1393,3943
1159,1362,3945
1098,1336,3943
1020,1262,3922
958,1194,3912
916,1177,3907
901,1165,3912
895,1108,3899
873,1080,3882
813,1124,3856
732,1165,3851
660,1113,3848
620,1023,3851
601,977,3836
591,966,3821
576,933,3798
563,909,3790
564,956,3782
591,1052,3790
620,1069,3791
620,966,3790
567,853,3771
507,881,3760
500,1033,3751
591,1194,3760
740,1330,3759
873,1535,3760
923,1749,3753
901,1734,3760
847,1359,3760
817,881,3760
811,643,3741
845,739,3729
912,967,3720
1014,1165,3729
1081,1267,3730
1070,1279,3729
1003,1214,3710
1014,1165,3698
1171,1180,3689
1436,1279,3698
1681,1472,3700
1859,1790,3698
2008,2104,3678
2225,2217,3668
2560,2140,3661
3013,2188,3668
3551,2609,3666
4112,3297,3668
4611,3972,3663
4985,4519,3668
5240,4972,3665
5407,5314,3668
5469,5467,3664
5407,5456,3668
5337,5423,3665
5407,5456,3668
5537,5508,3664
5407,5456,3668
4860,5211,3665
4140,4774,3668
3603,4229,3663
3239,3609,3668
2680,2790,3665
1662,1648,3668
350,345,3662
-817,-710,3668
-1522,-1266,3668
-1774,-1449,3668
-1796,-1526,3649
-1774,-1563,3637
-1774,-1485,3629
-1774,-1307,3637
-1775,-1191,3636
-1774,-1222,3637
-1778,-1340,3632
-1774,-1421,3637
-1775,-1442,3635
-1774,-1393,3637
-1777,-1220,3632
-1774,-909,3637
-1775,-686,3636
-1774,-824,3637
-1775,-1274,3629
-1774,-1620,3637
-1774,-1592,3650
-1774,-1393,3668
-1772,-1360,3667
-1774,-1506,3668
-1772,-1581,3664
-1774,-1506,3668
-1772,-1432,3662
-1774,-1478,3668
-1772,-1543,3678
-1774,-1506,3698
-1773,-1392,3700
-1774,-1336,3698
-1773,-1376,3691
-1774,-1421,3698
-1773,-1379,3698
-1774,-1307,3698
-1772,-1330,3690
-1774,-1478,3698
-1774,-1640,3711
-1774,-1705,3729
-1772,-1673,3729
-1774,-1620,3729
-1776,-1572,3723
-1774,-1506,3729
-1769,-1426,3726
-1774,-1393,3729
-1782,-1430,3724
-1774,-1478,3729
-1739,-1452,3726
-1690,-1336,3729
-1617,-1138,3725
-1493,-881,3729
-1312,-644,3725
-1127,-540,3729
-973,-558,3725
-845,-540,3729
-723,-390,3725
-620,-199,3729
-537,-72,3725
-451,57,3729
-338,307,3726
-225,625,3729
-130,818,3724
-28,767,3729
103,544,3727
225,313,3729
292,205,3722
310,256,3729
331,410,3739
366,568,3760
378,653,3762
338,654,3760
292,622,3750
310,625,3760
407,684,3772
507,767,3790
524,828,3790
451,853,3790
363,844,3783
338,824,3790
383,842,3789
451,938,3790
494,1055,3782
507,1080,3790
505,985,3802
507,881,3821
517,838,3821
535,824,3821
553,824,3815
563,909,3821
569,1073,3818
591,1165,3821
633,1085,3816
676,966,3821
700,989,3817
704,1137,3821
678,1225,3816
620,1165,3821
569,1031,3817
591,938,3821
666,905,3817
704,909,3821
679,946,3817
676,1023,3821
729,1074,3817
760,1023,3821
713,914,3817
676,909,3821
743,1058,3816
873,1222,3821
966,1275,3818
1014,1279,3821
1046,1315,3816
1042,1336,3821
973,1277,3819
901,1222,3821
899,1258,3813
958,1336,3821
1010,1370,3832
1042,1393,3851
1065,1430,3852
1070,1421,3851
