II,V,ABP,RESP
1575,3167,2402,4577
1810,3606,2698,5158
1638,3211,2364,4515
1554,3001,2199,4165
1669,3211,2364,4453
1731,3331,2446,4613
1669,3211,2327,4391
1640,3150,2256,4233
1701,3254,2327,4329
1744,3307,2367,4383
1732,3254,2327,4288
1721,3234,2303,4219
1732,3297,2327,4247
1732,3339,2322,4243
1732,3341,2289,4185
1758,3350,2275,4144
1795,3384,2289,4144
1813,3407,2292,4129
1827,3428,2289,4102
1855,3449,2289,4077
1890,3471,2289,4061
1907,3482,2269,4036
1921,3514,2251,4020
1945,3559,2243,3996
1984,3601,2251,3979
2017,3604,2251,3951
2047,3601,2251,3938
2075,3622,2246,3923
2110,3688,2251,3917
2133,3748,2250,3895
2142,3775,2251,3876
2137,3766,2246,3850
2142,3775,2251,3834
2155,3799,2259,3811
2173,3818,2289,3793
2179,3799,2331,3768
2173,3775,2402,3752
2148,3753,2483,3728
2110,3731,2589,3711
2059,3685,2716,3686
2016,3645,2889,3670
1981,3607,3087,3645
1953,3558,3302,3628
1909,3480,3505,3604
1858,3428,3715,3587
1814,3408,3912,3563
1795,3384,4090,3546
1776,3303,4227,3522
1732,3211,4353,3505
1662,3149,4470,3480
1606,3124,4578,3463
1573,3083,4644,3441
1543,3037,4691,3422
1493,2991,4735,3396
1449,2950,4803,3381
1427,2897,4865,3361
1417,2864,4916,3340
1389,2844,4948,3303
1354,2820,4991,3278
1331,2767,5032,3255
1323,2733,5066,3237
1298,2729,5069,3202
1260,2733,5066,3175
1228,2707,5051,3150
1228,2690,5028,3134
1237,2692,4975,3102
1228,2690,4916,3072
1193,2645,4843,3044
1165,2603,4766,3030
1159,2593,4665,3010
1165,2603,4578,2989
1161,2594,4499,2957
1134,2560,4428,2927
1087,2514,4333,2891
1102,2560,4240,2866
1141,2621,4145,2841
1071,2517,4053,2824
964,2362,3935,2794
1071,2517,3828,2762
1244,2747,3736,2726
1071,2473,3677,2701
785,2051,3603,2670
1039,2430,3527,2639
1454,3036,3450,2601
1039,2430,3415,2577
375,1457,3391,2556
1039,2430,3377,2536
2192,4127,3346,2501
1071,2473,3340,2474
-1828,-1983,3356,2450
-2016,-2777,3415,2433
2153,2756,3487,2401
6016,8287,3602,2371
5117,7432,3749,2344
1543,2820,3940,2330
34,913,4138,2309
1039,2386,4353,2288
1620,3248,4558,2263
882,2300,4766,2247
430,1727,4953,2226
850,2300,5141,2206
1098,2583,5304,2181
787,2126,5441,2165
591,1889,5526,2144
756,2169,5591,2123
846,2305,5644,2096
724,2126,5704,2082
648,2030,5745,2072
693,2126,5779,2062
714,2170,5796,2038
693,2126,5816,2020
689,2095,5821,2008
724,2126,5816,2000
759,2167,5784,1978
724,2126,5741,1958
657,2038,5673,1944
724,2126,5591,1938
840,2274,5482,1918
724,2126,5366,1897
532,1873,5235,1879
724,2126,5103,1876
1027,2520,4954,1869
724,2126,4803,1855
250,1517,4645,1831
724,2169,4503,1814
1481,3175,4364,1801
724,2169,4240,1794
-620,406,4107,1781
724,2169,3978,1773
4586,7005,3838,1763
6016,8287,3715,1752
2413,2971,3595,1730
-2016,-2777,3490,1711
-2292,-2374,3375,1697
441,1952,3265,1690
1826,3877,3146,1679
1039,2560,3040,1670
507,1743,2935,1659
1071,2603,2852,1649
1351,3017,2772,1629
850,2256,2702,1608
496,1717,2621,1591
630,1909,2552,1587
619,1892,2487,1581
220,1345,2439,1567
-182,856,2383,1542
-378,694,2327,1526
-491,595,2263,1514
-535,521,2214,1505
-462,591,2170,1484
-346,738,2139,1464
-286,815,2101,1448
-220,911,2064,1443
-99,1101,2020,1434
63,1345,1989,1422
223,1556,1964,1403
378,1736,1951,1381
534,1917,1932,1355
693,2126,1914,1340
836,2327,1891,1330
976,2517,1876,1319
1127,2679,1857,1297
1291,2820,1839,1278
1436,2929,1814,1266
1543,3037,1801,1258
1614,3138,1796,1237
1669,3211,1801,1216
1709,3224,1800,1201
1732,3211,1801,1196
1735,3200,1799,1186
1732,3211,1801,1175
1731,3226,1798,1162
1732,3254,1801,1154
1729,3281,1802,1144
1732,3297,1801,1134
1745,3291,1784,1121
1764,3297,1764,1113
1769,3319,1751,1103
1764,3341,1764,1093
1756,3337,1783,1080
