II,V,PLETH
15,-1474,-2030
-29,-1048,-2229
-80,-225,-2053
-124,86,-2213
-176,423,-2283
-232,708,-2310
-293,898,-2340
-353,955,-2409
-405,915,-2482
-433,817,-2522
-435,671,-2561
-414,496,-2612
-384,341,-2667
-358,240,-2707
-346,194,-2752
-347,194,-2805
-353,235,-2859
-358,280,-2907
-364,274,-2954
-374,153,-3004
-391,-111,-3048
-405,-505,-3094
-407,-972,-3143
-390,-1424,-3193
-359,-1780,-3242
-329,-1992,-3289
-321,-2041,-3332
-341,-1948,-3366
-380,-1739,-3395
-415,-1457,-3415
-425,-1149,-3431
-398,-849,-3438
-344,-561,-3435
-279,-286,-3411
-224,0,-3362
-187,286,-3280
-168,547,-3171
-164,741,-3037
-176,873,-2894
-204,938,-2742
-249,999,-2592
-303,1081,-2429
-354,1203,-2263
-386,1353,-2079
-396,1483,-1891
-386,1544,-1688
-370,1498,-1489
-355,1356,-1285
-348,1174,-1091
-345,1053,-893
-345,1037,-707
-341,1128,-520
-339,1238,-346
-334,1296,-171
-329,1305,-11
-321,1353,144
-311,1543,281
-299,1872,411
-284,2186,523
-269,2263,627
-255,1979,717
-248,1430,800
-251,896,871
-262,656,938
-278,797,997
-289,1142,1053
-286,1389,1106
-266,1327,1156
-238,948,1205
-215,507,1249
-207,294,1292
-216,511,1327
-238,1138,1358
-264,1951,1379
-280,2701,1401
-280,3164,1420
-264,3280,1450
-237,3094,1484
-206,2751,1533
-181,2405,1581
-174,2214,1640
-190,2226,1692
-224,2415,1752
-257,2602,1802
-271,2537,1860
-246,2036,1907
-176,1048,1960
-70,-230,2001
43,-1393,2044
140,-2057,2076
205,-1988,2107
242,-1267,2125
267,-215,2141
306,760,2145
361,1378,2148
428,1595,2140
477,1552,2128
482,1440,2107
440,1366,2081
348,1258,2045
246,1008,2004
143,521,1958
61,-104,1909
-4,-670,1857
-66,-974,1806
-125,-906,1755
-190,-529,1707
-242,11,1660
-288,617,1614
-322,1206,1567
-368,1759,1520
-429,2167,1468
-492,2245,1415
-489,1832,1359
-312,933,1305
159,-193,1249
991,-1058,1197
2146,-1248,1144
3448,-610,1097
4628,580,1049
5410,1773,1005
5620,2376,957
5241,2121,910
4418,1114,858
3376,-163,809
2342,-1146,756
1468,-1475,709
815,-1101,660
369,-302,616
87,524,568
-90,1112,522
-200,1380,472
-280,1459,423
-343,1503,368
-401,1627,311
-442,1780,248
-473,1911,184
-479,1967,119
-481,1990,59
-476,2064,5
-477,2178,-41
-486,2245,-85
-486,2122,-126
-494,1723,-167
-484,1179,-208
-481,710,-250
-474,564,-292
-479,807,-333
-487,1293,-375
-498,1779,-418
-502,2043,-463
-496,2037,-510
-480,1888,-560
-457,1754,-610
-438,1759,-662
-430,1894,-711
-435,2089,-760
-444,2256,-803
-447,2380,-848
-435,2475,-888
-409,2573,-932
-377,2673,-971
-353,2771,-1015
-344,2826,-1054
-345,2837,-1099
-342,2762,-1137
-322,2644,-1182
-280,2486,-1220
-229,2350,-1266
-186,2288,-1303
-171,2331,-1344
-186,2464,-1374
-221,2634,-1402
-249,2760,-1417
-249,2754,-1433
-210,2586,-1445
-139,2280,-1468
-55,1898,-1496
18,1532,-1538
67,1250,-1583
93,1112,-1636
113,1154,-1685
146,1382,-1735
199,1754,-1780
259,2158,-1825
301,2415,-1866
304,2336,-1908
267,1795,-1949
211,799,-1989
164,-490,-2027
150,-1808,-2063
174,-2875,-2093
222,-3512,-2119
274,-3658,-2139
310,-3405,-2153
321,-2939,-2161
311,-2486,-2163
291,-2250,-2157
273,-2305,-2143
264,-2622,-2120
264,-3053,-2092
267,-3444,-2056
264,-3693,-2015
248,-3803,-1965
220,-3820,-1907
190,-3832,-1835
165,-3847,-1752
149,-3890,-1655
143,-3914,-1550
133,-3934,-1436
113,-3954,-1321
78,-3966,-1198
32,-3932,-1077
-10,-3738,-951
-33,-3328,-828
-30,-2670,-700
-2,-1876,-575
31,-1090,-444
51,-478,-314
42,-96,-180
5,113,-49
-46,288,81
-87,551,204
-101,944,326
-80,1353,441
-35,1614,555
18,1570,665
56,1202,777
61,617,886
26,39,994
-36,-329,1097
-106,-377,1195
-156,-143,1289
-171,233,1382
-153,584,1481
-118,812,1584
-89,896,1693
-80,890,1797
-89,841,1894
-100,782,1970
-98,707,2034
-78,611,2080
-52,497,2123
-34,379,2155
-31,257,2190
-37,123,2217
-39,-33,2247
-23,-207,2266
11,-355,2288
50,-439,2298
74,-420,2312
68,-304,2311
32,-128,2313
-18,62,2301
-67,219,2291
-97,305,2268
-106,311,2248
-98,226,2219
-82,73,2195
-75,-118,2164
-76,-303,2139
-89,-454,2109
-110,-554,2083
-134,-619,2053
-161,-658,2027
-183,-675,1997
-205,-653,1972
-223,-569,1942
-237,-404,1914
-242,-167,1883
-237,109,1855
-221,373,1826
-191,572,1803
-145,667,1781
-63,644,1763
79,512,1741
316,310,1717
656,93,1687
1058,-71,1657
1422,-147,1623
1608,-131,1593
1502,-66,1559
1072,-11,1527
402,1,1489
-336,-38,1454
-955,-89,1415
-1333,-108,1382
-1451,-67,1347
-1376,26,1321
-1202,145,1289
