II,V,ABP,RESP
-1256,5476,2450,0
-1444,6227,2781,-1
-1256,5521,2450,0
-1100,5156,2261,1
-1124,5566,2416,0
-1152,5836,2518,-2
-1058,5611,2416,0
-928,5399,2334,3
-860,5476,2382,0
-814,5545,2418,-7
-727,5476,2382,0
-630,5454,2356,28
-595,5566,2382,64
-611,5657,2398,96
-595,5656,2382,129
-522,5620,2360,168
-463,5611,2348,209
-443,5591,2332,241
-397,5521,2314,273
-306,5375,2296,312
-265,5207,2280,354
-277,5087,2262,388
-198,5072,2246,418
16,5096,2216,450
132,5117,2178,482
-47,5081,2135,507
-397,5027,2110,530
-617,4974,2092,559
-595,4982,2076,595
-429,5023,2043,624
-265,5072,2008,643
-228,5081,1971,656
-397,5072,1940,675
-685,5051,1903,699
-860,5027,1872,723
-842,5004,1838,741
-794,5027,1804,755
-858,5104,1753,770
-926,5207,1702,788
-854,5270,1657,804
-727,5297,1633,820
-725,5286,1615,829
-860,5297,1599,836
-981,5371,1578,841
-992,5566,1565,852
-897,5761,1558,863
-727,5790,1565,868
-478,5536,1578,865
-132,5072,1599,868
359,4395,1616,877
1058,3411,1633,884
1970,2041,1646,877
2910,539,1668,868
3547,-683,1696,865
3637,-1257,1736,868
3267,-1139,1771,862
2711,-449,1804,852
2098,577,1823,841
1323,1751,1838,836
407,2864,1839,828
-397,3815,1838,820
-921,4533,1832,811
-1323,5072,1838,804
-1758,5469,1850,795
-2116,5790,1872,788
-2240,6023,1890,779
-2248,6194,1906,772
-2314,6296,1908,761
-2381,6374,1906,755
-2292,6418,1900,754
-2116,6464,1906,755
-2047,6500,1920,750
-2116,6554,1940,739
-2191,6591,1946,727
-2182,6598,1940,723
-2103,6547,1921,724
-1984,6464,1906,723
-1897,6390,1888,715
-1918,6374,1872,707
-2018,6393,1850,704
-2050,6419,1838,707
-1938,6414,1834,707
-1786,6419,1838,707
-1712,6433,1827,706
-1719,6464,1804,707
-1740,6452,1767,706
-1786,6419,1736,707
-1853,6374,1712,712
-1852,6374,1702,723
-1653,6390,1688,732
-1323,6419,1668,739
-1101,6404,1641,745
-1190,6374,1633,755
-1489,6330,1636,769
-1719,6329,1633,788
-1728,6346,1613,803
-1653,6374,1599,820
-1671,6345,1598,834
-1786,6284,1599,852
-1863,6219,1581,873
-1852,6239,1565,900
-1768,6318,1561,926
-1653,6419,1565,948
-1561,6458,1551,963
-1587,6464,1531,981
-1708,6437,1511,1001
-1786,6419,1497,1029
-1749,6394,1475,1053
-1719,6419,1463,1077
-1763,6464,1459,1099
-1786,6509,1463,1125
-1711,6489,1457,1149
-1653,6464,1463,1173
-1688,6458,1476,1194
-1719,6509,1497,1222
-1669,6566,1507,1252
-1653,6643,1531,1286
-1738,6686,1571,1312
-1786,6688,1633,1334
-1669,6640,1701,1354
-1521,6643,1804,1382
-1493,6700,1938,1414
-1521,6778,2110,1447
-1467,6800,2294,1471
-1389,6823,2518,1495
-1415,6849,2776,1516
-1521,6868,3063,1543
-1583,6832,3336,1567
-1587,6823,3607,1591
-1572,6857,3865,1613
-1521,6913,4118,1640
-1398,6912,4342,1663
-1256,6913,4560,1688
-1149,6933,4758,1709
-1058,6958,4934,1736
-964,6907,5072,1761
-926,6823,5207,1784
-963,6729,5333,1798
-992,6643,5445,1816
-925,6522,5517,1838
-794,6419,5581,1865
-662,6354,5638,1881
-529,6329,5683,1897
-358,6262,5687,1910
-198,6150,5683,1929
-140,5979,5681,1943
-198,5790,5683,1961
-268,5585,5652,1976
-265,5431,5615,1993
-227,5333,5585,2001
-265,5297,5581,2009
-361,5266,5557,2014
-397,5252,5513,2025
-311,5217,5449,2032
-198,5162,5411,2041
-127,5062,5377,2047
-66,4982,5343,2057
-5,4937,5284,2064
-66,4938,5241,2074
-309,4920,5203,2078
-595,4893,5173,2090
-736,4850,5117,2098
-727,4848,5071,2106
-665,4885,5030,2104
-595,4982,5003,2106
-526,5072,4951,2109
-529,5117,4900,2122
-643,5088,4845,2129
-794,5072,4798,2138
-882,5109,4729,2142
-926,5207,4662,2154
-982,5263,4590,2161
-1058,5252,4526,2170
-1141,5199,4440,2174
-1256,5207,4356,2186
-1372,5267,4275,2199
-1389,5342,4220,2218
-1284,5378,4156,2232
-1190,5431,4084,2250
-1217,5490,3992,2269
-1323,5521,3914,2299
-1423,5475,3831,2323
-1521,5431,3743,2347
-1608,5421,3632,2360
-1587,5431,3539,2379
-1386,5401,3464,2398
-1124,5386,3403,2427
-997,5412,3319,2450
-1058,5476,3233,2475
-1168,5516,3153,2494
-1190,5566,3097,2524
-1133,5611,3031,2553
-1124,5611,2961,2588
-1230,5496,2883,2616
-1389,5342,2825,2652
-1466,5225,2769,2689
-1389,5207,2722,2733
-1155,5246,2668,2769
-860,5342,2620,2813
-670,5434,2567,2852
-727,5476,2518,2893
-937,5406,2461,2921
-1058,5297,2416,2958
-1015,5225,2376,2994
-992,5252,2348,3038
-1077,5306,2312,3073
-1124,5342,2280,3118
-1059,5318,2242,3164
-1058,5297,2212,3215
-1180,5297,2184,3250
-1190,5342,2178,3295
-967,5362,2178,3346
-794,5342,2178,3408
-912,5266,2159,3455
-1124,5207,2144,3504
-1131,5179,2136,3553
-992,5207,2144,3617
-894,5259,2144,3673
-794,5342,2144,3729
-601,5394,2140,3779
-463,5386,2144,3842
-513,5306,2142,3899
-595,5252,2144,3954
-526,5265,2142,3992
-397,5342,2144,4035
-333,5398,2141,4069
-265,5431,2144,4099
-159,5421,2143,4101
-198,5386,2144,4099
-434,5324,2140,4092
-595,5297,2144,4099
-473,5286,2146,4097
-265,5252,2144,4099
-225,5128,2125,4094
-265,4982,2110,4099
-133,4874,2103,4096
132,4848,2110,4099
275,4855,2111,4094
198,4893,2110,4099
83,4924,2105,4095
66,4938,2110,4099
58,4881,2111,4095
-66,4803,2110,4099
-200,4757,2103,4095
-132,4803,2110,4099
83,4873,2124,4095
132,4893,2144,4099
-141,4840,2148,4095
-463,4803,2144,4099
-532,4840,2136,4095
-397,4938,2144,4099
-330,5020,2149,4095
-397,5072,2144,4099
-458,5096,2122,4095
-463,5117,2110,4099
-515,5117,2098,4095
-661,5162,2076,4099
-780,5307,2033,4095
-727,5566,2008,4099
-475,5761,2005,4095
-132,5701,2008,4099
177,5272,1989,4095
463,4578,1974,4099
930,3718,1972,4095
1786,2738,1974,4099
2954,1593,1955,4095
4034,404,1940,4099
4616,-578,1937,4095
4563,-1032,1940,4099
4012,-869,1921,4095
3174,-180,1906,4099
2252,795,1903,4095
1389,1885,1906,4099
630,2912,1887,4095
-66,3771,1872,4099
-667,4388,1869,4095
-1058,4848,1872,4099
-1193,5221,1854,4095
-1190,5566,1838,4099
-1148,5831,1833,4095
-1058,6015,1838,4099
-952,6093,1822,4095
-992,6105,1804,4099
-1240,6068,1795,4095
-1521,6060,1804,4099
-1629,6077,1805,4095
-1587,6105,1804,4099
-1556,6101,1799,4095
-1587,6105,1804,4099
-1646,6125,1803,4095
-1719,6150,1804,4099
-1834,6132,1801,4095
-1918,6105,1804,4099
-1854,6116,1802,4095
-1653,6194,1804,4099
-1493,6252,1801,4095
-1521,6239,1804,4099
-1649,6164,1802,4095
-1653,6150,1804,4099
-1452,6221,1801,4095
-1256,6329,1804,4099
-1304,6346,1803,4095
-1587,6284,1804,4099
-1858,6201,1800,4095
-1918,6194,1804,4099
