II,V,PLETH,RESP
1121,32767,4229,-116
1506,32767,5740,-164
1599,32767,5940,-168
1609,32767,5579,-146
1662,32767,5479,-131
1673,32767,5679,-133
1560,32767,5832,-136
1393,32767,5788,-126
1319,32767,5741,-110
1376,32767,5819,-104
1483,32767,5948,-104
1541,32767,5982,-99
1533,32767,5972,-88
1506,32767,6015,-80
1502,32767,6115,-78
1519,32767,6165,-75
1554,32767,6179,-65
1611,32767,6219,-54
1675,32767,6300,-49
1680,32767,6347,-47
1595,32767,6372,-40
1492,32767,6405,-27
1483,32767,6462,-20
1533,32767,6486,-19
1524,32767,6517,-13
1448,32767,6554,3
1461,32767,6608,14
1604,32767,6630,13
1709,32767,6658,17
1630,32767,6684,34
1487,32767,6723,46
1459,32767,6733,44
1526,32767,6756,48
1526,32767,6780,67
1422,32767,6819,83
1303,32767,6829,81
1263,32767,6851,82
1321,32767,6875,101
1500,32767,6915,118
1780,32767,6926,116
2057,32767,6948,117
2158,32767,6969,139
2040,32767,7010,161
1818,32767,7026,161
1680,32767,7047,161
1647,32767,7058,180
1648,32767,7087,203
1638,32767,7094,206
1686,32767,7108,205
1781,32767,7107,222
1821,32767,7121,244
1745,32767,7116,250
1684,32767,7120,250
1762,32767,7111,265
1872,32767,7120,287
1730,32767,7114,298
1284,32767,7121,301
895,32767,7111,310
1037,32767,7118,327
1789,32767,7113,337
2854,32767,7122,341
3981,32767,7111,350
5132,32767,7107,370
6088,32767,7087,388
6373,32767,7083,396
5754,32767,7067,401
4656,32767,7061,414
3697,32767,7039,431
3080,32767,7035,441
2609,32767,7020,444
2189,32767,7009,455
1916,32767,6974,477
1851,32767,6955,492
1875,32767,6932,492
1877,32767,6922,499
1830,32767,6893,519
1764,32767,6885,537
1684,32767,6873,536
1624,32767,6868,539
1636,32767,6832,558
1742,32767,6811,577
1844,32767,6789,576
1834,32767,6777,577
1718,32767,6729,596
1650,32767,6691,617
1674,32767,6654,618
1705,32767,6639,616
1657,32767,6604,628
1652,32767,6587,644
1779,32767,6573,645
1946,32767,6576,644
1952,32767,6554,657
1796,32767,6541,678
1653,32767,6526,683
1663,32767,6527,681
1749,32767,6506,684
1782,32767,6495,695
1746,32767,6478,698
1763,32767,6478,697
1870,32767,6457,700
1980,32767,6447,709
1994,32767,6431,714
1972,32767,6430,714
2013,32767,6406,713
2136,32767,6387,716
2252,32767,6356,717
2322,32767,6343,718
2372,32767,6318,717
2449,32767,6305,720
2528,32767,6282,720
2594,32767,6279,722
2656,32767,6263,721
2745,32767,6257,723
2817,32767,6235,724
2824,32767,6230,726
2771,32767,6215,725
2742,32767,6209,725
2766,32767,6188,725
2789,32767,6182,726
2747,32767,6167,725
2685,32767,6157,724
2664,32767,6123,721
2662,32767,6102,722
2574,32767,6080,721
2391,32767,6070,719
2211,32767,6042,714
2150,32767,6032,713
2188,32767,6020,712
2224,32767,6019,713
2161,32767,5994,710
2024,32767,5985,709
1906,32767,5973,709
1884,32767,5968,708
1896,32767,5935,701
1870,32767,5911,697
1823,32767,5888,695
1845,32767,5879,697
1885,32767,5850,696
1835,32767,5836,697
1729,32767,5823,697
1785,32767,5824,697
2024,32767,5801,691
2175,32767,5789,686
2001,32767,5777,683
1675,32767,5776,685
1535,32767,5748,683
1669,32767,5725,681
1837,32767,5698,680
1849,32767,5688,681
1747,32767,5660,679
1700,32767,5644,678
1755,32767,5629,676
1842,32767,5628,677
1869,32767,5605,675
1847,32767,5584,676
1830,32767,5555,677
1857,32767,5542,678
1887,32767,5515,674
1887,32767,5491,671
1866,32767,5456,668
1874,32767,5441,668
1908,32767,5419,667
1943,32767,5408,666
1957,32767,5382,665
1976,32767,5373,665
1994,32767,5362,663
1996,32767,5368,661
1970,32767,5360,657
1962,32767,5361,656
1990,32767,5355,655
2033,32767,5371,654
2041,32767,5377,652
2023,32767,5389,654
2007,32767,5391,654
2009,32767,5420,647
2008,32767,5443,635
2009,32767,5467,631
2016,32767,5472,633
2031,32767,5512,629
2029,32767,5558,617
2013,32767,5597,615
1995,32767,5603,621
1999,32767,5657,613
2000,32767,5762,591
1981,32767,5894,587
1938,32767,5976,597
1913,32767,6055,586
1918,32767,6135,553
1937,32767,6216,561
1934,32767,6243,599
1914,32767,6277,548
1886,32767,6330,312
1862,32767,6404,-11
1846,32767,6438,-199
1868,32767,6473,-122
1918,32767,6517,140
1952,32767,6580,400
1921,32767,6604,524
1859,32767,6631,515
1824,32767,6663,462
1848,32767,6720,439
1879,32767,6749,446
1875,32767,6780,448
1830,32767,6805,428
1803,32767,6846,407
1815,32767,6863,402
1845,32767,6886,403
1825,32767,6903,392
1739,32767,6940,373
1619,32767,6958,361
1539,32767,6984,359
1522,32767,6998,354
1566,32767,7034,342
1647,32767,7055,330
1769,32767,7084,326
1918,32767,7095,323
2071,32767,7120,310
2161,32767,7130,292
2178,32767,7152,282
2122,32767,7154,282
2055,32767,7166,282
1986,32767,7163,274
1931,32767,7172,268
1872,32767,7164,267
1824,32767,7169,263
1796,32767,7162,249
1805,32767,7170,238
1818,32767,7164,237
1813,32767,7170,240
1792,32767,7161,234
1762,32767,7170,227
1636,32767,7165,227
1377,32767,7170,227
1178,32767,7160,219
1418,32767,7169,211
2256,32767,7166,211
3483,32767,7170,212
4766,32767,7149,206
5920,32767,7142,200
6744,32767,7127,200
6942,32767,7126,200
6358,32767,7103,192
5268,32767,7094,184
4142,32767,7079,183
3269,32767,7078,184
2648,32767,7056,177
2239,32767,7047,169
2024,32767,7030,167
1955,32767,7030,168
