II,V,PLETH
-683,3984,13588
-719,4420,15393
-551,3839,13588
-461,3624,12642
-529,4020,13588
-596,4260,14162
-551,4092,13588
-449,3921,13169
-374,3911,13478
-335,3821,13652
-286,3621,13369
-233,3531,13152
-198,3585,13259
-193,3594,13334
-198,3513,13259
-187,3460,13172
-176,3513,13150
-185,3580,13092
-198,3585,13040
-183,3532,13024
-154,3513,13040
-147,3545,12995
-176,3585,12930
-218,3565,12835
-198,3513,12821
69,3393,12822
727,3114,12821
1626,2613,12744
2400,2064,12711
2869,1709,12701
3039,1702,12711
2712,2007,12643
1564,2571,12602
-128,3314,12584
-1409,4165,12602
-1690,4990,12543
-1409,5649,12492
-1290,5939,12458
-1409,5758,12492
-1453,5223,12488
-1409,4672,12492
-1439,4305,12474
-1409,4092,12492
-1095,3904,12475
-639,3766,12492
-369,3708,12516
-330,3694,12602
-333,3656,12656
-308,3658,12711
-339,3719,12735
-418,3766,12821
-462,3729,12915
-440,3694,13040
-421,3726,13129
-418,3766,13259
-391,3720,13372
-308,3658,13478
-206,3646,13514
-132,3658,13588
-87,3597,13681
-22,3513,13807
71,3468,13862
154,3477,13917
193,3495,13958
220,3549,14026
275,3627,14029
352,3658,14026
436,3552,14003
551,3368,14026
705,3195,14020
859,3078,14026
974,2959,14006
1079,2825,14026
1230,2683,14019
1431,2571,14026
1663,2453,14003
1916,2318,14026
2188,2159,14027
2445,2028,14026
2662,1915,13957
2841,1811,13917
2970,1713,13888
2995,1702,13917
2879,1784,13909
2643,1919,13917
2327,2066,13899
1938,2282,13917
1490,2557,13904
1035,2825,13917
624,3032,13903
264,3259,13917
-47,3501,13899
-286,3658,13917
-442,3672,13909
-551,3694,13917
-656,3802,13891
-749,3911,13917
-800,3914,13923
-815,3911,13917
-836,3982,13837
-881,4056,13807
-930,4026,13798
-947,3984,13807
-931,4023,13737
-903,4092,13698
-892,4072,13681
-903,4020,13698
-938,4028,13636
-991,4092,13588
-1052,4109,13558
-1101,4092,13588
-1129,4105,13578
-1145,4165,13588
-1155,4169,13582
-1145,4092,13588
-1103,4005,13523
-1035,4020,13478
-952,4086,13450
-859,4092,13478
-762,3993,13440
-683,3911,13369
-617,3890,13270
-551,3875,13259
-486,3818,13261
-462,3839,13259
-480,3973,13185
-484,4092,13150
-427,4026,13134
-330,3839,13150
-250,3673,13094
-198,3585,13040
-167,3526,12970
-154,3513,12930
-164,3539,12854
-176,3549,12821
-160,3485,12804
-132,3440,12821
-119,3463,12767
-132,3513,12711
-166,3492,12667
-242,3440,12711
-347,3398,12729
-440,3368,12711
-495,3313,12627
-484,3259,12602
-262,3138,12596
330,2825,12602
1195,2282,12533
1982,1738,12492
2455,1431,12473
2577,1449,12492
2217,1723,12437
1167,2245,12383
-306,2974,12342
-1409,3803,12383
-1654,4550,12390
-1409,5106,12383
-1298,5351,12344
-1409,5215,12383
-1463,4754,12433
-1409,4237,12492
-1401,3888,12480
-1409,3730,12492
-1264,3601,12518
-991,3440,12602
-785,3316,12651
-727,3332,12711
-734,3413,12748
-749,3440,12821
