II,MCL,ABP,RESP
924,13557,1959,2024
1104,15361,2222,2407
1047,13557,1959,2313
1011,12568,1810,2339
1047,13406,1929,2618
1007,13864,2004,2837
862,13256,1929,2908
758,12888,1882,3002
801,13256,1929,3181
931,13463,1946,3316
1047,13256,1899,3389
1115,13177,1874,3474
1170,13406,1899,3582
1220,13545,1912,3650
1232,13557,1899,3695
1168,13623,1890,3752
1047,13708,1899,3807
911,13600,1902,3816
801,13406,1899,3807
734,13286,1896,3809
739,13256,1899,3807
816,13178,1898,3772
924,13105,1899,3727
1004,13058,1895,3682
1047,13105,1899,3630
1068,13119,1899,3545
1109,13105,1899,3454
1211,13057,1892,3372
1417,13105,1899,3293
1671,13184,1912,3187
1848,13256,1929,3068
1849,13200,1929,2952
1725,13105,1929,2843
1605,12995,1934,2718
1602,12954,1959,2586
1722,12887,1986,2454
1910,12804,2020,2329
2044,12649,2047,2189
2033,12503,2080,2040
1866,12326,2106,1887
1663,12201,2140,1751
1556,12128,2177,1615
1602,12201,2231,1478
1740,12333,2286,1334
1910,12503,2351,1205
2091,12629,2408,1078
2279,12804,2472,948
2378,12970,2537,810
2279,13105,2622,707
1996,13108,2710,637
1725,13105,2803,578
1632,13136,2887,504
1725,13256,2984,450
1864,13336,3084,426
1971,13406,3195,418
2036,13456,3295,394
2094,13557,3406,386
2151,13592,3528,407
2218,13557,3677,450
2270,13443,3826,478
2279,13406,3979,514
2220,13403,4122,569
2156,13406,4280,643
2162,13354,4441,708
2279,13406,4612,787
2445,13548,4765,886
2587,13708,4913,996
2664,13719,5046,1089
2710,13708,5185,1189
2746,13743,5308,1308
2772,13858,5426,1446
2755,13887,5518,1569
2710,13858,5607,1687
2680,13772,5682,1812
2710,13708,5757,1960
2776,13607,5809,2106
2834,13557,5848,2249
2844,13531,5863,2385
2834,13557,5878,2538
2826,13541,5879,2693
2834,13557,5878,2843
2837,13595,5851,2972
2834,13708,5818,3100
2797,13793,5768,3223
2710,13858,5727,3341
2564,13815,5670,3442
2402,13708,5607,3550
2259,13524,5523,3658
2156,13406,5456,3759
2094,13359,5392,3836
2094,13406,5335,3920
2144,13415,5258,4006
2218,13406,5185,4080
2281,13370,5106,4101
2341,13406,5034,4096
2375,13432,4941,4087
2341,13406,4853,4096
2189,13215,4759,4097
1971,12954,4672,4096
1787,12670,4573,4090
1725,12503,4491,4096
1751,12433,4413,4094
1786,12503,4341,4096
1757,12588,4245,4092
1663,12653,4160,4096
1502,12594,4078,4093
1294,12503,4009,4096
1073,12392,3926,4092
924,12352,3858,4096
856,12325,3796,4092
801,12352,3738,4096
681,12352,3656,4092
554,12352,3587,4096
544,12308,3533,4092
739,12352,3497,4096
1089,12505,3438,4092
1478,12804,3376,4096
1772,13075,3319,4092
1910,13256,3286,4096
1906,13272,3243,4092
1848,13256,3195,4096
1784,13230,3140,4092
1725,13256,3105,4096
1668,13250,3073,4093
1663,13256,3044,4096
1746,13234,2998,4091
1910,13256,2954,4096
2100,13292,2914,4094
2279,13406,2894,4096
2411,13505,2866,4091
2464,13557,2833,4096
2412,13488,2793,4093
2279,13406,2773,4080
2095,13320,2759,4049
1910,13256,2743,4032
1732,13152,2708,4019
1602,13105,2683,4000
1514,13137,2666,3946
1478,13256,2653,3887
1464,13300,2620,3830
1478,13256,2592,3775
1522,13141,2573,3692
1602,13105,2562,3598
1647,13108,2532,3500
1602,13105,2502,3405
1470,12974,2478,3295
1355,12804,2472,3181
1324,12627,2457,3061
1417,12503,2442,2940
1724,12282,2422,2804
2402,11900,2411,2667
3458,11242,2395,2528
4682,10394,2381,2393
5797,9429,2364,2248
6653,8586,2351,2104
7123,7955,2333,1959
7084,7682,2321,1815
6550,7779,2305,1657
5790,8285,2291,1494
5098,8936,2270,1333
4558,9490,2261,1189
4085,9795,2258,1036
3634,10092,2261,867
3204,10500,2248,692
2772,10996,2231,546
2301,11346,2210,416
1848,11599,2200,273
1499,11840,2186,112
1294,12201,2170,0
1196,12576,2148,-27
1170,12954,2140,0
1175,13268,2138,11
1170,13557,2140,0
1118,13736,2127,-9
1047,13858,2110,0
990,13922,2089,4
986,14009,2080,0
1003,14040,2075,-4
1047,14009,2080,0
1113,13897,2081,1
1232,13858,2080,0
1371,13907,2064,-2
1478,14009,2050,0
1488,13982,2042,0
1417,13858,2050,0
1326,13708,2054,-1
1294,13708,2050,0
1331,13821,2031,0
1417,14009,2020,0
1511,14112,2014,0
1602,14159,2020,0
1678,14181,2019,0
1725,14310,2020,0
1704,14433,2017,0
1602,14461,2020,0
1443,14303,2017,0
1294,14159,2020,0
1195,14108,2019,0
1170,14159,2020,0
1227,14122,2015,0
1355,14009,2020,0
1458,13830,2022,0
1417,13708,2020,0
1212,13598,2002,0
986,13557,1989,0
868,13530,1985,0
862,13557,1989,0
874,13551,1987,-1
862,13557,1989,0
844,13531,1991,1
862,13557,1989,0
945,13596,1972,-2
1109,13708,1959,0
1285,13800,1954,2
1355,13858,1959,0
1244,13755,1957,-5
1047,13557,1959,0
932,13327,1961,6
986,13256,1959,0
1127,13303,1942,-13
1232,13406,1929,0
1264,13412,1925,45
1294,13406,1929,96
1358,13430,1925,134
1417,13557,1929,193
1406,13653,1941,301
1355,13708,1959,450
1328,13689,1962,589
1355,13708,1959,707
1396,13711,1955,814
1417,13708,1959,932
1399,13625,1957,1047
1355,13557,1959,1157
1306,13475,1958,1258
1294,13406,1959,1365
1319,13255,1954,1472
1355,13105,1959,1574
1361,12978,1970,1668
1355,12954,1989,1767
1366,12905,2001,1867
1417,12804,2020,1960
1495,12617,2043,2029
1602,12503,2080,2088
1722,12458,2108,2145
1848,12503,2140,2201
1955,12546,2174,2243
2033,12653,2231,2281
2060,12749,2289,2315
2033,12804,2351,2345
1961,12718,2404,2363
1910,12653,2472,2377
1932,12713,2543,2387
2033,12954,2622,2393
2118,13125,2691,2385
2094,13105,2773,2377
1962,12902,2859,2369
1848,12804,2954,2361
1868,12884,3037,2338
2033,13105,3135,2313
2228,13269,3245,2287
2341,13406,3376,2265
2307,13494,3495,2228
2156,13557,3617,2185
1953,13493,3740,2141
1786,13406,3888,2120
1687,13349,4045,2105
1663,13406,4220,2088
1710,13471,4386,2062
1848,13557,4552,2056
2031,13622,4699,2061
2156,13708,4853,2072
2111,13685,5002,2070
1910,13557,5155,2088
1655,13346,5289,2128
1478,13256,5426,2185
1420,13288,5549,2227
1478,13406,5667,2281
1621,13467,5750,2351
1848,13557,5818,2442
2129,13681,5871,2521
2402,13858,5938,2602
2553,13956,5992,2693
2526,14009,6029,2811
2353,13964,6029,2926
2156,13858,6029,3036
2008,13671,6017,3138
1910,13557,5999,3261
1815,13485,5950,3385
1725,13406,5908,3502
1664,13220,5864,3595
1663,13105,5818,3695
1723,13121,5740,3795
1848,13256,5667,3887
2005,13333,5600,3946
2156,13406,5546,4000
2249,13472,5470,4051
2279,13557,5396,4096
2244,13556,5317,4104
2156,13557,5245,4096
2030,13554,5150,4087
1910,13557,5064,4096
1792,13434,4982,4096
1663,13256,4913,4096
1514,13056,4823,4091
1417,12954,4733,4096
1427,12904,4635,4094
1540,12954,4552,4096
1663,13026,4456,4092
1725,13105,4371,4096
1705,13060,4286,4093
1663,12954,4220,4096
1686,12860,4143,4092
1848,12954,4069,4096
2125,13167,3986,4092
2402,13406,3919,4096
2530,13510,3851,4093
2464,13557,3798,4096
2269,13553,3736,4092
2094,13557,3677,4096
2053,13521,3610,4094
2156,13557,3557,4096
2286,13630,3505,4091
2341,13708,3466,4096
2343,13652,3419,4096
2402,13557,3376,4096
2500,13462,3326,4089
2464,13406,3286,4096
2154,13235,3238,4100
1663,12954,3195,4096
1204,12592,3144,4078
924,12352,3105,4080
834,12302,3068,4083
924,12503,3044,4048
1170,12766,3013,3935
1478,12954,2984,3791
1664,12928,2949,3654
1602,12804,2924,3534
1330,12630,2892,3395
1047,12503,2864,3245
904,12382,2827,3094
924,12352,2803,2956
1015,12349,2784,2807
1109,12352,2773,2650
1180,12263,2746,2486
1232,12201,2713,2329
1260,12209,2674,2168
1294,12352,2653,2008
1350,12506,2636,1844
1417,12653,2622,1687
1403,12693,2591,1521
1232,12653,2562,1349
894,12498,2538,1172
493,12352,2532,1012
167,12225,2521,851
62,12201,2502,675
256,12266,2468,486
739,12503,2442,337
1323,12780,2421,238
1725,12954,2411,161
1706,12822,2395,69
1294,12503,2381,0
757,12170,2364,-19
431,12051,2351,0
453,12079,2333,7
739,12201,2321,0
1100,12314,2305,-6
1417,12503,2291,0
1640,12720,2270,0
1786,12954,2261,0
1894,13106,2258,-1
2033,13256,2261,0
2195,13402,2248,-5
2341,13557,2231,0
2427,13596,2210,5
2526,13557,2200,0
2689,13500,2186,-16
2895,13557,2170,0
3021,13650,2148,52
3018,13708,2140,112
2939,13640,2138,157
2895,13557,2140,225
2886,13468,2127,340
2834,13406,2110,482
2674,13309,2089,605
2464,13256,2080,723
2312,13163,2075,858
2341,12954,2080,1012
2673,12498,2081,1153
3388,11900,2080,1285
4357,11149,2064,1426
5298,10243,2050,1590
6001,9138,2041,1750
6468,8134,2050,1896
6683,7491,2054,2037
6530,7381,2050,2201
5967,7636,2031,2371
5236,8134,2020,2522
4621,8667,2015,2650
4189,9189,2020,2795
3800,9622,2018,2953
3388,10092,2020,3084
2989,10595,2020,3162
2649,11147,2020,3229
2333,11618,2004,3308
2033,12051,1989,3373
1774,12423,1981,3389
1602,12804,1989,3389
1509,13116,1993,3401
1478,13406,1989,3405
1473,13636,1971,3365
1478,13858,1959,3309
1458,13979,1953,3267
1417,14009,1959,3229
1378,13926,1960,3157
1417,13858,1959,3068
1515,13825,1954,2986
1602,13858,1959,2908
1578,13861,1962,2807
1478,13858,1959,2699
1396,13830,1942,2595
1417,13858,1929,2490
1511,13906,1923,2358
1602,14009,1929,2217
1611,14087,1929,2082
1540,14159,1929,1960
1434,14164,1926,1827
1355,14159,1929,1687
1316,14094,1928,1540
1294,14009,1929,1398
1243,13850,1927,1246
1170,13708,1929,1092
1128,13583,1927,941
1170,13557,1929,803
1255,13544,1927,654
1294,13557,1929,482
1244,13535,1927,304
1170,13557,1929,177
1129,13557,1928,112
1109,13557,1929,80
1073,13517,1927,38
1047,13557,1929,0
1052,13632,1928,-12
1047,13708,1929,0
960,13652,1926,4
801,13557,1929,0
659,13450,1930,-4
616,13406,1929,0
664,13329,1913,0
739,13256,1899,0
770,13157,1891,-1
739,13105,1899,0
670,13021,1903,-4
616,12954,1899,0
600,12898,1881,3
616,12954,1869,0
629,13035,1864,-11
616,13105,1869,0
566,13090,1868,31
493,13105,1869,64
405,13115,1866,89
308,13105,1869,145
187,13000,1867,250
62,12954,1869,386
-7,12995,1867,509
62,13105,1869,626
256,13122,1865,749
493,13105,1869,883
692,13077,1869,1011
862,13105,1869,1141
1026,13097,1862,1274
1170,13105,1869,1414
1258,13097,1882,1540
1294,13105,1899,1671
1282,13036,1899,1809
1232,12954,1899,1960
1172,12854,1904,2099
1170,12804,1929,2233
1234,12724,1955,2368
1294,12653,1989,2522
1291,12551,2026,2674
1294,12503,2080,2811
1395,12471,2128,2927
1602,12503,2170,3052
1803,12508,2203,3182
1910,12503,2261,3309
1908,12421,2333,3413
1848,12352,2411,3518
1775,12300,2467,3624
1725,12352,2532,3727
1704,12423,2611,3805
1725,12503,2713,3887
1782,12499,2802,3973
1848,12503,2894,4048
1837,12526,2987,4075
1725,12653,3105,4080
1626,12793,3221,4081
1725,12954,3346,4096
2016,13084,3469,4098
2279,13256,3617,4096
2307,13375,3775,4090
2156,13406,3949,4096
2023,13265,4111,4094
2033,13105,4280,4096
2146,13021,4450,4091
2279,13105,4642,4096
2342,13207,4827,4093
2279,13256,5004,4096
2097,13179,5153,4092
1910,13105,5305,4096
1821,13059,5453,4092
1848,13105,5607,4096
1915,13161,5734,4092
1971,13256,5848,4096
2006,13328,5939,4092
2033,13406,6029,4096
2040,13413,6095,4092
2033,13406,6149,4096
2020,13376,6179,4092
2033,13406,6210,4096
2067,13419,6217,4092
2094,13406,6210,4096
2052,13280,6174,4092
1910,13105,6149,4096
1670,12863,6120,4092
1417,12653,6089,4096
1244,12492,6027,4092
1232,12503,5968,4096
1346,12624,5906,4093
1478,12804,5848,4096
1491,12856,5767,4091
1355,12804,5697,4096
1157,12681,5632,4095
1047,12653,5577,4096
1066,12692,5488,4090
1170,12804,5396,4096
1289,12882,5305,4098
1417,12954,5245,4096
1501,12924,5174,4084
1478,12804,5094,4096
1355,12594,4995,4112
1294,12503,4913,4096
1419,12572,4834,4013
1725,12804,4763,3903
2084,13033,4670,3796
2402,13256,4582,3695
2561,13381,4486,3566
2464,13406,4401,3422
2141,13299,4303,3278
1848,13256,4220,3148
1840,13335,4138,3009
2156,13557,4069,2859
2593,13775,3988,2702
2957,14009,3919,2554
3171,14155,3851,2403
3265,14159,3798,2249
3250,13942,3735,2086
3142,13708,3677,1928
2987,13563,3613,1766
2895,13557,3557,1606
2935,13549,3490,1441
3080,13557,3436,1285
3188,13509,3384,1122
3142,13406,3346,948
2909,13209,3298,766
2587,13105,3255,610
2300,13127,3207,466
2156,13256,3165,305
2163,13328,3115,125
2279,13406,3075,0
2434,13481,3037,-30
2587,13557,3014,0
2693,13505,2984,12
2710,13406,2954,0
2606,13300,2918,-9
2402,13256,2894,0
2128,13134,2864,4
1848,12954,2833,0
1653,12774,2794,-4
1663,12804,2773,0
1871,12994,2758,0
2156,13256,2743,0
2352,13421,2710,-1
2402,13557,2683,0
2300,13606,2663,-2
2094,13557,2653,0
1864,13372,2623,2
1725,13256,2592,0
1660,13201,2567,-6
1540,13105,2562,0
1277,12805,2551,7
986,12503,2532,0
827,12339,2497,-17
862,12352,2472,0
1025,12382,2451,57
1294,12503,2442,129
1638,12748,2425,188
2033,13105,2411,273
2399,13377,2393,404
2710,13557,2381,562
2880,13648,2365,702
2834,13708,2351,835
2560,13656,2333,985
2218,13557,2321,1157
1959,13438,2305,1316
1848,13406,2291,1462
1824,13398,2271,1610
1848,13406,2261,1783
1883,13303,2246,1954
1910,13105,2231,2104
1937,12801,2208,2234
2094,12503,2200,2377
2560,12120,2200,2529
3450,11599,2200,2667
4672,10862,2183,2775
5975,10092,2170,2891
7043,9390,2166,3020
7638,8887,2170,3132
7635,8576,2158,3196
7084,8586,2140,3245
6199,8866,2119,3303
5298,9339,2110,3357
4596,9792,2104,3373
4127,10243,2110,3373
3773,10676,2114,3381
3450,11147,2110,3389
3132,11543,2089,3370
2834,11900,2080,3341
2529,12191,2080,3318
2218,12503,2080,3293
1940,12788,2062,3241
1786,13105,2050,3181
1774,13401,2048,3125
1848,13708,2050,3068
1906,13951,2033,2984
1910,14159,2020,2891
1841,14271,2016,2801
1725,14310,2020,2715
1563,14244,2005,2607
1417,14159,1989,2490
1316,14054,1982,2373
1294,14009,1989,2265
1327,14022,1990,2147
1417,14159,1989,2024
1552,14321,1987,1899
1725,14461,1989,1783
1875,14481,1987,1659
1971,14461,1989,1526
2026,14364,1991,1388
2094,14159,1989,1269
2155,13668,1973,1163
2156,12954,1959,1060
2119,12182,1953,945
2156,11599,1959,835
2266,11081,1959,735
2279,10544,1959,643
2040,10139,1956,543
1602,10394,1959,450
1114,11346,1958,352
678,12503,1959,241
340,13188,1957,118
185,13406,1959,32
231,13448,1957,6
370,13557,1959,16
459,13591,1958,14
493,13557,1959,0
524,13503,1956,-7
554,13557,1959,0
525,13585,1960,3
431,13557,1959,0
305,13448,1944,-3
185,13406,1929,0
89,13393,1921,1
62,13406,1929,0
104,13374,1933,-1
185,13406,1929,0
266,13475,1911,0
370,13557,1899,0
497,13551,1894,-1
616,13557,1899,0
686,13563,1899,0
739,13557,1899,0
819,13452,1896,0
924,13406,1899,0
990,13453,1897,0
986,13557,1899,0
938,13519,1897,0
924,13406,1899,0
985,13319,1897,0
1109,13406,1899,0
1231,13557,1897,0
1294,13708,1899,0
1263,13737,1896,0
1170,13708,1899,0
1089,13612,1898,0
1109,13557,1899,0
1254,13520,1895,0
1478,13557,1899,0
1694,13571,1908,0
1848,13557,1929,0
1914,13428,1945,0
1910,13256,1959,0
1867,13019,1967,0
1848,12804,1989,0
1853,12596,2016,0
1848,12503,2050,0
1792,12467,2075,0
1725,12503,2110,0
1694,12534,2149,0
1725,12653,2200,0
1798,12802,2243,0
1910,12954,2291,0
2023,12976,2341,0
2094,12954,2411,0
2086,12920,2484,0
2033,12954,2562,0
1978,12955,2632,0
1971,12954,2713,0
2056,12961,2796,0
2279,13105,2894,0
2581,13315,2982,0
2834,13557,3075,0
2958,13714,3166,0
