II,V,PLETH,ABP
-366,1384,-1665,6626
-253,1378,-1808,7127
-37,1081,-1639,6361
82,996,-1748,6727
218,800,-1778,6775
339,556,-1773,6682
424,300,-1770,6591
456,84,-1799,6636
455,-104,-1831,6686
440,-266,-1836,6643
422,-390,-1837,6591
406,-468,-1850,6594
394,-516,-1865,6607
381,-545,-1869,6571
353,-554,-1879,6537
303,-537,-1899,6525
236,-503,-1922,6512
162,-464,-1944,6483
97,-430,-1967,6460
46,-408,-1996,6457
23,-415,-2025,6449
7,-422,-2059,6448
28,-454,-2099,6458
33,-456,-2142,6462
74,-484,-2185,6477
96,-483,-2224,6483
124,-499,-2254,6500
155,-503,-2274,6504
160,-493,-2286,6520
185,-481,-2287,6519
182,-453,-2286,6531
200,-422,-2276,6522
205,-375,-2259,6531
211,-273,-2224,6516
193,-81,-2170,6527
160,212,-2091,6510
145,541,-1995,6521
268,726,-1882,6502
721,514,-1769,6515
1745,-379,-1655,6494
3502,-2109,-1550,6510
5942,-4620,-1444,6490
8688,-7552,-1341,6511
11089,-10322,-1228,6491
12398,-12269,-1118,6509
12088,-12912,-1007,6489
10092,-12133,-914,6503
6883,-10254,-834,6482
3286,-7889,-776,6492
160,-5697,-725,6472
-1937,-4104,-676,6481
-2888,-3183,-609,6463
-2956,-2704,-533,6468
-2563,-2330,-441,6453
-2076,-1819,-349,6456
-1682,-1119,-253,6440
-1414,-342,-165,6438
-1223,350,-79,6420
-1073,857,2,6412
-940,1157,83,6389
-856,1324,160,6376
-804,1398,235,6353
-803,1464,306,6342
-804,1507,376,6323
-813,1551,446,6315
-821,1581,514,6299
-805,1586,583,6295
-806,1592,652,6276
-783,1570,723,6269
-784,1558,793,6242
-788,1539,867,6230
-799,1524,939,6199
-824,1510,1015,6191
-845,1490,1087,6163
-864,1463,1163,6166
-866,1433,1234,6143
-861,1400,1309,6156
-848,1369,1377,6134
-836,1342,1451,6155
-821,1307,1515,6142
-811,1274,1584,6179
-801,1234,1643,6178
-792,1201,1707,6233
-778,1168,1760,6252
-765,1145,1818,6330
-748,1120,1866,6374
-733,1098,1918,6483
-716,1066,1959,6578
-701,1035,2004,6747
-687,1000,2038,6918
-671,973,2074,7162
-651,947,2102,7410
-623,928,2131,7708
-589,906,2151,7984
-547,880,2172,8279
-497,839,2186,8540
-439,786,2199,8795
-374,719,2206,8991
-301,643,2212,9150
-223,557,2211,9231
-141,469,2208,9254
-55,376,2198,9202
35,283,2185,9114
138,181,2168,8989
254,74,2148,8864
396,-49,2121,8728
557,-180,2090,8611
742,-323,2054,8500
940,-468,2020,8424
1153,-620,1987,8361
1365,-767,1961,8341
1580,-911,1937,8331
1784,-1038,1916,8359
1981,-1151,1886,8377
2154,-1236,1851,8426
2306,-1295,1804,8450
2416,-1316,1757,8503
2481,-1302,1702,8520
2481,-1234,1654,8568
2415,-1113,1601,8572
2266,-922,1557,8615
2045,-675,1504,8612
1750,-374,1458,8659
1406,-49,1403,8659
1023,285,1361,8716
628,597,1315,8720
238,877,1288,8781
-122,1110,1259,8790
-444,1298,1246,8850
-722,1440,1227,8860
-954,1541,1219,8913
-1145,1607,1204,8920
-1299,1643,1198,8961
-1422,1655,1185,8959
-1511,1646,1178,8985
-1574,1627,1164,8975
-1606,1596,1153,8990
-1617,1560,1135,8977
-1600,1516,1119,8989
-1566,1473,1100,8980
-1512,1418,1085,8992
-1454,1357,1068,8990
-1390,1283,1054,9006
-1332,1209,1039,9010
-1273,1133,1026,9030
-1221,1062,1013,9039
-1163,996,1002,9058
-1105,938,992,9062
-1044,882,985,9071
-990,824,977,9059
-941,766,970,9051
-897,711,958,9021
-852,663,945,8999
-803,623,929,8955
-748,593,913,8926
-685,569,896,8876
-623,551,881,8849
-563,529,866,8794
-511,506,853,8767
-460,475,840,8706
-414,445,829,8678
-367,416,816,8609
-327,397,806,8579
-289,382,792,8506
-264,375,781,8476
-243,367,764,8392
-231,360,751,8353
-215,342,733,8257
-203,322,718,8212
-187,294,699,8117
-177,269,683,8081
-167,241,664,8008
-167,217,646,7993
-166,194,625,7948
-170,177,605,7955
-167,160,583,7939
-165,146,563,7968
-160,126,542,7973
-160,106,524,8013
-160,86,504,8032
-167,75,486,8077
-177,73,465,8101
-194,88,444,8142
-216,113,422,8162
-247,145,400,8190
-283,173,377,8196
-323,197,354,8207
-365,215,330,8198
-407,230,306,8196
-448,241,280,8178
-489,252,253,8168
-530,260,225,8145
-574,270,197,8136
-619,282,168,8114
-669,302,140,8111
-723,328,111,8094
-781,361,83,8098
-834,394,54,8084
-881,431,25,8095
-912,470,-3,8081
-933,518,-32,8096
-944,571,-60,8080
-957,628,-89,8098
-970,677,-117,8077
-987,716,-146,8093
-1001,738,-174,8063
-1014,752,-204,8074
-1016,759,-231,8034
-1018,772,-257,8041
-1015,786,-277,7996
-1017,805,-294,7999
-1014,818,-305,7956
-1019,826,-316,7958
-1026,825,-329,7918
-1041,823,-347,7922
