II,V,PLETH,RESP
5392,994,4540,1598
6120,908,5125,1779
5531,639,4508,1530
5352,586,4192,1393
5807,639,4508,1480
5916,596,4685,1515
5531,639,4476,1413
5337,903,4332,1341
5531,1065,4443,1362
5645,863,4506,1361
5531,639,4411,1295
5408,825,4342,1239
5392,1207,4378,1228
5479,1213,4392,1214
5807,781,4346,1177
6290,457,4309,1137
6498,639,4313,1110
6172,1079,4309,1086
5669,1278,4281,1059
5417,1138,4242,1033
5392,994,4216,1009
5295,1040,4197,985
5116,1065,4184,959
5025,860,4149,924
5116,639,4119,891
5250,730,4095,864
5392,1065,4086,841
5573,1240,4060,814
5807,1065,4021,790
5948,758,3943,766
5945,639,3827,740
5849,773,3671,705
5807,994,3535,673
5816,1106,3435,646
5807,1065,3373,622
5676,979,3306,589
5531,994,3243,555
5548,1131,3185,526
5807,1278,3146,504
6019,1305,3096,481
5945,1207,3049,454
5726,1088,3003,426
5807,1065,2984,404
6174,1156,2968,385
6360,1278,2951,370
6099,1320,2916,353
5807,1278,2886,336
5858,1277,2862,314
6084,1420,2854,286
6114,1585,2838,256
6084,1562,2822,235
6267,1375,2799,220
6637,1278,2789,202
6914,1324,2774,175
7051,1278,2757,151
7030,1055,2732,134
6775,923,2724,118
6362,1014,2723,93
6222,1065,2724,67
6495,898,2706,49
6775,781,2692,34
6583,920,2685,15
6084,1065,2692,0
5718,950,2682,-4
5669,781,2659,0
5738,819,2631,2
5807,923,2627,0
5835,878,2630,-1
5807,852,2627,0
5672,1048,2605,1
5531,1278,2595,0
5448,1256,2594,-1
5392,1065,2595,0
5220,929,2575,0
4977,852,2562,0
4807,759,2560,0
4839,781,2562,0
4944,1021,2544,0
4977,1278,2530,0
4928,1270,2525,0
4977,1065,2530,0
5101,993,2514,0
5116,1207,2497,0
4938,1495,2490,0
4839,1562,2497,0
4989,1349,2486,0
5254,1065,2465,0
5375,927,2439,0
5392,994,2432,0
5349,1193,2430,0
5254,1420,2432,0
5097,1530,2420,0
5116,1420,2400,0
5291,1174,2374,0
5392,1065,2367,0
5246,1209,2368,0
5116,1420,2367,0
5256,1419,2349,0
5531,1207,2335,0
5508,980,2330,0
5116,923,2335,0
4769,1053,2323,0
4839,1349,2303,0
5056,1724,2278,0
5116,2060,2270,0
5563,2202,2266,0
7328,2131,2270,0
10131,1940,2270,0
