II,MCL,ABP,RESP
10286,4913,2298,1495
11667,5575,2580,1676
10375,4943,2260,1447
9788,4583,2104,1309
10641,4821,2260,1383
11169,4927,2336,1420
10818,4760,2223,1334
10640,4764,2160,1269
11084,4943,2223,1286
11400,4923,2244,1289
11262,4760,2185,1238
11106,4745,2156,1195
11262,4821,2185,1190
11489,4760,2185,1184
11616,4669,2147,1157
11701,4712,2129,1128
11882,4760,2147,1109
12117,4649,2158,1094
12326,4547,2147,1077
12404,4612,2125,1055
12414,4699,2110,1029
12450,4622,2100,1001
12592,4516,2110,981
12711,4519,2113,959
12769,4547,2110,932
12705,4460,2085,899
12592,4394,2072,868
12459,4445,2065,841
12414,4486,2072,820
12390,4365,2066,796
12326,4242,2072,772
12143,4245,2081,746
11971,4272,2110,723
11854,4176,2136,699
11794,4089,2185,675
11644,4109,2255,650
11439,4120,2373,627
11246,3985,2530,603
11173,3875,2750,579
11064,3919,3023,552
10818,3998,3353,530
10465,3925,3692,509
10286,3814,4031,482
10286,3804,4349,448
10286,3845,4671,418
10105,3791,4981,394
9932,3723,5274,370
9839,3745,5527,337
9754,3814,5764,305
9565,3772,5980,281
9488,3662,6178,257
9554,3619,6329,225
9577,3692,6442,193
9373,3723,6502,168
9222,3631,6517,145
9281,3511,6474,114
9400,3540,6404,80
9316,3661,6313,53
9222,3692,6216,32
9283,3575,6090,13
9400,3509,5952,0
9306,3584,5810,-4
9133,3662,5689,0
9065,3601,5561,1
9133,3540,5425,0
9165,3598,5265,-1
9222,3692,5123,0
9344,3679,4999,0
9488,3662,4897,0
9477,3726,4783,-1
9400,3784,4671,0
9383,3717,4551,0
9488,3662,4445,0
9513,3716,4339,0
9400,3784,4257,0
9228,3742,4178,0
9222,3723,4106,0
9329,3806,4010,0
9400,3875,3918,0
9304,3814,3830,0
9222,3784,3767,0
9259,3871,3695,0
9400,3936,3617,0
9488,3863,3517,0
9577,3845,3428,0
9679,3989,3344,0
9754,4120,3277,0
9659,4059,3201,0
9488,3998,3127,0
9363,4111,3044,0
9400,4272,2976,0
9539,4266,2911,0
9754,4211,2863,0
9881,4283,2807,0
9843,4425,2750,0
9703,4439,2684,0
9754,4364,2637,0
9996,4309,2596,0
10198,4272,2562,0
10143,4149,2515,0
10020,3998,2486,0
9921,3905,2475,0
9754,3875,2486,0
9403,3824,2487,0
9133,3784,2486,0
9087,3796,2479,0
9133,3845,2486,0
9036,3809,2496,0
8956,3692,2524,0
9018,3602,2556,0
9133,3662,2599,0
9096,3773,2635,0
9045,3784,2675,0
9074,3682,2709,0
9133,3662,2750,0
9114,3757,2784,0
9222,3814,2825,0
9506,3722,2861,0
9754,3662,2901,0
9684,3741,2934,-1
9488,3845,2976,0
9430,3823,3015,1
9577,3814,3051,0
9696,3942,3070,-1
9754,4120,3089,0
9785,4180,3106,2
9843,4211,3127,0
9820,4304,3130,-4
9754,4394,3127,0
9701,4373,3120,14
9754,4364,3127,32
9815,4450,3130,46
9843,4547,3127,64
9812,4537,3106,92
9843,4547,3089,129
9901,4654,3069,162
9932,4760,3051,193
9869,4734,3027,223
9843,4699,3014,257
9849,4762,2998,290
9843,4852,2976,322
9755,4832,2933,353
9754,4791,2901,386
9820,4838,2879,418
9843,4943,2863,450
9737,4977,2825,481
9754,4974,2788,514
9919,5014,2759,546
10020,5096,2750,579
9919,5122,2732,610
9932,5127,2712,643
10145,5205,2688,675
10198,5401,2675,707
9750,5578,2656,738
9133,5615,2637,772
8726,5485,2613,804
8690,5310,2599,836
9186,5129,2581,860
10552,4913,2562,884
12326,4569,2534,911
13479,4150,2524,948
13679,3729,2522,989
13833,3387,2524,1029
14261,3089,2505,1061
14011,2838,2486,1093
12335,2608,2475,1128
10198,2441,2486,1174
8741,2352,2491,1221
7803,2411,2486,1270
6571,2581,2464,1311
5409,2838,2449,1350
5284,3164,2441,1387
6385,3662,2449,1431
7820,4294,2450,1472
8956,4943,2449,1511
9719,5469,2442,1544
10286,5920,2449,1591
10605,6286,2452,1647
10730,6530,2449,1704
10748,6628,2426,1748
10818,6744,2411,1800
10923,6907,2404,1861
11084,7019,2411,1929
11194,7007,2410,1983
11262,7049,2411,2042
11249,7193,2409,2107
11262,7293,2411,2186
11305,7229,2407,2257
11439,7202,2411,2331
11537,7323,2413,2406
11528,7446,2411,2492
11383,7401,2391,2566
11262,7354,2373,2636
11151,7428,2365,2701
10996,7507,2373,2781
10801,7441,2375,2862
10818,7415,2373,2942
11018,7547,2367,3004
11173,7690,2373,3070
11101,7617,2376,3138
11084,7476,2373,3215
11249,7446,2353,3285
11439,7507,2336,3360
11375,7482,2326,3429
11262,7446,2336,3505
11309,7497,2341,3577
11528,7598,2336,3665
11695,7540,2312,3750
11882,7354,2298,3826
12112,7230,2293,3882
12326,7324,2298,3955
12370,7449,2296,4034
12414,7415,2298,4099
12534,7241,2298,4110
12680,7202,2298,4099
12705,7300,2279,4089
12769,7324,2260,4099
12934,7158,2250,4100
13124,7080,2260,4099
13161,7199,2265,4093
13213,7293,2260,4099
13393,7124,2237,4097
13656,6927,2223,4099
13738,6923,2215,4094
13656,7019,2223,4099
13517,6972,2221,4096
13479,6896,2223,4099
13496,6910,2215,4095
13567,6927,2223,4099
13551,6808,2233,4095
13390,6744,2260,4099
13060,6826,2278,4095
12769,6866,2298,4099
12564,6644,2314,4095
12414,6378,2373,4099
12207,6297,2477,4095
12060,6347,2637,4099
11971,6302,2823,4095
11882,6225,3051,4099
11660,6204,3312,4095
11439,6195,3617,4099
11277,6084,3931,4095
11173,6012,4257,4099
10990,6042,4576,4095
10818,6073,4897,4099
10692,5978,5192,4095
10641,5920,5462,4099
10568,5973,5694,4095
10552,6012,5915,4099
10560,5885,6114,4095
10552,5767,6291,4099
