Time,PPG,ECG,resp
0,NaN,-0.262745098039216,0.0635386119257087
0.008,NaN,-0.333333333333333,0.0654936461388074
0.016,NaN,-0.337254901960784,0.0674486803519062
0.024,NaN,-0.327450980392157,0.0694037145650049
0.032,NaN,-0.333333333333333,0.072336265884653
0.04,NaN,-0.292156862745098,0.0742913000977517
0.048,NaN,-0.262745098039216,0.0772238514173998
0.056,NaN,-0.201960784313725,0.0791788856304985
0.064,NaN,-0.147058823529412,0.0821114369501466
0.072,NaN,-0.105882352941176,0.0840664711632454
0.08,NaN,-0.0372549019607843,0.0869990224828935
0.088,NaN,-0.00588235294117647,0.0889540566959922
0.096,NaN,0.0431372549019608,0.0918866080156403
0.104,NaN,0.0627450980392157,0.093841642228739
0.112,NaN,0.0745098039215686,0.0967741935483871
0.12,NaN,0.0627450980392157,0.0987292277614858
0.128,NaN,0.103921568627451,0.101661779081134
0.136,NaN,0.0843137254901961,0.102639296187683
0.144,NaN,0.129411764705882,0.104594330400782
0.152,NaN,0.0941176470588235,0.106549364613881
0.16,NaN,0.0843137254901961,0.10752688172043
0.168,NaN,0.0686274509803922,0.10752688172043
0.176,NaN,0.0980392156862745,0.108504398826979
0.184,NaN,0.0843137254901961,0.10752688172043
0.192,NaN,0.0980392156862745,0.10752688172043
0.2,NaN,0.0980392156862745,0.104594330400782
0.208,NaN,0.133333333333333,0.100684261974585
0.216,NaN,0.129411764705882,0.0957966764418377
0.224,NaN,0.168627450980392,0.0899315738025415
0.232,NaN,0.17843137254902,0.0821114369501466
0.24,NaN,0.119607843137255,0.0752688172043011
0.248,NaN,0.103921568627451,0.0664711632453568
0.256,NaN,0.143137254901961,0.0586510263929619
0.264,NaN,0.158823529411765,0.050830889540567
0.272,NaN,0.174509803921569,0.0439882697947214
0.28,NaN,0.17843137254902,0.0391006842619746
0.288,NaN,0.0941176470588235,0.0332355816226784
0.296,NaN,0.0843137254901961,0.0283479960899316
0.304,NaN,0.0784313725490196,0.0234604105571848
0.312,NaN,0.0784313725490196,0.0185728250244379
0.32,NaN,0.0784313725490196,0.0146627565982405
0.328,NaN,0.0784313725490196,0.0117302052785924
0.336,NaN,0.0784313725490196,0.00977517106549365
0.344,NaN,0.0980392156862745,0.00879765395894428
0.352,NaN,0.203921568627451,0.00782013685239492
0.36,NaN,0.349019607843137,0.00879765395894428
0.368,NaN,0.46078431372549,0.00977517106549365
0.376,NaN,0.574509803921569,0.0117302052785924
0.384,NaN,0.641176470588235,0.0146627565982405
0.392,NaN,0.735294117647059,0.0185728250244379
0.4,NaN,0.745098039215686,0.0224828934506354
0.408,NaN,0.754901960784314,0.0273704789833822
0.416,NaN,0.831372549019608,0.0332355816226784
0.424,NaN,0.670588235294118,0.0391006842619746
0.432,NaN,0.46078431372549,0.0449657869012708
0.44,NaN,0.264705882352941,0.0518084066471163
0.448,NaN,0.0333333333333333,0.0576735092864125
0.456,NaN,-0.0862745098039216,0.0645161290322581
0.464,NaN,-0.12156862745098,0.0713587487781036
0.472,NaN,-0.111764705882353,0.0791788856304985
0.48,NaN,-0.111764705882353,0.0869990224828935
0.488,NaN,-0.117647058823529,0.093841642228739
0.496,NaN,-0.101960784313725,0.101661779081134
0.504,NaN,-0.092156862745098,0.109481915933529
0.512,NaN,-0.0764705882352941,0.117302052785924
0.52,NaN,-0.0823529411764706,0.125122189638319
0.528,NaN,-0.105882352941176,0.132942326490714
0.536,NaN,-0.111764705882353,0.140762463343109
0.544,NaN,-0.092156862745098,0.149560117302053
0.552,NaN,-0.096078431372549,0.158357771260997
0.56,NaN,-0.101960784313725,0.167155425219941
0.568,NaN,-0.0823529411764706,0.175953079178886
0.576,NaN,-0.0607843137254902,0.18475073313783
0.584,NaN,-0.0862745098039216,0.192570869990225
0.592,NaN,-0.105882352941176,0.20039100684262
0.6,NaN,-0.141176470588235,0.208211143695015
0.608,NaN,-0.147058823529412,0.21505376344086
0.616,NaN,-0.101960784313725,0.221896383186706
0.624,NaN,-0.096078431372549,0.229716520039101
0.632,NaN,-0.101960784313725,0.236559139784946
0.64,NaN,-0.0823529411764706,0.243401759530792
0.648,NaN,-0.0666666666666667,0.249266862170088
0.656,NaN,-0.0274509803921569,0.256109481915934
0.664,NaN,-0.0117647058823529,0.26099706744868
