Time,PPG,ECG,resp
0,0.458455522971652,0.595703125,1
0.008,0.44574780058651,0.619140625,1
0.016,0.434995112414467,0.60546875,1
0.024,0.423264907135875,0.634765625,1
0.032,0.409579667644184,0.619140625,1
0.04,0.393939393939394,0.66015625,1
0.048,0.380254154447703,0.650390625,1
0.056,0.36950146627566,0.689453125,1
0.064,0.363636363636364,0.67578125,1
0.072,0.363636363636364,0.69921875,1
0.08,0.367546432062561,0.6796875,1
0.088,0.374389051808407,0.69921875,1
0.096,0.380254154447703,0.685546875,1
0.104,0.38514173998045,0.689453125,1
0.112,0.387096774193548,0.669921875,1
0.12,0.387096774193548,0.654296875,1
0.128,0.383186705767351,0.62890625,1
0.136,0.377321603128055,0.609375,1
0.144,0.370478983382209,0.619140625,1
0.152,0.361681329423265,0.583984375,1
0.16,0.35386119257087,0.599609375,1
0.168,0.347018572825024,0.57421875,1
0.176,0.343108504398827,0.595703125,1
0.184,0.343108504398827,0.57421875,1
0.192,0.343108504398827,0.599609375,1
0.2,0.344086021505376,0.583984375,1
0.208,0.344086021505376,0.615234375,1
0.216,0.344086021505376,0.599609375,1
0.224,0.342130987292278,0.62890625,1
0.232,0.339198435972629,0.619140625,1
0.24,0.336265884652981,0.650390625,1
0.248,0.332355816226784,0.634765625,1
0.256,0.327468230694037,0.654296875,1
0.264,0.32258064516129,0.640625,1
0.272,0.319648093841642,0.6640625,1
0.28,0.317693059628543,0.650390625,1
0.288,0.313782991202346,0.6640625,1
0.296,0.309872922776149,0.650390625,1
0.304,0.303030303030303,0.67578125,1
0.312,0.295210166177908,0.685546875,1
0.32,0.284457478005865,0.669921875,1
0.328,0.273704789833822,0.6953125,1
0.336,0.265884652981427,0.689453125,1
0.344,0.26099706744868,0.724609375,1
0.352,0.26099706744868,0.689453125,1
0.36,0.264907135874878,0.669921875,1
0.368,0.273704789833822,0.62890625,1
0.376,0.285434995112414,0.615234375,1
0.384,0.300097751710655,0.583984375,1
0.392,0.318670576735093,0.595703125,1
0.4,0.343108504398827,0.57421875,1
0.408,0.373411534701857,0.583984375,1
0.416,0.410557184750733,0.5703125,1
0.424,0.452590420332356,0.595703125,1
0.432,0.495601173020528,0.5703125,1
0.44,0.537634408602151,0.58984375,1
0.448,0.573802541544477,0.580078125,1
0.456,0.603128054740958,0.734375,1
0.464,0.623655913978495,1.09375,1
0.472,0.636363636363636,1.32421875,1
0.48,0.644183773216031,0.9140625,1
0.488,0.652003910068426,0.57421875,1
0.496,0.659824046920821,0.435546875,0.990224828934506
0.504,0.667644183773216,0.48046875,0.979472140762463
0.512,0.675464320625611,0.51953125,0.950146627565982
0.52,0.680351906158358,0.55078125,0.919843597262952
0.528,0.682306940371456,0.560546875,0.882697947214076
0.536,0.680351906158358,0.53515625,0.8455522971652
0.544,0.674486803519062,0.5546875,0.802541544477028
0.552,0.664711632453568,0.5390625,0.759530791788856
0.56,0.651026392961877,0.564453125,0.717497556207234
0.568,0.634408602150538,0.544921875,0.67644183773216
0.576,0.616813294232649,0.564453125,0.636363636363636
0.584,0.599217986314761,0.5546875,0.596285434995112
0.592,0.579667644183773,0.57421875,0.55327468230694
0.6,0.561094819159335,0.5546875,0.510263929618768
0.608,0.543499511241447,0.583984375,0.465298142717498
0.616,0.527859237536657,0.5703125,0.420332355816227
0.624,0.516129032258065,0.595703125,0.377321603128055
0.632,0.50733137829912,0.57421875,0.334310850439883
0.64,0.506353861192571,0.60546875,0.293255131964809
0.648,0.509286412512219,0.595703125,0.252199413489736
0.656,0.510263929618768,0.625,0.217986314760508
0.664,0.510263929618768,0.609375,0.183773216031281
0.672,0.509286412512219,0.64453125,0.155425219941349
0.68,0.50733137829912,0.634765625,0.127077223851417
0.688,0.505376344086022,0.6640625,0.101661779081134
